Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,807,176,1093.2,1323.6,1990.4,1990.7,1991.9,1991.6,299.0,470.1,480.4,477.7,50.0,85.6,195.7,191.6,21.0,42.5,123.3,118.3,282.5,21318.8,21728.1,3540820.4,10204933.1,14541449.6,4387.6,14974.9,20897.1
Oil tanker,560,57,1412.8,2244.1,2003.8,2006.2,2005.8,2005.9,248.9,686.3,393.7,395.8,35.0,72.6,137.5,133.7,33.0,145.9,420.5,440.8,898.7,67526.2,68822.7,3768604.5,5983144.8,6419050.2,6729.7,19628.3,24832.3
Ferry-RoPax,462,10,1533.6,574.9,1991.4,1991.1,1988.5,1988.1,240.4,249.3,317.2,317.5,28.0,28.9,55.7,55.5,22.0,21.8,62.0,59.3,658.4,49743.7,50698.8,3571617.8,8832328.1,10837323.3,7730.8,16502.1,15030.0
Ro-Ro,371,7,853.4,585.7,2004.1,2001.4,2005.3,2005.2,258.1,262.2,284.7,284.8,30.0,31.1,48.2,48.1,20.0,18.4,31.3,31.3,261.3,20160.8,20547.9,804733.1,2948939.1,2101174.0,2169.1,5158.8,6074.5
Bulk carrier,54,10,58.5,74.2,1981.8,1981.4,1982.3,1982.3,365.0,345.7,414.2,413.1,67.0,60.8,178.6,177.7,13.0,14.0,136.2,134.9,29.6,2225.9,2268.6,156705.0,355439.6,428193.1,2901.9,8750.3,10921.7
Chemical tanker,50,22,104.1,150.0,2008.7,2009.3,2009.8,2009.6,432.2,474.7,478.8,483.0,50.5,61.5,84.6,85.2,20.5,70.2,129.8,135.1,87.5,6572.7,6698.9,280224.3,827602.7,1048168.9,5604.5,18588.8,23726.8
Service - tug,41,26,52.5,45.3,2008.3,2007.0,2007.4,2007.0,374.1,1482.3,1600.2,1549.0,88.0,721.6,3421.7,3317.3,30.0,92.8,87.6,89.1,52.2,3919.3,3994.5,1159844.1,2742682.3,3672303.3,28288.9,73047.0,98625.8
Service - other,6,5,32.3,18.8,1988.7,1989.0,1999.8,2008.8,1539.4,3681.7,2961.7,4212.5,1885.0,2510.0,4548.3,4571.6,38.0,267.2,351.3,132.3,37.0,2775.4,2828.7,131046.7,268879.1,289733.5,21841.1,48600.2,54876.5
Ferry-pax only,2,2,0.6,0.1,1977.0,1977.0,1967.7,1967.7,1296.5,1296.5,905.2,900.0,450.5,450.5,793.1,792.5,108.5,108.5,194.0,193.9,2.2,167.1,170.3,4665.1,9500.9,11968.2,2332.6,5424.2,7150.9
Refrigerated bulk,1,1,1.0,1.0,1995.0,1995.0,1995.0,1995.0,265.5,265.5,265.5,265.5,77.0,77.0,77.0,77.0,12.0,12.0,12.0,12.0,1.2,89.4,91.1,2897.8,6331.8,7132.2,2897.8,6175.2,6667.3
