Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,218,15,99.8,103.3,1989.1,1997.0,1994.3,1995.7,254.7,279.4,303.4,267.7,46.5,47.6,270.4,174.8,47.0,107.3,145.1,113.6,48.4,3644.8,3714.8,247170.9,716814.7,1028318.1,1133.8,3861.4,5479.3
Chemical tanker,152,4,89.6,122.7,2008.7,2007.2,2008.2,2008.1,279.8,262.9,358.9,356.0,43.0,59.8,156.4,159.0,36.0,47.4,187.3,195.5,204.3,15351.3,15646.0,412597.0,1044266.7,1286377.2,2714.5,8043.6,9862.1
Container,111,19,246.1,302.8,2002.7,2001.5,2003.8,2003.6,173.7,207.0,186.7,187.5,15.0,23.7,22.0,22.3,32.0,34.6,37.8,38.3,92.4,7031.4,7166.4,410493.0,1294229.2,1470069.2,3698.1,12264.8,14480.9
Ferry-RoPax,56,3,39.7,5.6,2007.7,1997.7,1997.5,1993.8,361.4,879.2,889.0,970.6,71.0,152.5,382.6,422.0,22.5,181.0,307.5,326.6,73.7,5532.4,5638.6,192812.7,417139.6,554609.6,3443.1,7686.7,10954.1
Oil tanker,43,1,41.8,62.0,2012.0,2012.0,2012.0,2012.0,276.5,276.5,404.0,404.0,47.0,47.0,133.3,133.3,60.0,60.0,106.7,106.7,58.0,4357.1,4440.8,279728.7,49939.0,76663.8,6505.3,16890.3,21503.3
Cruise,16,12,94.1,9.9,1998.1,1997.3,2002.8,1999.9,171.2,177.5,171.6,172.1,15.0,20.0,14.7,15.6,10.5,20.6,16.4,16.9,29.9,2302.1,2346.3,37841.0,217287.5,281757.8,2365.1,11766.5,13857.4
Miscellaneous - fishing,9,5,18.8,10.5,1997.3,1996.0,1998.6,1997.1,1851.3,4679.4,4430.1,3703.1,108.0,686.8,1963.7,1715.2,102.0,462.5,79.3,109.5,33.7,2527.0,2575.5,74086.4,164337.9,186835.6,8231.8,19373.2,22965.8
Bulk carrier,6,6,25.6,41.2,2007.8,2007.8,2009.1,2009.2,180.2,209.5,212.9,211.2,16.5,31.2,36.1,34.4,56.0,55.3,70.6,71.3,3.6,277.8,283.1,17262.0,44229.8,65864.6,2877.0,12381.7,15718.9
Service - tug,4,2,0.5,0.3,2003.8,2008.5,2000.6,2000.4,374.0,282.3,344.6,349.2,471.0,350.5,1017.5,1028.9,176.5,176.5,637.6,642.8,4.6,341.9,348.5,8276.6,19571.6,26205.2,2069.1,5342.9,7213.8
Liquefied gas tanker,2,1,3.0,3.8,2012.0,2012.0,2012.0,2012.0,208.7,208.7,208.7,208.7,33.0,33.0,35.4,35.4,6.0,6.0,6.2,6.2,1.0,78.2,79.7,2839.3,8226.0,9084.1,1419.7,7772.6,10221.1
Ro-Ro,1,1,0.8,0.5,1979.0,1979.0,1979.0,1979.0,209.7,209.7,209.7,209.7,59.0,59.0,59.0,59.0,69.0,69.0,69.0,69.0,1.1,85.6,87.3,1947.4,15014.1,7085.0,1947.4,4752.6,6775.0
Service - other,1,1,0.2,0.1,2011.0,2011.0,2011.0,2011.0,338.0,338.0,338.0,338.0,14.0,14.0,14.0,14.0,12.0,12.0,12.0,12.0,0.3,19.0,19.4,554.3,1137.3,1225.5,554.3,1233.4,1392.7
