Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
China,2356,1074,73860.2,109017.3,2006.8,2007.4,2008.1,2008.5,1173.3,1570.9,1326.0,1412.9,106.0,167.0,187.6,198.9,39.0,101.2,118.2,124.4,10080.5,775694.0,790587.4,61140680.1,173525526.1,204849782.0,25951.1,93300.6,111728.1
Japan,915,339,21874.4,28631.6,2003.1,2006.4,2005.3,2006.5,1900.0,2020.4,2054.5,2076.5,139.0,187.4,185.1,196.2,44.0,92.2,78.8,85.0,4891.0,374514.2,381704.8,34335126.0,87481928.2,105369136.6,37524.7,110070.6,129719.1
"Taiwan, Province of China",910,344,14903.5,18790.3,2005.1,2006.1,2005.3,2006.1,721.3,1031.7,840.8,876.9,71.5,127.5,130.7,140.9,25.0,67.4,55.2,60.6,3051.4,235020.0,239532.4,15322691.9,50363439.1,58348746.4,16838.1,62878.7,75577.8
Indonesia,877,570,33900.9,51065.4,2007.2,2007.8,2008.4,2008.6,1356.3,1599.8,1549.8,1544.5,115.0,155.5,232.4,245.5,55.0,111.3,142.6,163.0,3910.2,301856.0,307651.7,25610460.0,73577085.3,86899040.6,29202.3,106586.5,129279.7
Singapore,668,395,25930.3,36143.7,2007.3,2007.7,2008.0,2008.3,1425.7,1604.1,1518.6,1542.6,118.0,171.5,154.3,162.7,33.0,89.5,65.2,70.9,3644.0,281342.6,286744.4,24307136.6,72640929.9,83015782.8,36387.9,125138.9,149431.9
Malaysia,543,305,10797.0,16034.4,2005.7,2007.0,2007.9,2008.2,1008.6,1354.7,1410.1,1457.8,103.0,151.4,199.8,210.9,39.0,86.0,122.2,125.5,1800.5,137788.1,140433.7,10455920.9,31762112.3,37613400.6,19255.8,70529.8,86910.7
Viet Nam,483,299,10507.0,15039.1,2005.2,2005.4,2005.2,2005.2,1266.4,1494.8,1528.1,1637.0,141.0,184.8,307.6,338.1,102.0,134.6,136.7,153.0,1530.1,117644.4,119903.1,9962071.2,28895222.6,37694111.3,20625.4,81688.9,102510.6
"Korea, Republic of",442,280,15242.7,22545.3,2004.7,2006.9,2007.8,2008.2,1703.9,1986.9,1926.5,1923.7,133.0,184.7,213.3,218.3,44.0,132.9,166.2,192.5,2411.3,185541.4,189103.8,14736534.8,42734841.3,50434688.6,33340.6,116632.0,139149.1
Thailand,429,263,14649.1,15484.2,2007.6,2006.6,2007.8,2008.6,1588.9,1941.2,1737.9,1814.0,133.0,242.0,193.1,229.1,48.0,144.0,88.2,112.5,2202.5,169501.7,172756.1,12302663.1,42353755.7,51536407.1,28677.5,114987.0,140198.8
Hong Kong,317,229,8992.3,11999.8,2007.3,2007.4,2007.9,2007.8,864.9,1317.3,1225.0,1345.5,84.0,124.1,186.9,209.8,37.0,94.8,149.8,155.6,1255.7,94948.0,96771.0,6502599.8,20561060.9,24412072.1,20512.9,82282.8,101455.5
Australia,157,143,18206.0,30438.9,2010.2,2009.9,2010.6,2010.7,2867.7,3059.5,3078.0,3012.1,239.0,278.4,328.3,325.5,48.0,115.8,100.4,98.3,1624.2,124021.5,126402.7,9474649.5,25046902.5,30043552.9,60348.1,230389.7,286661.6
Papua New Guinea,92,65,1558.3,2077.7,1998.1,1999.3,2004.0,2004.1,2027.5,2145.7,2226.8,2243.7,218.0,375.4,340.2,338.3,91.0,372.7,196.2,179.3,1009.1,76380.0,77846.5,2461199.3,6984448.1,8608725.9,26752.2,90987.6,109735.4
Russian Federation,90,87,6944.7,11910.3,2008.8,2009.1,2009.6,2009.6,2304.0,2702.3,2836.2,2843.4,204.5,294.8,375.7,374.5,125.5,180.2,228.8,231.2,738.6,57122.8,58219.6,4685650.3,10606693.0,13620838.8,52062.8,186064.5,225783.6
