Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,270,109,14484.4,16696.2,2007.3,2007.7,2009.7,2009.5,633.6,846.3,808.3,822.9,48.0,65.9,100.8,102.0,15.0,19.0,17.5,17.2,1592.5,123323.6,125691.5,10520589.4,31065957.0,34932714.7,38965.1,129884.0,151783.1
Bulk carrier,181,161,9035.4,16023.9,2008.6,2008.9,2009.3,2009.3,1254.4,1610.1,1606.7,1610.8,146.0,180.1,253.9,254.0,70.0,102.6,124.7,125.4,840.4,65056.9,66306.0,5086192.1,12032879.6,14806825.8,28100.5,106230.1,127545.4
General cargo,151,88,2294.6,3062.7,1994.4,1998.3,2005.2,2005.9,1110.4,1762.9,1615.4,1600.8,149.0,191.3,276.3,280.8,44.0,67.8,66.6,68.4,422.7,32385.2,33007.0,2089500.9,6787267.9,9805609.2,13837.8,65168.6,88502.3
Vehicle,110,84,11518.8,3944.7,2007.3,2008.3,2008.3,2007.9,802.0,2035.1,1806.7,1783.4,74.0,139.3,252.0,245.4,7.0,7.7,8.0,8.0,714.2,55300.8,56362.6,3994475.7,17611355.0,20395744.0,36313.4,138027.3,148547.6
Ferry-RoPax,57,3,350.2,102.6,2001.4,2001.7,1999.9,1996.9,582.1,621.0,912.6,866.4,56.0,58.8,290.7,271.1,4.0,144.7,77.2,41.5,165.4,12576.8,12818.3,637416.0,1576279.3,1934104.9,11182.7,23870.7,21741.2
Liquefied gas tanker,50,31,10034.2,8168.8,2004.8,2010.0,2014.3,2014.0,761.9,3113.1,4526.0,4173.7,190.5,277.4,440.0,435.7,37.0,50.0,39.5,40.1,1227.8,77184.9,78666.8,2244776.7,14514928.1,12417096.0,44895.5,365486.7,554349.4
Chemical tanker,48,40,1505.7,2467.3,2007.9,2009.5,2007.2,2007.2,798.0,1423.1,1591.7,1589.8,113.5,143.1,251.3,251.4,23.0,30.8,36.9,36.8,238.6,18449.8,18804.0,666126.7,3870572.9,4488326.1,13877.6,94068.5,114948.0
Ro-Ro,45,14,1406.7,1172.3,1999.7,2001.8,2010.6,2011.3,774.5,1049.1,1208.3,1232.8,108.0,111.5,128.4,126.6,23.0,26.4,25.5,25.1,180.0,13876.3,14142.8,1421211.3,3974861.6,3397705.8,31582.5,74693.0,83850.8
Cruise,40,32,3251.0,335.9,2002.5,2002.8,2003.5,2002.3,869.7,1428.5,1552.6,1515.0,68.0,93.0,129.7,130.3,12.0,20.2,19.3,19.4,686.6,53175.8,54196.8,1176667.7,6373349.4,7431899.1,29416.7,139072.9,150280.9
Oil tanker,28,20,2673.1,4843.0,2007.4,2009.1,2009.2,2009.1,788.9,1967.4,1676.7,1684.0,138.5,235.6,402.5,405.9,25.5,81.8,95.4,95.1,282.9,21726.5,22143.6,2609224.3,5198446.6,5967335.7,93186.6,234360.8,289238.9
Service - other,2,2,0.9,1.3,2013.5,2013.5,2012.1,2012.1,247.0,247.0,355.7,383.6,34.5,34.5,48.8,49.4,224.5,224.5,427.3,434.9,1.1,83.4,85.0,8933.3,18329.2,19750.9,4466.7,9939.1,11222.6
