Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Egypt,302,150,2861.7,2873.8,2000.2,2003.4,2005.6,2005.9,310.0,313.7,351.4,321.9,29.0,55.0,54.7,63.1,45.0,77.1,101.1,99.0,544.9,41595.5,42394.2,2632258.5,9306769.8,9013581.8,8716.1,27473.9,32912.5
Saudi Arabia,224,144,7715.9,7523.6,2008.2,2008.3,2010.3,2010.5,570.8,615.0,613.2,627.3,46.0,71.5,65.9,77.8,19.0,25.6,22.7,23.8,658.8,51008.6,51988.0,4482343.3,13914409.6,16031147.3,20010.5,70077.4,81718.2
Turkey,67,54,1702.3,2493.5,1999.4,2001.6,2005.2,2005.7,1183.1,1107.6,1150.9,1155.0,135.0,162.2,178.0,195.1,11.0,45.0,48.6,51.3,176.0,13574.0,13834.6,988238.7,2834543.5,3557601.3,14749.8,58675.1,72574.2
India,54,47,5492.8,8908.0,2007.1,2008.2,2007.6,2007.5,3271.7,3590.4,3779.6,3805.7,303.5,334.8,353.3,359.2,59.5,81.8,92.9,95.6,662.7,51243.3,52227.2,2827840.6,9513837.7,11542155.4,52367.4,248691.5,308531.3
Djibouti,52,39,4830.0,5257.9,2011.9,2010.9,2013.5,2013.8,1241.6,1257.3,1253.2,1258.3,93.0,121.6,111.1,116.2,28.5,33.8,40.9,42.2,370.8,28719.4,29270.8,2717455.7,7690403.4,9009489.4,52258.8,182343.7,213977.6
Greece,39,39,1788.0,1182.8,2001.4,2001.4,2005.8,2007.7,1027.4,1113.9,1093.7,1241.2,95.0,136.1,114.7,154.0,9.0,16.8,16.3,31.5,180.9,13991.9,14260.5,797177.9,3043975.1,3600510.3,20440.5,80833.1,92572.1
United Arab Emirates,35,17,4507.7,5314.8,2008.1,2009.2,2007.8,2007.8,2846.4,2816.4,2859.3,2850.6,183.0,210.5,184.5,187.9,15.0,20.1,19.8,21.4,634.8,49165.5,50109.4,3825538.1,10226404.4,11685008.5,109301.1,333054.1,388911.9
Spain,34,15,2160.2,2993.2,2004.0,2004.1,2007.0,2007.1,2372.8,2408.1,2449.4,2452.2,223.5,272.6,251.1,255.0,24.5,42.3,28.0,28.8,300.5,23251.5,23697.9,2283503.4,7700731.4,8617134.5,67161.9,239388.9,284377.7
Israel,25,23,440.4,339.7,2007.0,2007.8,2007.2,2008.7,212.9,290.5,340.9,214.5,58.0,74.6,86.4,129.7,15.0,40.4,38.2,66.8,79.3,6142.6,6260.5,216360.2,713758.5,789086.4,8654.4,30730.5,34009.8
Singapore,20,19,4172.5,5120.5,2010.1,2010.3,2009.6,2009.4,5004.2,4988.4,5032.7,5021.0,411.5,438.0,420.6,450.2,9.0,10.4,10.2,10.4,332.6,25749.7,26244.1,2378056.2,6321660.3,7661914.3,118902.8,421453.9,493166.3
Malta,16,14,1307.4,1529.5,2007.7,2007.6,2009.3,2009.4,1333.3,1372.7,1376.3,1363.6,138.5,144.8,137.3,138.3,15.5,16.1,17.6,18.4,122.6,9233.6,9410.8,823878.3,2358119.9,2595855.9,51492.4,174466.7,212658.3
Oman,16,16,1923.1,666.6,2004.9,2004.9,2006.7,2008.5,1944.9,2157.3,2159.7,2218.2,130.0,144.5,145.0,182.8,9.0,50.1,76.9,177.8,364.4,27975.6,28512.7,909537.8,4062279.2,4463900.8,56846.1,238331.8,263847.3
Qatar,10,7,1623.7,1775.6,2005.3,2004.1,2007.7,2007.6,3016.8,3042.8,3119.3,3104.6,191.0,205.3,188.7,187.8,11.5,29.2,43.5,34.1,243.8,18878.5,19241.0,1278508.9,3487275.4,3705192.2,127850.9,387956.0,460984.0
Sri Lanka,7,7,742.7,1309.1,2009.6,2009.6,2008.9,2008.6,3457.5,3501.7,3522.5,3528.1,295.0,318.3,321.4,323.7,5.0,8.9,10.5,10.9,70.5,5461.4,5566.2,392709.0,959661.0,1179414.7,56101.3,218732.1,263994.0
Sudan,6,6,132.5,129.6,2000.7,2000.7,2004.9,2004.1,652.0,705.4,660.6,671.7,82.5,91.8,98.6,114.1,12.5,53.5,19.1,25.4,13.7,1052.2,1072.4,65151.9,220679.7,282901.2,10858.6,46794.8,58165.0
Malaysia,5,5,1145.3,1303.8,2007.4,2007.4,2007.1,2005.5,4976.2,5016.5,4997.0,4995.3,399.0,381.0,374.5,393.7,12.0,36.0,25.7,27.3,94.9,7346.1,7487.1,629315.1,1828971.1,2239809.9,125863.0,473884.6,563300.3
Italy,5,5,258.0,149.4,2002.6,2002.6,2008.1,2007.8,1939.0,1894.5,1752.3,1458.9,251.0,1229.8,211.8,203.9,8.0,10.0,9.1,9.1,47.3,3650.1,3720.2,139837.6,457270.4,493972.5,27967.5,97246.5,104055.0
Cyprus,5,5,107.7,34.5,2004.0,2004.0,2004.8,2007.4,645.2,677.1,678.7,671.6,75.0,90.0,75.2,98.4,8.0,7.8,7.5,7.1,17.4,1342.2,1368.0,44162.9,197056.7,245873.3,8832.6,36395.1,41491.9
Libya,4,3,152.0,91.7,1996.0,2001.3,2008.6,2010.3,1078.5,1223.7,1304.0,1380.5,121.0,127.3,132.8,144.0,53.0,55.5,55.1,58.7,17.2,1326.6,1352.1,96983.2,241535.4,280769.0,24245.8,65865.0,70258.9
United States of America,4,4,3277.2,2488.1,2016.2,2016.2,2016.4,2016.4,7327.2,6999.4,6952.7,7018.5,476.5,469.5,467.9,473.2,27.5,27.0,26.8,26.7,265.0,16038.8,16346.8,579588.4,4330369.4,3595832.5,144897.1,1310542.4,2036415.9
Lebanon,4,4,87.7,88.4,2005.8,2005.8,2013.6,2011.6,664.3,686.8,656.4,644.1,68.0,77.8,67.2,66.1,50.0,119.5,37.4,47.4,7.3,566.5,577.3,40369.9,122502.9,147649.7,10092.5,37112.6,43760.3
Algeria,4,4,196.8,291.5,2009.2,2009.2,2009.0,2009.6,1747.8,1823.2,1798.5,1795.8,185.5,239.0,253.4,269.9,74.0,71.0,68.6,63.5,21.8,1675.7,1707.9,91297.1,317564.7,447260.5,22824.3,128769.6,172233.6
Pakistan,3,3,209.2,326.5,2010.7,2010.7,2011.0,2011.8,2810.0,2902.5,2897.0,2874.3,220.0,219.0,224.1,224.6,29.0,44.7,35.0,36.2,18.0,1388.0,1414.6,138182.2,425087.4,537368.7,46060.7,195595.3,245854.7
Gibraltar,3,3,295.5,564.1,2007.3,2007.3,2007.4,2007.4,2388.0,2405.6,2402.3,2403.1,634.0,522.7,527.7,529.3,15.0,16.3,16.5,16.5,22.8,1764.4,1798.3,114894.4,337248.2,385265.9,38298.1,175005.0,213879.3
Ukraine,3,3,139.8,245.6,1999.3,1999.3,2009.5,2010.3,1812.1,1748.0,1725.8,1727.0,291.0,333.3,333.0,331.1,68.0,59.3,42.5,40.8,11.5,889.2,906.3,84846.6,209293.2,258496.0,28282.2,104630.8,128504.0
Trinidad and Tobago,3,3,1831.1,1490.5,2013.0,2013.0,2013.4,2013.3,5791.5,5781.5,5781.0,5782.8,443.0,415.0,412.4,412.2,51.0,181.7,194.1,194.6,194.2,11937.5,12166.7,347196.4,2594062.5,2154045.9,115732.1,1046755.7,1626524.8
Romania,2,2,4.6,3.6,1967.5,1967.5,1968.6,1969.0,1465.4,1465.4,1466.7,1467.2,212.5,212.5,195.3,188.6,43.0,43.0,58.2,64.1,1.1,83.4,85.0,11381.0,32650.0,46920.5,5690.5,18548.5,26677.4
Indonesia,2,2,294.5,494.3,2011.0,2011.0,2010.4,2010.0,5214.9,5214.9,5244.8,5272.7,597.0,597.0,627.4,644.4,49.0,49.0,55.2,58.6,30.0,2322.1,2366.7,207728.2,529735.0,718211.3,103864.1,430554.1,543656.2
China,2,2,406.4,138.6,2010.0,2010.0,2009.0,2009.2,3437.0,3437.0,4358.3,1837.7,209.5,209.5,357.1,329.2,7.0,7.0,11.8,10.9,27.0,2092.6,2132.8,131508.3,562909.0,653038.0,65754.2,247814.9,267663.2
Seychelles,2,2,323.2,36.0,2012.0,2012.0,2007.7,2008.0,3815.6,3815.6,3156.6,3186.1,207.0,207.0,187.0,188.4,166.5,166.5,55.5,63.2,65.9,5094.1,5191.9,211304.5,789151.2,925623.5,105652.2,360144.3,397055.9
Belgium,2,2,160.4,190.2,2015.5,2015.5,2015.0,2014.7,3993.6,3993.6,4029.1,4066.8,322.5,322.5,328.2,332.1,5.5,5.5,5.0,4.7,23.0,1769.8,1803.8,95650.4,313324.6,411261.4,47825.2,274043.1,367637.8
Equatorial Guinea,2,2,1445.5,1154.4,2016.0,2016.0,2016.0,2016.0,6386.8,6386.8,6388.3,6399.2,497.5,497.5,502.9,504.6,28.0,28.0,27.9,27.9,125.9,7714.3,7862.4,268915.9,2009193.7,1668385.2,134458.0,1216124.2,1889702.0
Yemen,1,1,60.5,16.5,2012.0,2012.0,2012.0,2012.0,1286.1,1286.1,1286.1,1286.1,244.0,244.0,244.0,244.0,28.0,28.0,28.0,28.0,4.9,382.9,390.2,16678.3,73533.6,85159.4,16678.3,63394.4,68226.2
Russian Federation,1,1,63.5,111.3,2015.0,2015.0,2015.0,2015.0,1751.2,1751.2,1751.2,1751.2,257.0,257.0,257.0,257.0,61.0,61.0,61.0,61.0,4.7,366.5,373.5,22673.1,66552.2,76028.0,22673.1,103605.9,126620.1
Kenya,1,1,68.0,38.8,2003.0,2003.0,2003.0,2003.0,2925.0,2925.0,2925.0,2925.0,235.0,235.0,235.0,235.0,3.0,3.0,3.0,3.0,10.6,824.5,840.4,41680.1,76803.4,89547.8,41680.1,97963.6,103990.1
Tunisia,1,1,99.3,36.6,2005.0,2005.0,2005.0,2005.0,1734.1,1734.1,1734.1,1734.1,156.0,156.0,156.0,156.0,6.0,6.0,6.0,6.0,4.9,378.3,385.6,37049.8,163349.9,189175.8,37049.8,140826.2,151559.9
Germany,1,1,232.9,285.9,2003.0,2003.0,2003.0,2003.0,4595.9,4595.9,4595.9,4595.9,301.0,301.0,301.0,301.0,15.0,15.0,15.0,15.0,30.9,2380.0,2425.7,226563.6,602784.6,677037.9,226563.6,663153.0,766947.2
Bulgaria,1,1,30.0,44.9,2013.0,2013.0,2013.0,2013.0,1325.4,1325.4,1325.4,1325.4,134.0,134.0,134.0,134.0,184.0,184.0,184.0,184.0,2.9,219.5,223.7,18388.2,51047.1,79337.3,18388.2,86630.6,112279.5
South Africa,1,1,163.5,293.5,2009.0,2009.0,2009.0,2009.0,5054.6,5054.6,5054.6,5054.6,480.0,480.0,480.0,480.0,113.0,113.0,113.0,113.0,11.6,897.2,914.4,130943.1,259159.5,321441.5,130943.1,418025.7,486032.5
Nigeria,1,1,1009.0,752.4,2016.0,2016.0,2016.0,2016.0,8655.6,8655.6,8655.6,8655.6,467.0,467.0,467.0,467.0,28.0,28.0,28.0,28.0,135.3,7990.6,8144.0,175266.3,1309494.5,1087372.1,175266.3,1585220.9,2463231.2
Somalia,1,1,5.2,5.4,1978.0,1978.0,1978.0,1978.0,1290.2,1290.2,1290.2,1290.2,90.0,90.0,90.0,90.0,39.0,39.0,39.0,39.0,2.3,178.6,182.0,16920.8,48542.6,69759.3,16920.8,55154.1,79325.5
Morocco,1,1,63.7,90.2,2007.0,2007.0,2007.0,2007.0,2294.1,2294.1,2294.1,2294.1,200.0,200.0,200.0,200.0,8.0,8.0,8.0,8.0,9.9,766.8,781.5,75734.7,272850.1,296203.4,75734.7,273536.8,319305.5
Syrian Arab Republic,1,1,9.3,4.4,1980.0,1980.0,1980.0,1980.0,995.5,995.5,995.5,995.5,140.0,140.0,140.0,140.0,22.0,22.0,22.0,22.0,2.3,175.0,178.3,4436.7,19561.1,22653.8,4436.7,16863.9,18149.3
Cameroon,1,1,840.4,709.0,2013.0,2013.0,2013.0,2013.0,8384.3,8384.3,8384.3,8384.3,596.0,596.0,596.0,596.0,72.0,72.0,72.0,72.0,70.5,4340.4,4423.7,165162.9,1234007.7,1024689.7,165162.9,1493839.7,2321236.4
"Korea, Republic of",1,1,391.6,98.7,1998.0,1998.0,1998.0,1998.0,7356.3,7356.3,7356.3,7356.3,532.0,532.0,532.0,532.0,8.0,8.0,8.0,8.0,20.4,1576.5,1606.8,99953.3,440686.7,510360.1,99953.3,379922.3,408879.7
Croatia,1,1,14.4,18.1,1981.0,1981.0,1981.0,1981.0,2103.4,2103.4,2103.4,2103.4,181.0,181.0,181.0,181.0,82.0,82.0,82.0,82.0,4.5,343.5,350.1,31011.7,90969.2,125452.6,31011.7,124240.8,156653.6
Denmark,1,1,479.5,334.7,2006.0,2006.0,2006.0,2006.0,3943.5,3943.5,3943.5,3943.5,288.0,288.0,288.0,288.0,12.0,12.0,12.0,12.0,49.8,2991.0,3048.4,77971.6,582561.4,483744.7,77971.6,705225.3,1095830.1
Mozambique,1,1,70.9,116.7,2008.0,2008.0,2008.0,2008.0,3946.2,3946.2,3946.2,3946.2,338.0,338.0,338.0,338.0,35.0,35.0,35.0,35.0,6.6,510.4,520.2,47834.9,132793.1,206386.7,47834.9,225359.5,292082.1
Senegal,1,1,15.2,17.9,1999.0,1999.0,1999.0,1999.0,3727.5,3727.5,3727.5,3727.5,336.0,336.0,336.0,336.0,134.0,134.0,134.0,134.0,4.5,349.4,356.1,55937.1,160473.3,230612.2,55937.1,182329.8,262236.4
