Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Port Au Prince,581,217,7776.5,10725.1,2004.1,2006.3,2006.7,2007.2,673.6,1088.3,1032.7,1120.5,61.0,149.5,197.6,217.2,24.0,51.9,47.8,51.9,1529.2,117393.2,119647.1,7181816.6,25530789.4,30409155.8,12361.1,51355.4,62779.5
Lafiteau,187,47,1608.7,2303.0,2005.2,2007.1,2007.2,2007.2,318.9,1113.7,580.2,621.1,21.0,120.3,132.1,143.0,11.0,100.1,79.1,86.4,338.3,25998.6,26497.7,1732585.8,5626484.7,7020593.9,9265.2,37786.6,47239.1
Cap Haitien,124,35,746.6,676.5,1998.9,2001.0,2007.2,2006.0,582.3,799.6,660.3,718.1,53.0,87.9,92.2,131.5,23.5,61.3,38.6,56.6,127.6,9756.6,9943.9,818986.5,2636706.9,3715471.4,6604.7,26763.9,35485.5
Labadie,118,20,13921.4,1159.6,2009.8,2004.4,2011.4,2011.4,613.5,571.1,654.1,641.2,37.0,40.0,49.6,49.4,9.0,13.4,9.6,9.6,1878.2,144999.6,147783.5,-429292.2,12941327.3,18741109.6,-3638.1,96765.6,136966.9
Saint Marc,96,11,450.2,354.7,1986.6,1998.8,1995.8,2000.5,660.7,1003.2,909.2,967.3,71.5,146.0,160.8,155.7,29.0,46.1,46.4,48.3,119.0,9047.5,9221.3,819968.7,4143153.6,3197419.3,8541.3,27618.1,36580.6
Miragoane,45,11,71.3,84.8,1983.3,1988.5,1987.9,1988.6,632.1,644.5,628.9,597.3,77.0,133.5,137.8,138.3,100.0,218.2,183.9,219.0,46.3,3484.0,3550.9,242762.2,1136267.7,914657.4,5394.7,15513.7,21699.4
Port De Paix,38,13,1392.8,1549.6,1977.6,1988.6,2005.3,2002.9,539.2,1606.3,1517.4,7307.9,62.0,199.1,722.1,1174.6,11.5,180.9,43.7,58.0,151.1,11675.7,11899.9,800352.3,2291482.6,2761982.2,21061.9,66318.7,85943.2
Gonaives,18,10,50.4,69.7,1984.3,1988.5,1994.9,1995.3,660.9,1880.8,1524.5,1612.9,86.0,283.8,373.7,394.9,139.5,296.8,210.1,204.1,18.3,1382.5,1409.1,192158.0,540716.8,759756.3,10675.4,36291.3,49374.3
Petit Goave,17,7,71.7,64.0,1990.5,1995.0,2004.7,2001.0,631.0,762.9,978.6,808.6,79.0,101.0,166.3,122.1,39.0,58.6,78.7,104.6,16.9,1289.3,1314.1,99002.4,313526.2,395651.0,5823.7,19614.3,25155.5
Jacmel,14,5,19.0,28.0,1988.6,1990.6,1998.5,1998.1,238.9,547.9,401.6,381.2,43.0,120.4,97.6,97.7,54.5,58.2,46.0,49.3,5.2,399.1,406.8,60465.3,175588.4,246734.5,4319.0,15832.8,21101.5
Jeremie,12,12,411.8,664.2,2000.7,2000.7,2005.7,2005.4,798.7,1695.7,3283.4,3504.7,105.5,167.5,495.5,512.9,70.0,186.4,50.9,43.7,63.1,4840.5,4933.4,476295.7,902696.2,1255748.3,39691.3,112039.7,142656.5
Les Cayes,3,2,9.6,6.7,1977.7,1975.0,1970.8,1975.9,376.2,438.1,470.9,410.4,76.0,75.2,82.8,74.4,87.0,100.8,83.6,102.2,2.1,158.7,161.7,27229.3,61506.1,71932.3,9076.4,23993.1,28216.7
