Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Puerto Rico,67,3,143.8,102.4,1990.0,1989.7,1995.3,1995.2,187.0,1742.8,362.7,358.4,17.0,333.7,476.1,470.0,6.0,124.0,177.2,175.0,39.4,3001.1,3058.7,533861.5,2199438.3,1459181.9,7968.1,18360.4,22841.1
Virgin Islands (British),36,10,12.3,6.7,1984.9,1985.8,1989.7,1992.7,118.9,129.2,141.9,158.5,13.0,33.6,53.0,77.0,18.0,41.1,38.7,63.6,14.1,1061.9,1082.3,20246.9,61241.2,82489.3,562.4,1909.8,2862.6
Saint Kitts and Nevis,32,9,13.7,16.5,1990.6,1989.1,1998.5,2000.9,88.3,89.7,123.3,129.3,10.0,12.3,24.8,26.2,16.5,13.2,41.6,49.3,16.2,1222.6,1246.1,36457.0,72653.6,76362.9,1139.3,3702.8,5037.5
Virgin Islands (U.S.),19,3,14.6,13.1,1991.4,1994.3,1992.7,1994.5,112.9,173.5,139.8,153.2,11.0,35.5,31.7,43.5,4.0,14.3,11.3,15.4,6.6,500.4,510.0,38838.6,234389.2,121496.8,2044.1,5501.7,7710.3
Martinique,13,6,16.0,20.9,1997.8,1993.5,2003.7,2005.4,267.4,263.7,280.6,290.6,25.0,30.4,25.5,26.4,17.0,23.2,33.4,29.4,7.1,539.9,550.3,43431.1,121350.5,158313.3,3340.9,11467.0,14453.0
Guadeloupe,8,2,3.3,2.2,1975.2,1980.5,1985.5,1988.8,189.1,195.7,198.4,200.8,22.0,21.8,21.8,21.7,9.0,15.0,17.4,19.3,2.2,163.7,166.8,14844.1,70809.7,48011.9,1855.5,4323.8,6162.7
Montserrat,7,4,3.5,5.2,1993.0,1992.2,1998.7,1998.4,111.7,114.9,140.0,140.2,14.0,16.0,22.9,23.1,7.0,9.0,13.0,12.9,1.8,137.8,140.5,11562.7,20952.8,25769.3,1651.8,5437.8,7318.7
Saint Lucia,6,6,6.4,9.5,1998.3,1998.3,2006.4,2006.2,304.8,319.1,318.3,317.4,56.0,52.2,49.0,48.5,12.5,20.0,11.0,10.7,3.6,274.8,280.0,21861.4,61532.7,80579.8,3643.6,12093.1,15584.6
United Kingdom of Great Britain and Northern Ireland,5,2,4.3,6.4,1998.0,1990.5,2002.6,2002.7,112.0,104.4,193.9,194.9,48.0,52.5,97.7,98.0,35.0,45.8,44.2,44.2,5.2,393.2,400.8,11363.5,12533.9,12089.3,2272.7,7736.0,10297.0
"Bonaire, Sint Eustatius and Saba",4,3,0.1,0.0,1972.2,1973.0,1972.2,1972.5,51.6,54.3,50.8,51.9,13.5,54.7,29.7,45.6,4.0,5.2,3.9,4.5,0.3,26.2,26.8,1348.1,2974.7,3961.5,337.0,777.7,1094.3
Dominica,3,2,3.8,5.8,2007.0,2007.0,2007.0,2007.0,272.0,239.9,250.6,250.8,22.0,21.5,23.5,23.5,8.0,7.5,8.6,8.6,0.8,63.8,65.0,10031.5,29426.3,40580.9,3343.8,13396.3,16891.2
Trinidad and Tobago,3,2,5.4,8.2,1993.3,1986.5,2006.2,2006.6,523.6,522.3,521.0,521.0,46.0,61.2,44.3,44.0,19.0,15.0,24.3,24.5,2.0,150.4,153.3,15907.3,45494.3,62544.9,5302.4,20268.0,25713.5
Portugal,2,2,8.6,1.0,1991.0,1991.0,1991.0,1991.0,2189.0,2189.0,2132.0,2175.3,237.0,237.0,200.3,230.0,25.0,25.0,26.3,25.2,5.4,405.9,413.7,26423.9,42344.9,57728.0,13212.0,25018.8,35216.4
Anguilla,1,1,0.1,0.0,1991.0,1991.0,1991.0,1991.0,31.2,31.2,31.2,31.2,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,0.4,32.3,32.9,33.4,188.7,410.2,33.4,193.0,373.0
Dominican Republic,1,1,4.5,1.8,1996.0,1996.0,1996.0,1996.0,461.6,461.6,461.6,461.6,45.0,45.0,45.0,45.0,11.0,11.0,11.0,11.0,0.7,56.3,57.3,1867.6,8234.0,9535.8,1867.6,7098.7,7639.7
United States of America,1,1,97.7,171.1,2007.0,2007.0,2007.0,2007.0,2324.9,2324.9,2324.9,2324.9,814.0,814.0,814.0,814.0,145.0,145.0,145.0,145.0,21.5,1638.0,1669.5,135013.4,211730.8,286897.4,135013.4,311298.9,391828.5
Haiti,1,1,3.1,4.8,2007.0,2007.0,2007.0,2007.0,614.7,614.7,614.7,614.7,51.0,51.0,51.0,51.0,14.0,14.0,14.0,14.0,0.7,57.0,58.1,8204.9,24068.1,33191.5,8204.9,32870.9,41446.5
Cuba,1,1,0.3,0.1,1918.0,1918.0,1918.0,1918.0,1319.7,1319.7,1319.7,1319.7,201.0,201.0,201.0,201.0,11.0,11.0,11.0,11.0,0.4,27.1,27.6,7667.0,15614.6,19669.5,7667.0,17829.3,23504.8
