Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,817,478,141842.6,270573.1,2008.6,2008.8,2009.3,2009.3,600.5,1188.9,1475.6,1481.6,75.0,141.0,363.7,364.6,35.0,42.8,38.8,38.6,8624.6,668045.9,680872.4,74917959.5,130150933.3,140299331.0,91698.8,243215.5,304163.7
Bulk carrier,777,302,16385.9,28614.1,2002.1,2008.0,2003.7,2003.6,482.8,971.0,691.4,692.4,53.0,124.9,211.8,212.6,117.0,141.6,174.1,173.1,1747.8,135243.0,137839.7,10176645.2,23065451.5,28760741.2,13097.4,47524.6,56849.1
General cargo,530,221,5446.9,6483.8,1997.7,2003.5,2003.5,2007.2,419.6,931.4,1195.8,1054.1,55.0,110.0,342.9,294.8,74.0,104.5,96.0,106.3,1012.8,77617.9,79108.2,3311061.9,11308971.1,16476919.4,6247.3,32835.8,44573.5
Container,471,44,5404.1,6583.4,2005.5,2001.8,2004.6,2004.7,466.5,491.1,474.9,474.6,46.0,60.7,76.1,75.1,44.0,47.5,58.4,58.5,1164.9,89570.5,91290.3,5729435.7,20188860.9,22520061.4,12164.4,44995.5,53502.6
Chemical tanker,365,197,7917.5,12401.2,2009.9,2009.5,2011.9,2011.8,611.6,803.5,1101.7,1082.0,82.0,100.4,224.8,224.0,58.0,81.4,62.4,62.8,1622.2,125042.2,127443.1,4480560.1,21858007.9,25548307.7,12275.5,69155.7,84265.1
Vehicle,259,162,6754.6,2423.5,2008.0,2007.7,2007.4,2006.5,295.0,415.0,438.7,468.0,27.0,35.2,88.1,102.1,9.0,10.8,15.9,18.5,432.3,33488.9,34131.9,2454074.3,10819836.2,12530473.1,9475.2,36015.2,38760.2
Service - tug,233,77,47.6,39.6,2003.5,2002.6,2002.5,2001.0,286.4,881.3,482.3,548.1,127.0,479.1,1252.6,1431.7,24.0,226.8,331.8,380.3,141.1,10595.7,10799.1,1012590.5,2394471.8,3206068.4,4345.9,11221.8,15151.4
Liquefied gas tanker,162,112,31210.9,30166.1,2007.7,2008.4,2010.0,2009.6,1540.3,2998.1,2930.0,2869.7,222.0,240.3,430.8,415.3,43.0,55.6,67.7,70.9,3832.2,259938.5,264929.4,7439860.4,52868449.7,44304317.9,45925.1,398170.9,613398.2
Ro-Ro,108,27,398.9,274.5,2007.6,2006.2,1990.3,1990.1,295.8,966.0,1669.3,1364.2,63.0,143.1,389.1,378.6,28.0,57.6,83.5,92.7,194.9,14795.7,15079.7,436283.3,1984249.5,1237022.7,4039.7,9662.4,11911.7
Ferry-pax only,57,2,29.1,2.8,1992.6,1982.5,1991.0,1990.0,426.7,1100.0,819.0,845.1,7.0,649.5,140.1,205.7,19.0,23.5,87.3,83.9,34.1,2562.3,2611.5,229925.1,468263.9,589867.8,4033.8,9380.4,12366.4
Refrigerated bulk,32,4,303.3,284.8,2007.0,2007.0,2006.7,2006.7,292.3,319.5,674.2,675.3,26.0,28.4,176.8,177.0,8.5,8.6,8.7,8.7,108.3,8272.7,8431.6,845009.3,1846386.3,2079780.6,26406.5,56272.0,60756.9
Service - other,14,9,13.9,15.4,2003.4,2003.9,2004.7,2005.3,305.3,682.5,798.1,812.0,75.5,107.7,197.6,188.1,40.5,107.3,243.8,229.7,7.3,549.6,560.1,107648.7,220871.6,238002.5,7689.2,17109.8,19319.3
