Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,372,41,49.8,47.0,2012.2,2006.8,2009.1,2009.6,89.2,805.8,362.3,507.7,89.0,483.0,1059.7,1105.2,25.5,177.6,562.7,561.7,190.4,14296.5,14570.9,1202420.2,2843361.8,3807107.8,3232.3,8346.4,11269.1
Oil tanker,148,26,75.5,112.7,2008.0,2010.5,2009.1,2009.4,68.8,24.1,37.3,33.6,44.0,35.6,89.2,83.5,19.0,32.7,46.5,45.4,191.5,14602.0,14882.4,128673.2,161575.6,167669.8,869.4,2741.5,3604.6
Service - other,107,7,16.9,9.7,2007.8,2011.4,2009.9,2008.3,130.5,603.5,302.1,314.7,47.0,1155.6,1015.0,662.3,24.0,193.5,195.6,134.0,74.1,5562.4,5669.2,67725.4,138957.7,149735.4,632.9,1408.4,1590.3
Container,68,18,290.7,346.7,2004.6,2003.5,2007.4,2007.2,63.2,72.5,154.0,149.8,33.0,35.7,170.3,166.7,70.5,75.3,58.6,58.5,125.1,9595.5,9779.7,296768.1,1064419.8,1175560.9,4364.2,16151.7,19101.1
Ro-Ro,17,12,9.0,13.3,2011.0,2011.3,2011.4,2010.5,463.4,641.8,670.4,684.2,119.0,108.2,190.0,182.2,57.0,76.4,112.8,131.9,22.0,1651.3,1683.0,48380.7,372997.0,176013.8,2845.9,6945.3,9900.7
Vehicle,10,10,30.3,10.5,2011.3,2011.3,2011.8,2011.8,53.4,52.4,53.8,54.3,16.5,20.5,20.1,19.9,5.5,7.9,8.6,8.7,3.5,271.5,276.7,10583.4,46661.4,54038.7,1058.3,4022.7,4329.4
Bulk carrier,6,6,10.6,18.7,2004.2,2004.2,2006.4,2006.6,50.5,55.7,56.7,57.2,31.0,81.7,126.6,126.4,139.0,150.0,184.6,183.9,5.4,418.7,426.8,7103.6,15072.3,18389.9,1183.9,4022.8,4725.2
General cargo,6,6,9.3,13.9,2001.8,2001.8,2001.8,2001.2,215.4,2236.0,198.0,208.0,49.0,321.3,631.8,645.0,81.5,95.3,146.0,146.4,3.9,289.9,295.5,31301.0,91099.7,131156.9,5216.8,17760.4,25423.2
Chemical tanker,6,6,3.4,5.6,2013.3,2013.3,2013.0,2013.0,16.4,18.8,18.7,18.9,19.5,19.8,20.6,20.9,26.0,25.3,26.5,26.3,5.9,459.4,468.2,1072.4,7853.3,9054.8,178.7,1543.4,1897.3
Ferry-RoPax,1,1,1.7,0.3,1979.0,1979.0,1979.0,1979.0,3190.9,3190.9,3190.9,3190.9,165.0,165.0,165.0,165.0,359.0,359.0,359.0,359.0,1.5,110.3,112.4,11844.5,25624.9,34069.8,11844.5,26443.1,37683.1
