Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Petrozuata,423,300,156194.7,297490.3,2008.5,2008.4,2010.0,2010.0,2168.3,3514.5,4438.6,4499.3,192.0,352.5,875.5,882.8,163.0,243.7,403.8,406.0,16480.0,1274515.4,1298986.1,89172688.5,160341452.2,174846313.5,210810.1,556928.7,693647.5
Puerto Cabello,278,188,10111.5,15293.6,2007.7,2009.0,2009.9,2009.9,711.3,2063.3,1755.3,1945.1,84.0,272.0,380.5,383.9,207.0,607.1,741.7,786.6,1788.2,137543.9,140184.7,7267910.3,19799953.8,25564373.8,26143.6,101864.6,124586.6
Amuay (Bahia De Amuay),183,135,15744.1,28719.1,2006.8,2007.5,2009.9,2009.9,1209.1,1726.7,1915.5,1943.4,153.0,199.5,770.7,798.2,146.0,200.8,283.7,287.6,2592.2,200140.3,203983.0,12466818.7,28228503.9,31529841.2,68124.7,193687.8,239498.3
Jose Terminal,143,88,5634.1,8537.1,2009.6,2010.0,2010.7,2010.8,1491.1,1603.1,1699.4,1691.0,213.0,229.5,319.1,320.9,44.0,98.4,100.8,109.0,918.8,70857.8,72218.2,2807547.6,12355811.9,14239412.9,19633.2,115377.6,143752.7
Puerto La Cruz,139,98,7940.8,14168.7,2006.7,2007.8,2006.4,2006.3,863.6,1446.9,1343.2,1340.9,131.0,167.9,294.6,297.1,96.0,150.2,134.4,134.4,1412.5,109112.5,111207.5,7180503.9,17002816.4,19458533.5,51658.3,147722.8,184096.3
La Guaira,137,38,2770.3,3636.4,2006.4,2006.2,2005.8,2005.9,974.5,1339.9,1102.4,1128.1,104.0,146.8,186.6,205.3,54.0,180.0,96.5,104.6,582.2,44758.2,45617.6,3070450.6,11158142.9,12779855.3,22412.0,89319.2,108150.0
Punta Cardon,118,96,4071.9,7065.9,2006.3,2006.9,2007.9,2007.9,695.2,1078.3,992.2,989.6,118.0,177.9,245.5,234.5,117.0,174.2,162.1,160.7,1255.2,96778.8,98637.0,3458442.4,9371753.9,10762235.6,29308.8,96957.7,119959.2
El Palito,114,87,4673.9,7819.4,2008.6,2008.5,2008.7,2008.7,896.7,1458.0,1318.6,1304.5,146.5,159.6,233.9,233.8,102.0,156.1,186.5,184.6,1084.0,83874.1,85484.5,2251767.8,11060133.8,12766213.8,19752.3,116368.9,142560.2
Guanta,100,32,516.6,705.2,2010.3,2005.7,2007.9,2008.3,291.2,817.8,637.5,588.6,47.0,83.9,143.6,137.8,27.0,298.6,179.2,200.9,180.1,13692.1,13955.0,776548.8,2224990.3,2989454.8,7765.5,30770.1,38900.5
Punta Guaranao,69,43,1397.3,2260.0,2005.4,2006.1,2006.2,2006.0,545.0,1178.7,978.0,998.0,63.0,164.6,285.8,293.6,15.0,100.0,205.1,213.8,378.2,29158.9,29718.8,1461791.9,3113200.2,3800492.7,21185.4,67348.4,84992.9
Matanzas,46,40,1923.4,3143.2,2008.7,2008.4,2007.8,2007.6,2452.1,2212.3,2477.1,2546.7,269.0,276.6,319.7,322.0,118.5,170.2,157.9,159.5,265.4,20408.5,20800.3,1367875.9,3772611.7,5052035.5,29736.4,126568.3,158641.2
Palua,44,32,2960.7,5186.2,2004.8,2003.8,2006.3,2006.2,1619.6,2599.3,2901.2,2957.4,299.5,372.3,492.3,497.1,103.0,143.7,131.4,129.5,309.4,23902.8,24361.8,2348433.2,5431851.2,6794803.4,53373.5,188550.9,228261.9
Bajo Grande,33,27,2305.9,4127.9,2006.2,2006.2,2006.1,2006.0,994.9,1466.0,1610.2,1615.6,161.0,207.8,361.9,362.3,93.0,97.0,94.6,93.3,373.0,28764.0,29316.3,2275425.2,4748735.9,5417136.6,68952.3,183587.4,230348.6
Puerto Ordaz,28,23,3166.1,5783.0,2010.4,2009.9,2011.3,2011.3,2207.3,2803.0,2550.5,2561.7,356.0,502.5,724.6,730.5,84.5,104.9,122.3,123.2,287.2,22239.0,22665.9,1250057.1,3542303.1,4072402.8,44644.9,197475.1,240440.7
Puerto Miranda,24,22,2158.3,3833.1,2007.1,2007.3,2009.4,2009.6,1456.9,1677.6,1805.1,1833.6,168.0,230.1,290.8,290.2,151.0,204.4,245.6,246.3,396.2,30599.2,31186.7,2028637.4,4320676.9,4778719.4,84526.6,219290.8,275546.9
El Guamache,23,7,68.7,77.1,1998.3,2003.7,2005.0,2005.3,365.9,1262.6,684.8,686.3,63.0,68.6,89.7,89.1,31.0,123.4,121.3,96.9,32.4,2458.6,2505.8,207837.8,586847.6,781612.0,9036.4,30136.6,39315.4
Maracaibo,22,18,238.8,345.5,2004.7,2005.1,2007.3,2006.9,530.1,1129.0,1575.8,1630.0,50.5,121.7,259.4,262.6,47.0,100.6,191.1,211.6,50.7,3899.8,3974.7,265545.0,756967.5,1073382.1,12070.2,50253.5,64635.0
Pertigalete,21,7,387.7,671.3,1989.0,1995.3,1999.5,1999.6,925.6,1648.5,2069.6,2141.4,175.0,168.5,263.1,265.5,46.0,74.1,109.3,109.8,45.1,3476.8,3543.5,404259.9,899607.5,1168633.0,19250.5,65597.3,80205.6
Guayana City,17,14,1909.4,2889.8,2004.2,2006.8,2002.7,2004.8,3061.3,3114.9,3662.7,3551.1,387.0,364.0,437.6,431.5,87.0,216.0,114.2,118.1,159.2,12302.7,12538.9,1525421.5,3278111.0,3818180.7,89730.7,274095.4,319966.3
Sucre,14,11,131.7,178.3,1999.2,1999.5,2003.6,2004.8,729.5,1002.8,918.2,903.2,98.5,118.1,136.7,134.4,56.5,143.4,64.9,60.3,28.9,2208.1,2250.5,168928.1,589335.8,678838.9,12066.3,47276.2,60219.0
Chichiriviche,10,10,307.5,485.7,2004.7,2004.7,2010.3,2010.2,727.3,1252.6,2103.5,2166.1,75.0,172.8,372.5,366.2,9.0,60.1,225.0,246.8,34.5,2656.6,2707.6,213509.0,484778.5,655377.0,21350.9,79253.1,96928.7
Guiria,8,2,271.2,498.2,1996.8,1997.5,1996.0,1996.0,543.9,303.2,557.9,559.7,57.0,34.5,119.9,119.9,132.0,110.8,221.9,222.0,42.1,3260.8,3323.4,183258.1,346520.6,391214.0,22907.3,60352.6,72937.6
