Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Delimara,331,75,1026.9,1647.2,1994.6,2001.8,2002.6,2002.5,187.8,725.1,487.8,497.8,44.0,115.2,445.9,466.4,46.0,71.7,86.4,85.4,389.7,29537.0,30104.2,1980059.3,3447357.6,4068979.3,5982.1,16813.5,20957.6
Valletta,209,59,364.0,428.7,1994.0,1996.7,1996.6,1994.7,280.5,774.7,449.5,416.2,80.0,314.3,369.8,403.6,16.0,102.2,116.1,109.3,351.6,26516.2,27025.3,1147240.7,1554642.0,1880980.4,5489.2,15361.4,19367.7
Marsaxlokk,164,50,235.2,310.8,1993.7,1999.6,1998.1,1997.1,158.3,581.5,219.8,225.3,66.0,174.8,306.2,297.1,17.0,31.1,22.4,22.6,198.2,14969.9,15257.3,797681.0,1199386.4,1512014.0,4863.9,13889.7,17405.7
Floriana,134,40,178.1,122.1,1996.6,1996.0,2001.3,1996.2,246.9,872.2,539.6,288.7,89.0,190.2,243.5,253.5,29.5,218.2,207.9,170.6,211.7,15925.0,16230.7,629825.9,1207368.5,1559561.3,4700.2,12145.5,15151.6
Marsaskala,90,44,338.7,505.3,1990.8,1998.8,1997.6,1999.0,276.7,421.9,253.1,224.1,59.5,140.9,246.2,232.0,28.5,68.1,129.3,112.2,146.9,11182.2,11396.9,629263.5,973915.3,1120757.7,6991.8,20308.0,26264.0
Saint Paul'S Bay (San Pawl Il-Bahar),45,31,50.9,68.9,1994.7,1996.6,1996.6,1996.7,80.7,590.1,154.6,146.5,56.0,236.6,1244.7,1153.6,14.0,66.2,86.0,69.4,84.8,6380.0,6502.5,126685.3,229090.0,263287.1,2815.2,8852.8,11102.3
Marsamxett,32,24,110.9,127.9,1998.5,1997.0,1999.9,2000.1,252.2,756.1,300.2,232.0,74.5,217.4,388.0,381.1,21.0,51.1,50.4,42.1,57.8,4380.0,4464.1,119078.0,360576.7,405642.2,3721.2,13657.7,17860.3
"Mgarr, Gozo",18,17,55.1,95.4,1992.7,1993.6,2000.7,2000.9,202.9,447.1,136.2,127.8,60.5,79.8,88.0,86.2,17.5,24.7,13.5,11.7,15.2,1150.9,1173.0,65826.9,143963.7,170693.7,3657.1,10125.1,12536.0
Kirkop,8,5,3.5,5.3,1988.4,1989.0,1981.7,1980.3,316.7,463.0,300.9,285.7,56.0,66.5,64.4,56.2,12.5,27.0,21.0,18.5,4.7,350.3,357.1,24312.9,7595.1,10250.0,3039.1,7842.2,9942.9
Birzebbugia,4,4,1.4,1.7,1997.0,1997.0,1991.0,1986.2,271.1,354.9,288.8,289.6,91.5,181.2,180.2,127.6,18.5,25.2,36.8,43.4,2.8,208.6,212.6,12822.5,15735.2,21302.3,3205.6,8301.2,10874.3
Gzira,4,4,0.3,0.3,1979.5,1979.5,1975.6,1974.4,457.1,542.9,577.2,630.5,34.0,349.8,604.2,566.5,98.5,109.5,97.0,96.5,3.3,249.3,254.1,2380.3,5312.9,6147.6,595.1,1413.3,1699.3
Marsa,4,3,0.8,0.8,1995.2,1992.7,1995.9,1994.0,964.0,1032.1,868.1,816.3,94.0,80.0,77.8,73.7,109.0,509.8,380.0,452.2,4.3,323.6,329.8,4432.4,6658.7,7680.9,1108.1,2702.3,3292.0
Balzan,2,1,0.9,0.6,2003.0,2003.0,2003.0,2003.0,3861.7,3861.7,3861.7,3861.7,403.0,403.0,560.4,560.4,107.5,107.5,74.1,74.1,4.5,339.6,346.1,4147.5,9199.9,10459.4,2073.7,4880.5,5785.5
Sliema,1,1,0.1,0.0,2010.0,2010.0,2010.0,2010.0,291.6,291.6,291.6,291.6,199.0,199.0,199.0,199.0,17.0,17.0,17.0,17.0,0.3,26.0,26.5,1341.8,2732.8,3442.5,1341.8,3120.4,4113.7
