Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Le Havre,2969,954,184109.6,227244.5,2007.2,2007.8,2009.9,2009.9,280.8,1065.2,994.4,1177.1,29.0,108.7,314.7,337.1,18.0,28.4,32.4,35.4,19896.0,1522854.0,1552092.8,114872330.5,300710720.6,334670949.2,38690.6,118519.6,141911.6
Fos Sur Mer,2329,1036,98109.0,146281.0,2005.6,2007.1,2009.6,2009.8,382.7,1352.2,1042.6,1254.7,43.0,153.7,348.1,395.1,28.0,55.9,69.6,79.7,11225.8,844665.3,860882.8,63654449.5,168740861.3,189406163.4,27331.2,90571.5,113977.9
Marseille,1530,250,27527.8,8258.3,2003.5,2005.1,2005.8,2004.4,449.9,767.6,410.8,510.8,25.0,69.4,45.0,73.8,10.0,71.3,37.4,47.2,6542.8,505040.0,514736.8,16899026.9,55694156.0,66786166.1,11045.1,33736.2,36598.2
Dunkerque Est,1041,699,24966.0,43246.4,2004.5,2005.3,2009.9,2010.2,312.6,991.9,1642.8,1739.9,48.0,118.8,434.2,453.7,32.0,68.2,82.8,78.3,2862.0,218460.5,222654.9,15673988.6,42370438.9,51073280.2,15056.7,56093.7,69131.6
Dunkerque Ouest,1036,305,34966.6,43771.3,2006.4,2007.1,2008.5,2009.0,213.8,1192.8,964.0,1167.6,26.0,127.6,314.2,376.7,16.0,35.9,46.4,44.5,4413.3,331968.3,338342.1,23852417.3,70291018.0,78768138.3,23023.6,75945.3,89327.9
Ouistreham,932,66,5861.7,3918.3,1998.4,2002.7,2003.5,2008.4,100.6,771.5,203.0,591.8,7.0,103.8,157.6,287.6,1.0,30.4,10.8,17.5,925.0,69857.7,71198.9,5089526.2,13151613.2,15581552.5,5460.9,13402.3,13980.1
Gonfreville L'Orcher,878,402,21078.0,13167.8,2005.9,2007.1,2007.5,2008.6,341.5,924.4,1042.5,1104.7,45.0,91.6,231.2,298.1,20.0,27.4,22.5,26.8,2347.9,178923.9,182359.2,9826743.9,42140751.3,47134431.9,11192.2,47257.8,55435.9
Port Jerome,666,261,2841.6,4299.9,2005.2,2006.5,2007.2,2007.4,312.7,482.2,541.2,556.7,62.5,91.6,185.2,192.3,34.0,43.5,50.4,51.0,1174.8,88509.1,90208.5,3403031.0,10986003.5,13095529.6,5109.7,20263.0,25054.9
Lavera,647,382,11190.0,16284.9,2007.2,2007.8,2008.7,2008.8,696.1,1106.4,1190.5,1204.5,75.0,123.5,235.3,240.9,38.0,65.1,88.9,91.0,2785.9,214426.3,218543.3,7800358.1,30817777.9,34304212.9,12056.2,61327.8,78903.4
Sete,642,303,14384.0,9026.4,1999.9,2003.2,2003.5,2005.7,703.2,1179.5,1011.9,1379.6,56.5,114.7,176.2,284.2,27.5,76.8,65.3,114.2,2368.8,182565.9,186071.2,9707423.5,28825959.4,36666166.8,15120.6,50192.9,59099.6
Montoir,626,385,54272.8,51114.1,2006.5,2007.3,2011.5,2011.2,922.5,1986.0,3003.2,2870.6,107.5,201.6,348.2,360.6,27.0,60.8,64.7,72.4,6483.1,425730.7,433904.7,17255135.1,85109763.0,83355292.8,27564.1,172013.9,249552.0
La Pallice,615,503,19784.1,30931.3,2006.1,2006.0,2008.0,2008.2,765.6,1461.3,2205.7,2427.7,87.0,145.7,377.0,390.0,47.0,68.7,72.6,74.9,2515.9,193388.4,197101.4,15390557.2,46327288.6,61184842.9,25025.3,104837.8,136226.1
Cherbourg,569,68,5370.5,1334.0,1997.7,2001.4,2001.8,2003.8,306.0,693.5,364.3,401.7,19.0,67.7,67.1,147.1,4.0,50.3,11.1,11.3,1191.1,90439.4,92175.8,6685658.5,17701275.1,21871069.6,11749.8,27840.6,27007.5
Saint Malo,510,197,2141.8,1298.8,1996.0,2000.7,1997.0,2000.9,168.2,956.8,256.0,640.8,13.0,115.1,140.4,208.8,11.0,77.5,61.6,99.8,598.1,45084.5,45950.1,3540843.9,9858228.8,13125935.1,6942.8,21233.4,26655.8
Cabourg,501,392,3915.3,6051.9,2006.1,2006.2,2008.4,2008.4,383.8,673.0,822.1,842.5,45.0,75.0,157.4,159.9,9.0,26.1,40.4,41.2,595.9,45342.6,46213.2,3945331.1,12011953.6,16547632.2,7874.9,33308.7,43254.5
Bastia,440,30,1857.9,305.6,1984.6,1990.5,1987.9,1988.4,117.9,444.2,200.6,218.2,11.0,47.7,71.9,89.0,4.0,15.4,14.0,15.8,555.9,42627.3,43445.8,1836285.6,4606533.4,5684602.2,4173.4,9161.7,8638.2
Niolon,389,135,6819.7,3506.3,2005.0,2004.7,2006.9,2005.0,447.2,789.2,474.1,640.9,25.0,53.6,55.0,89.1,10.0,29.0,26.3,43.2,1367.4,105665.8,107694.5,4681179.9,16572239.0,19696490.1,12033.9,44951.6,52681.4
Calais,383,151,7434.9,3638.2,2003.5,2001.7,2007.8,2008.1,242.4,949.1,1502.4,1196.9,29.0,97.3,330.9,290.9,14.0,75.9,169.7,105.5,1461.7,110050.5,112163.4,10740874.3,26594521.7,33155359.5,28044.1,68181.9,72204.4
Grande-Synthe,355,200,1250.4,1803.5,2001.8,2003.2,2007.6,2007.4,189.6,496.5,805.5,849.2,25.0,69.2,241.8,241.2,21.0,27.2,28.5,28.9,328.8,24939.3,25418.1,1421562.3,4653913.1,5666364.3,4004.4,17177.3,21846.3
Bayonne,331,219,1624.4,2305.3,2007.0,2005.7,2007.4,2007.3,681.9,1092.9,1051.0,1028.4,69.0,116.4,218.8,213.4,32.0,60.1,84.7,83.3,449.6,34347.3,35006.7,3152231.8,9048027.7,12383784.8,9523.4,36202.3,47611.0
Boulogne-Sur-Mer,328,135,717.4,1109.2,2001.4,2001.3,2003.3,2004.5,390.0,963.6,1168.8,1312.2,35.0,105.7,362.5,332.3,45.0,77.6,58.8,30.1,249.2,18798.2,19159.1,1849565.7,4643208.2,6048067.3,5638.9,16548.1,21643.9
Rogerville,319,171,3556.0,5544.1,2005.3,2007.2,2008.3,2008.2,290.1,1121.2,1522.5,1509.0,47.0,119.9,311.7,309.9,22.0,40.9,35.7,35.7,839.3,64118.5,65349.5,3088302.3,12049766.6,14407361.8,9681.2,44216.1,54233.2
Donges,292,195,16050.2,28446.8,2009.2,2009.0,2009.9,2009.9,976.5,1469.7,1935.5,1995.0,133.0,190.9,401.7,409.8,35.0,49.5,41.6,41.0,1967.9,150815.7,153711.4,13244531.3,30725130.6,34559096.7,45358.0,134025.1,165750.7
Courrensan,290,147,3834.2,5452.0,2004.9,2002.7,2008.1,2009.4,382.0,1183.4,1270.8,1731.8,43.0,115.4,321.6,384.5,12.0,34.7,113.2,142.7,588.8,45332.0,46202.3,4624863.5,12465093.9,15648629.3,15947.8,51219.0,63393.0
Brest,286,209,3528.7,3777.2,2005.0,2004.3,2006.6,2007.3,537.6,873.1,951.6,1027.0,62.0,100.1,170.0,181.1,29.5,75.4,135.6,162.5,871.6,66511.2,67788.2,3348537.9,10650727.6,12730463.6,11708.2,42175.4,52177.7
La Seyne-Sur-Mer,242,55,7259.1,3078.9,2004.7,2001.6,2007.7,2007.6,1326.5,815.3,1036.9,1184.5,74.0,84.2,73.2,81.4,11.0,75.5,15.7,22.4,1311.8,101473.8,103422.1,4002663.1,8192709.9,9659211.7,16539.9,40789.3,44643.7
Roscoff,234,18,1743.1,298.7,2004.6,1998.9,2003.7,2004.1,181.0,385.2,251.6,267.0,12.0,44.9,30.9,31.2,6.0,29.0,24.9,32.7,339.7,25627.3,26119.4,1823363.6,4522931.3,5571652.8,7792.2,16796.8,15552.1
St Nazaire,211,126,2125.6,1451.9,2004.4,2004.3,2004.7,2004.8,664.2,927.4,1264.5,1160.2,72.0,109.1,226.1,239.6,34.0,59.6,46.4,57.9,489.2,37428.7,38147.3,1915169.2,6004707.5,7082668.3,9076.6,30902.0,39616.2
Nice,203,50,1188.1,304.3,1986.5,1993.2,1991.8,1995.7,217.3,589.6,410.1,538.2,16.0,74.0,45.7,82.9,9.0,30.6,31.3,44.5,389.4,29923.4,30497.9,1083477.3,3160687.2,4109585.1,5337.3,14810.8,16221.2
Toulon,201,23,3314.3,630.7,1995.4,2002.5,1996.4,2002.1,302.4,768.6,505.9,677.6,17.0,54.1,61.9,126.0,11.0,47.4,83.8,149.5,822.3,63392.6,64609.7,2524625.8,6651950.1,8153366.4,12560.3,29699.9,28552.8
Rouen,198,150,1475.2,1972.3,2002.7,2003.8,2006.4,2008.9,407.4,682.5,698.4,809.4,52.5,93.9,154.1,169.8,37.0,59.6,79.5,88.2,274.3,20877.0,21277.8,1502802.0,4556009.9,6386719.6,7589.9,30414.6,39521.4
Trignac,180,12,2897.4,898.1,2005.6,2005.7,2008.1,2009.0,913.7,1093.7,945.5,1011.8,67.0,95.5,93.6,106.3,27.5,22.7,32.4,33.3,574.1,43939.4,44783.1,1371677.2,6507817.2,4396928.2,7620.4,19744.0,23954.7
Port De Bouc,176,128,3806.2,6288.2,2002.9,2005.4,2008.6,2009.6,585.3,1015.9,1197.2,1366.2,54.5,111.5,230.4,246.9,24.0,61.3,70.7,74.3,626.9,48188.0,49113.2,3256611.7,8881223.2,10275619.7,18503.5,61820.4,76987.1
Fecamp,168,76,2229.5,2244.9,1998.9,1999.3,2011.3,2011.8,385.9,1193.9,2231.3,1984.5,41.0,224.3,303.5,291.9,30.0,37.5,17.9,19.5,281.2,21506.3,21919.2,1603993.2,5300273.1,6435504.3,9547.6,35452.9,45046.7
Honfleur,159,107,1024.3,1026.6,2000.4,2001.9,1999.8,2005.1,1230.5,1118.6,648.2,1177.9,131.0,134.0,131.4,173.2,32.0,46.9,49.9,67.8,300.3,22780.9,23218.3,2167110.2,6847036.6,9432370.3,13629.6,51923.7,67741.3
Grand Couronne,155,141,1562.6,2480.7,2008.0,2008.0,2009.7,2009.8,392.4,746.9,798.9,782.5,59.0,97.2,222.5,223.3,38.0,54.9,83.7,86.7,276.3,21047.4,21451.5,1408595.4,4631054.6,5973715.6,9087.7,38531.3,48909.4
Dieppe,154,50,1973.6,489.6,2005.1,2003.8,2006.0,2006.1,342.4,649.9,1081.2,838.0,34.5,102.2,665.1,532.8,6.0,52.9,6.5,13.6,477.9,35886.8,36575.9,2694108.6,6611598.5,8148710.1,17494.2,39503.8,39133.0
Saint Louis Du Rhone,142,51,373.3,458.7,1994.7,1999.7,2002.4,2001.9,445.2,730.7,474.8,498.5,41.5,96.4,93.8,102.2,27.0,70.2,63.3,67.9,87.0,6604.9,6731.7,815355.2,2303173.0,3154758.8,5741.9,19177.9,25903.4
Rochefort,139,97,481.4,690.7,2002.3,2001.6,2003.2,2003.3,1007.2,1090.9,1173.3,1145.7,123.0,131.3,162.4,159.7,50.0,58.4,70.2,69.7,151.0,11414.7,11633.8,1731963.3,4920782.3,6876131.6,12460.2,42987.6,58231.1
Dieppedalle,132,115,1387.5,2280.5,2005.0,2004.8,2011.3,2011.5,378.7,695.3,1037.3,1100.1,47.0,79.4,269.4,284.9,35.0,50.5,44.0,43.6,199.5,15198.1,15489.9,1001702.3,3594038.3,4614738.7,7588.7,35856.9,46147.7
Caronte,131,102,710.2,1086.5,2004.3,2004.0,2005.2,2005.2,595.2,905.6,819.1,844.1,85.0,125.3,237.2,242.9,74.0,82.8,96.3,97.6,176.3,13486.4,13745.4,1251880.3,3622144.3,5097975.1,9556.3,37881.0,49282.9
Radicatel,131,82,785.9,1001.2,2002.9,2004.5,2009.3,2009.6,307.7,679.5,788.2,810.2,42.0,72.6,298.4,313.7,21.0,26.4,27.3,28.5,222.5,16877.7,17201.7,1367069.4,3657390.5,4554751.5,10435.6,32889.5,40420.7
Bouteville,122,102,1953.4,2800.6,2007.4,2007.2,2008.8,2008.8,870.4,1100.3,1245.2,1298.6,75.0,107.9,158.7,158.2,7.0,16.4,19.7,19.2,314.1,23913.7,24372.9,1401887.9,5387456.0,6535966.2,11490.9,56993.2,71965.2
Lorient,118,105,2629.8,4285.6,2005.1,2005.2,2008.4,2008.6,995.7,1441.2,1760.0,1814.2,122.5,173.7,327.4,337.5,54.0,82.8,122.2,127.5,419.5,32094.7,32710.9,1908205.1,5968476.7,7598380.2,16171.2,69335.6,86458.7
Ajaccio,114,46,3233.2,365.3,2007.4,2003.9,2010.0,2008.9,357.6,428.1,371.7,420.8,32.0,31.5,31.5,42.0,10.0,15.2,11.3,15.4,600.9,46507.8,47400.7,800398.5,4845639.6,5921544.0,7021.0,38068.6,43712.1
Val-De-La-Haye,113,109,1461.7,2280.2,2006.5,2006.4,2008.7,2008.6,605.1,948.6,1108.3,1112.8,73.0,110.1,247.9,249.2,48.0,63.5,73.4,73.8,233.9,17846.8,18189.4,1187168.4,4059051.8,5447241.9,10505.9,48935.9,62613.3
Cannes,112,29,1953.3,459.0,2005.8,2001.9,2008.1,2011.3,148.1,396.3,170.3,402.5,14.0,38.0,23.8,76.2,9.0,20.0,16.5,68.9,374.9,29017.9,29575.0,526611.0,2792356.7,3350291.1,4701.9,23139.7,27178.9
Les Sables D Olonne,104,92,243.5,365.9,2005.5,2005.3,2006.3,2006.3,601.7,788.8,788.4,782.1,69.5,93.1,153.1,154.3,59.5,67.7,84.6,86.6,76.0,5750.8,5861.2,918560.1,2646148.3,3736657.0,8832.3,30381.3,41867.3
Le Legue,100,72,158.9,234.6,2001.0,2000.6,2001.1,2001.0,522.6,707.9,753.8,757.2,83.5,88.8,131.6,132.4,47.0,52.2,57.4,58.1,55.5,4167.6,4247.6,724411.2,2078944.0,2985641.0,7244.1,23698.4,34002.6
Nantes,95,76,426.2,582.0,2003.7,2004.0,2003.4,2003.9,738.2,1012.6,957.9,960.8,90.0,123.5,193.8,189.8,35.0,41.0,42.9,44.2,125.4,9527.4,9710.4,1186174.4,3145966.1,4366828.9,12486.0,42877.7,58282.4
Montfaucon,93,41,1814.4,2780.2,2002.4,2002.7,2012.7,2015.4,297.5,1353.1,3862.9,4255.2,44.0,189.1,392.2,409.5,5.0,34.0,595.6,749.9,169.7,12321.0,12557.5,1041212.2,2584652.3,2776475.0,11195.8,36887.0,47910.0
Villefranche,80,28,1666.6,297.8,1997.2,2003.6,2002.0,2004.7,136.2,518.1,278.1,445.3,13.0,44.7,51.3,128.5,9.0,32.3,9.9,15.0,357.1,27635.6,28166.2,429486.0,2240685.0,2610296.0,5368.6,26767.1,30002.0
La Peyrade,77,48,1170.7,1868.1,2006.1,2007.7,2010.3,2010.3,531.1,1046.2,1116.0,1130.2,56.0,143.1,227.2,229.9,41.0,53.4,33.7,33.6,218.7,16841.4,17164.7,606679.8,3018604.0,3519981.9,7879.0,46666.9,57180.9
