Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Chittagong,3246,1350,156719.4,243385.5,2006.3,2006.9,2007.1,2006.8,1533.9,2527.6,2247.8,2333.4,128.0,246.8,369.6,398.7,134.0,181.6,292.9,313.3,22346.7,1722645.1,1755719.9,128731711.3,377707302.6,450139344.3,39658.6,149673.0,181016.0
Mongla,293,172,7048.4,10302.5,2005.6,2005.7,2006.7,2007.0,1734.9,2208.0,2269.1,2287.7,157.0,254.1,405.6,431.6,55.0,144.2,168.4,182.9,1260.3,96986.0,98848.1,6029737.8,16071525.9,20407882.2,20579.3,83669.6,104951.0
Payra Port,23,19,819.4,1386.3,2010.0,2008.8,2007.0,2006.9,797.6,1795.3,2000.2,2044.6,82.0,185.3,328.4,329.5,34.0,273.1,480.4,479.2,101.9,7865.7,8016.7,581497.9,1563777.1,1972943.2,25282.5,99562.3,122032.4
Munshiganj,6,6,575.7,823.7,2010.3,2010.3,2008.0,2007.1,1645.9,1854.6,2092.1,2005.2,145.5,177.5,253.9,235.2,41.5,56.3,77.4,69.5,58.2,4503.6,4590.1,276821.4,1111744.6,1033762.4,46136.9,232933.3,332718.9
Ashuganj,1,1,134.6,251.3,2012.0,2012.0,2012.0,2012.0,1604.7,1604.7,1604.7,1604.7,122.0,122.0,122.0,122.0,7.0,7.0,7.0,7.0,11.7,904.0,921.4,91978.6,173313.8,195239.9,91978.6,241532.2,291775.1
