Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,466,254,1189.9,1651.0,1996.2,1995.5,2001.8,2001.7,417.6,524.9,453.0,449.9,58.5,90.5,98.9,97.1,29.0,63.0,63.6,64.9,315.7,24039.9,24501.5,2118000.0,6383243.5,9074738.6,4545.1,18062.2,24379.4
Container,272,28,1998.9,2548.8,2001.9,2001.2,2000.1,1999.9,568.3,513.0,478.1,482.2,45.0,44.9,52.3,52.4,15.0,19.3,21.8,21.5,418.9,32131.5,32748.4,2590381.9,9228194.6,10400709.1,9523.5,35747.7,42778.8
Chemical tanker,242,108,1097.6,1684.1,2009.4,2008.2,2007.4,2007.3,540.4,583.1,576.2,582.1,60.0,76.4,104.9,104.9,31.0,50.2,60.6,61.2,394.5,30037.3,30614.0,1399879.7,4952919.9,6083336.8,5784.6,23182.7,29073.4
Ferry-RoPax,153,4,1839.4,684.4,1989.9,1989.5,1989.5,1989.9,567.9,576.5,561.4,566.5,46.0,45.8,47.4,47.8,26.0,24.2,33.7,38.1,419.4,32034.0,32649.1,4251865.8,10514527.6,12901392.9,27790.0,59320.5,54028.5
Oil tanker,113,71,2438.4,4399.0,2009.0,2008.7,2007.7,2007.7,574.2,608.0,672.5,674.8,61.0,73.8,95.5,95.3,30.0,48.5,42.8,42.6,322.0,24792.0,25268.0,2633227.9,5271044.6,5795965.0,23302.9,60830.9,75862.2
Ro-Ro,68,7,608.6,413.3,1980.1,1987.6,1978.8,1978.8,562.2,440.3,564.4,555.6,64.0,97.1,69.2,71.0,33.0,71.9,83.1,85.8,179.3,13859.9,14126.0,462361.9,1007887.4,1032946.9,6799.4,16016.4,17348.8
Bulk carrier,59,52,1054.6,1683.0,2004.4,2004.4,2009.9,2009.9,614.6,983.1,1005.7,981.7,62.0,124.3,279.8,272.3,53.0,89.5,69.4,72.3,128.9,9950.9,10141.9,765542.4,1748188.3,2346563.8,12975.3,47610.6,58265.4
Vehicle,20,2,81.9,29.3,1987.0,1995.5,1987.5,1987.1,609.5,425.1,491.4,504.6,66.5,44.0,65.2,66.2,12.0,11.0,16.9,17.1,16.1,1224.5,1248.0,29642.9,130693.5,151356.4,1482.1,5633.6,6063.0
Liquefied gas tanker,18,10,76.0,87.8,2004.3,2002.3,2006.1,2005.6,666.2,666.8,824.5,822.1,76.5,85.2,95.2,94.3,15.0,45.7,60.7,59.0,40.3,3070.0,3129.0,66245.7,191924.7,211946.4,3680.3,20149.6,26497.2
Ferry-pax only,13,1,0.2,0.0,1981.0,1981.0,1981.0,1981.0,138.7,138.7,139.1,139.1,9.0,9.0,13.2,13.2,18.0,18.0,17.6,17.6,0.6,47.7,48.6,2230.9,4543.4,5723.2,171.6,399.1,526.1
Miscellaneous - fishing,6,5,18.2,14.6,2000.3,2002.8,1999.9,1997.8,1761.0,4383.1,2485.6,1747.7,1364.0,1327.2,1558.1,1311.7,26.5,144.7,253.1,217.9,22.6,1695.8,1728.4,102505.9,227377.9,258505.7,17084.3,40207.2,47663.2
Service - tug,5,4,1.4,0.9,1992.2,1994.8,1995.4,1997.3,257.0,978.9,702.9,567.0,59.0,1581.8,4390.4,3863.4,46.0,213.8,439.6,385.9,7.4,556.6,567.3,22599.2,53440.2,71553.5,4519.8,11671.0,15757.8
Service - other,3,3,11.6,7.7,2001.7,2001.7,1999.7,1990.3,2758.3,2253.0,999.0,1685.6,1425.0,1096.3,919.8,1451.9,346.0,636.7,660.1,1157.1,18.8,1412.8,1439.9,53593.5,109962.0,118490.7,17864.5,39751.5,44885.1
