Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Cruise,534,79,26615.3,2383.7,2005.4,2003.2,2006.6,2006.2,374.4,529.9,474.9,481.6,20.5,34.9,40.2,40.6,7.0,7.5,7.3,7.4,5471.4,422378.8,430488.5,4856186.1,36355848.1,43749480.8,9094.0,60174.0,69185.0
General cargo,167,14,335.9,439.0,1996.9,1998.8,1999.8,1998.8,693.9,537.2,666.4,662.4,56.0,53.3,68.9,69.0,11.0,22.1,15.4,16.0,125.1,9411.2,9591.8,1321354.2,3795561.0,5449985.8,7912.3,25984.3,37235.9
Ro-Ro,87,4,182.2,209.0,1986.4,1979.5,1987.8,1987.0,359.4,624.0,414.4,438.6,31.0,59.9,52.5,57.3,8.0,11.8,12.2,12.0,84.5,6436.8,6560.4,435399.5,2560361.9,1381815.2,5004.6,12072.8,15875.3
Container,31,5,96.6,126.9,1996.8,1997.2,1997.5,1997.4,745.4,707.2,724.2,723.8,68.0,65.0,79.3,79.5,8.0,6.4,8.9,8.9,33.1,2529.2,2577.8,265296.5,690373.0,780111.3,8558.0,22733.8,25767.7
Chemical tanker,28,22,922.1,1535.4,2010.2,2010.5,2009.7,2009.8,1002.2,1418.0,1391.6,1395.9,83.5,131.1,252.2,251.5,28.0,25.4,31.7,31.6,141.1,10900.3,11109.6,369112.8,2316560.3,2680739.0,13182.6,96889.9,118650.6
Bulk carrier,21,4,66.1,115.0,1971.9,1978.8,1988.5,1989.9,992.0,825.5,874.8,884.9,109.0,88.5,90.2,88.8,28.0,22.8,15.8,14.6,17.1,1294.0,1318.9,107706.0,253920.8,303257.1,5128.9,16532.5,20553.5
Liquefied gas tanker,13,9,182.5,204.9,2006.6,2007.3,2010.5,2010.5,895.8,818.2,872.2,875.4,74.0,73.2,86.1,86.5,21.0,19.1,20.1,19.9,31.1,2385.4,2431.2,99253.9,400672.6,391856.3,7634.9,48591.2,68008.0
Oil tanker,9,8,290.2,513.1,2003.7,2003.8,2004.1,2004.2,794.2,832.7,871.6,872.2,139.0,117.9,169.3,170.2,18.0,17.6,18.6,18.7,45.0,3484.2,3551.1,322141.6,685643.4,757797.9,35793.5,96647.9,118738.6
Service - other,2,2,21.0,10.4,1984.5,1984.5,1987.5,1985.6,4949.7,4949.7,2907.1,3270.5,736.5,736.5,510.7,653.4,17.0,17.0,13.8,15.8,16.9,1271.5,1295.9,72347.0,148440.1,159953.2,36173.5,80492.1,90887.0
Service - tug,1,1,0.6,0.6,2009.0,2009.0,2009.0,2009.0,378.0,378.0,378.0,378.0,87.0,87.0,87.0,87.0,16.0,16.0,16.0,16.0,0.2,14.8,15.1,14262.7,33726.9,45158.6,14262.7,36828.8,49725.1
