Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,139,13,2591.4,3027.5,2002.4,2000.9,2001.4,2001.8,153.2,862.0,917.2,894.0,16.0,51.4,86.0,87.1,10.0,10.3,9.4,9.5,661.2,51155.8,52138.0,2568138.5,9331993.0,10192781.5,18475.8,67924.3,79749.1
General cargo,101,14,1616.5,2005.5,2003.5,2005.9,2011.6,2011.3,905.7,1553.5,1753.4,1781.0,71.0,123.6,128.6,123.3,31.0,263.5,911.1,950.4,211.4,16186.9,16497.6,1008737.8,3456216.7,5042939.2,9987.5,52711.8,71715.2
Chemical tanker,41,19,1479.3,2422.3,2009.6,2010.0,2009.5,2009.6,1291.9,1506.7,1666.8,1672.7,110.0,155.9,383.8,386.4,27.0,36.0,35.5,35.1,220.6,17043.2,17370.5,654743.3,3895016.3,4571648.3,15969.3,110916.8,137441.9
Vehicle,27,14,2743.4,816.3,2004.8,2004.8,2004.9,2004.5,1720.2,1911.8,1960.0,1876.2,112.0,138.0,138.4,136.6,9.0,12.3,16.0,17.5,195.9,15166.1,15457.3,826592.2,3644385.3,4220569.6,30614.5,116365.8,125235.1
Service - tug,24,6,18.3,9.3,1969.8,1980.0,1982.3,1980.2,340.3,3533.2,2356.9,2333.2,62.5,797.2,1277.3,1312.2,30.0,503.1,1981.9,1290.3,51.8,3886.6,3961.2,237947.1,562673.3,753389.2,9914.5,25600.9,34565.6
Service - other,19,12,442.1,315.1,1992.4,1991.2,1987.6,1984.3,3281.8,3195.1,3640.3,3372.1,395.0,447.3,1123.3,728.3,91.0,141.8,219.6,236.6,150.2,11359.0,11577.0,2198986.3,4511837.2,4861777.8,115736.1,257532.3,290790.5
Oil tanker,18,15,1524.8,2716.8,2006.7,2006.7,2005.8,2005.8,1936.5,1789.3,2098.0,2132.2,179.5,165.7,279.8,281.3,32.5,47.6,55.8,56.5,150.6,11669.6,11893.6,1593897.9,3489725.4,3871984.7,88549.9,232181.2,284072.7
Miscellaneous - fishing,11,9,59.3,58.3,2001.6,2000.0,2002.1,2004.5,3737.3,6678.6,6824.9,5558.2,361.0,574.4,754.9,777.0,174.0,436.1,1343.4,1075.6,56.8,4264.4,4346.3,410250.5,910014.7,1034594.5,37295.5,87773.3,104049.9
Bulk carrier,9,4,103.0,160.7,1998.4,2002.0,1997.1,1997.0,1424.5,1142.2,1244.8,1234.2,121.0,94.0,140.8,141.2,20.0,42.2,33.4,32.6,17.9,1380.2,1406.7,65890.8,182917.6,284290.1,7321.2,34491.6,44703.6
Liquefied gas tanker,8,2,68.8,72.9,2011.5,2011.0,2011.4,2011.4,2211.3,2224.7,2218.8,2219.5,185.5,204.0,214.7,215.2,19.0,259.5,156.3,169.2,49.7,3782.9,3855.5,55016.3,159391.3,176019.0,6877.0,37651.5,49512.7
Cruise,2,2,371.5,38.1,1996.0,1996.0,1999.8,1998.4,2324.3,2324.3,2615.2,2286.6,132.5,132.5,161.0,150.3,10.0,10.0,13.2,12.0,82.2,6351.6,6473.5,196344.7,827785.2,888533.1,98172.3,361360.8,355519.4
