Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Virgin Islands (U.S.),51,1,27.6,36.9,2011.0,2011.0,2011.0,2011.0,148.1,148.1,144.7,144.7,24.0,24.0,28.0,28.0,6.0,6.0,7.6,7.6,23.0,1755.2,1788.9,39604.4,72978.5,85088.2,776.6,1825.2,1937.5
Saint Kitts and Nevis,31,11,17.5,15.7,1995.6,1991.3,1997.9,2002.6,95.1,96.7,109.8,118.1,13.0,21.9,22.3,18.6,13.0,11.4,20.4,23.8,17.9,1355.2,1381.2,30042.8,65239.7,81918.8,969.1,3540.4,4791.3
Virgin Islands (British),16,12,6.7,6.2,1989.6,1989.8,1997.9,2003.0,130.7,143.5,130.0,128.2,17.5,39.6,30.9,24.6,12.5,83.4,29.9,33.8,11.5,864.1,880.7,17015.4,40242.0,51357.7,1063.5,3194.7,4388.5
Antigua and Barbuda,11,5,11.7,6.7,1999.1,2001.4,2007.4,2004.6,140.2,140.1,123.1,139.2,18.0,17.5,16.3,17.8,13.0,15.5,15.6,19.3,6.6,500.5,510.1,12004.9,50171.7,50329.3,1091.4,4421.9,5688.5
Montserrat,11,6,4.8,6.9,1986.2,1990.2,1991.8,1990.8,146.1,170.3,190.6,195.1,22.0,27.9,32.5,33.4,6.0,4.4,9.2,9.1,4.4,335.3,341.8,16805.1,63297.2,50571.1,1527.7,4784.3,6662.5
Sint Maarten (Dutch part),7,5,3.4,4.7,1977.6,1979.4,1977.5,1976.1,82.9,342.1,287.1,683.1,60.0,65.5,120.4,139.0,10.0,18.4,41.6,48.0,4.3,322.5,328.7,15417.8,50489.9,64327.8,2202.5,7049.5,10230.8
Trinidad and Tobago,4,2,2.5,2.6,1975.5,1975.0,1975.8,1975.7,547.1,538.9,568.0,565.7,124.0,123.0,149.3,145.1,58.0,164.5,70.5,80.9,2.5,184.5,188.1,7978.3,22888.4,32892.3,1994.6,6501.4,9350.7
Barbados,4,2,2.4,2.4,1974.2,1972.5,1974.0,1974.1,439.0,439.0,439.5,439.8,57.5,53.0,58.0,58.2,32.0,28.0,46.8,47.6,0.9,66.7,68.0,7358.5,21110.3,30337.0,1839.6,5996.4,8624.3
"Bonaire, Sint Eustatius and Saba",3,3,0.4,0.1,1980.3,1980.3,1986.6,1978.6,63.3,66.8,74.0,65.1,17.0,17.0,17.0,17.0,3.0,2.7,2.8,1.7,0.5,36.3,37.0,807.5,3735.3,3378.0,269.2,725.5,1119.7
Saint Barthélemy,3,2,1.0,0.1,1989.0,1988.0,1989.6,1989.3,97.2,83.2,90.0,85.9,17.0,16.5,20.1,19.5,25.0,31.2,27.5,28.2,2.3,169.6,172.9,339.2,1915.4,4164.9,113.1,653.1,1262.2
Guadeloupe,2,1,6.2,0.7,1992.0,1992.0,1992.0,1992.0,207.0,207.0,207.0,207.0,28.5,28.5,28.9,28.9,14.0,14.0,14.0,14.0,3.2,250.6,255.4,1815.5,15027.0,20039.5,907.7,6269.2,7453.2
United Kingdom of Great Britain and Northern Ireland,2,2,1.7,2.2,2005.0,2005.0,2004.4,2004.1,161.4,161.4,163.7,170.6,16.0,16.0,16.6,16.9,12.0,12.0,13.2,13.8,0.7,55.3,56.4,3296.6,4369.1,4330.9,1648.3,6089.1,8075.9
Grenada,2,2,3.4,4.7,2002.5,2002.5,2002.8,2001.7,412.9,412.9,409.5,415.8,39.5,39.5,38.8,41.0,28.0,28.0,26.8,30.6,2.0,152.0,155.0,6288.6,9386.3,9523.4,3144.3,12211.5,16175.2
United States of America,1,1,53.0,84.2,2005.0,2005.0,2005.0,2005.0,2280.4,2280.4,2280.4,2280.4,212.0,212.0,212.0,212.0,21.0,21.0,21.0,21.0,8.5,650.1,662.5,16247.9,118988.5,137191.4,16247.9,140308.8,172481.0
Netherlands,1,1,0.2,0.0,1984.0,1984.0,1984.0,1984.0,35.5,35.5,35.5,35.5,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.1,6.1,6.2,64.2,362.6,788.4,64.2,370.9,716.8
Saint Martin (French part),1,1,0.0,0.1,2003.0,2003.0,2003.0,2003.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.2,14.7,14.9,113.0,121.0,114.0,113.0,384.8,511.5
Saint Lucia,1,1,1.5,2.1,2017.0,2017.0,2017.0,2017.0,286.8,286.8,286.8,286.8,28.0,28.0,28.0,28.0,3.0,3.0,3.0,3.0,0.5,41.4,42.1,3439.1,10650.9,13584.8,3439.1,11827.0,15262.3
