Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Road Bay,133,24,87.8,70.1,1997.2,1987.8,2000.9,2005.5,113.0,212.6,162.4,146.2,15.0,95.5,89.8,110.8,10.0,15.8,14.4,18.1,101.2,7686.0,7833.6,116518.9,407035.2,432494.2,876.1,2831.2,3644.8
Anguilla,14,4,10.2,15.2,2003.4,2004.5,2003.3,2003.1,108.5,204.8,145.2,146.4,11.0,20.8,17.7,17.9,10.5,10.0,16.1,15.9,5.6,428.6,436.8,28637.4,38314.6,39749.2,2045.5,6879.2,9039.1
Meads Bay Beach,5,4,13.4,6.1,1997.6,1999.2,1995.4,2005.1,92.5,534.9,378.2,145.8,33.0,76.1,281.9,83.7,8.0,8.9,7.8,9.6,8.1,613.5,625.3,12265.1,43508.6,70131.2,2453.0,9665.9,14438.3
