Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
India,290,65,852.5,901.4,1997.6,2003.0,2000.5,2001.7,443.6,726.6,672.7,747.5,71.0,133.8,321.4,358.6,54.5,110.1,190.4,209.2,366.4,28123.5,28663.4,938054.4,3340838.1,4214607.6,3234.7,14459.2,19537.5
Sri Lanka,200,50,1226.6,1510.0,2007.2,2002.2,2005.3,2005.5,446.0,504.1,468.0,468.5,43.0,86.9,57.2,58.6,111.0,121.5,154.7,158.1,521.8,39800.1,40564.3,1240177.6,4398062.4,4999901.4,6200.9,26118.7,32229.4
United Arab Emirates,96,55,3012.6,4306.0,2005.7,2007.5,2007.9,2007.7,1842.1,1866.1,1900.6,1892.9,165.0,186.8,179.0,179.2,57.0,111.1,105.8,111.4,539.0,41528.3,42325.6,2375961.0,7045850.0,8065414.3,24749.6,106891.2,139336.1
Singapore,54,42,2048.8,3097.6,2008.6,2009.0,2010.0,2011.1,1952.4,2011.1,1917.7,1912.3,179.5,188.1,180.6,182.3,48.0,115.6,121.0,133.7,290.9,22422.2,22852.7,1671800.7,4399384.3,5302275.0,30959.3,111338.8,135041.0
Malaysia,28,27,786.5,1045.4,2001.6,2001.1,2009.0,2009.6,1984.0,2326.1,2103.8,2123.3,210.0,242.5,240.5,268.5,70.5,198.5,118.2,140.5,145.4,11155.6,11369.8,743466.7,1892440.1,2299468.4,26552.4,91293.6,108816.9
Bangladesh,23,9,281.4,323.4,2012.6,2012.7,2012.7,2012.4,1631.9,1771.6,1993.5,1994.5,143.0,150.6,155.6,154.9,29.0,38.4,67.3,68.9,79.8,6120.7,6238.2,244108.1,707221.0,780998.4,10613.4,58107.9,76413.3
Indonesia,23,17,600.7,762.0,2000.3,2002.4,2007.3,2006.2,1717.5,1773.6,1809.3,1793.8,164.0,186.4,154.3,157.0,51.0,127.9,94.1,94.5,109.9,8435.0,8596.9,337912.3,1305044.3,1426373.7,14691.8,80522.8,113443.1
Oman,13,11,438.4,326.2,2008.9,2008.1,2008.0,2008.6,1625.5,1903.6,1706.3,1882.5,134.0,171.8,180.9,236.5,43.0,53.2,57.9,65.2,102.3,7889.8,8041.3,259665.4,991405.8,1094997.0,19974.3,100787.3,126450.3
"Tanzania, United Republic of",10,5,646.0,822.4,2001.6,2003.0,2002.1,2001.9,2330.8,2304.6,2323.0,2321.6,187.0,208.9,226.3,223.7,23.0,50.2,36.7,37.4,92.1,7130.8,7267.7,680548.3,2297379.3,2510407.9,68054.8,234574.1,273305.0
Seychelles,9,8,325.5,53.9,2003.9,2002.8,2003.7,2006.5,1277.8,1271.9,1281.1,1281.7,105.0,100.4,95.2,106.1,12.0,14.2,16.4,18.3,70.2,5429.3,5533.5,102699.8,776334.4,1094935.4,11411.1,75437.3,95638.1
Mauritius,8,6,206.4,247.8,2010.5,2011.0,2010.1,2010.1,1974.1,2837.3,2960.6,4197.3,428.5,380.9,453.7,594.4,20.5,21.5,20.0,21.2,49.4,3803.6,3876.6,183931.4,613531.9,856328.3,22991.4,106759.4,136154.4
United States of America,7,5,3879.4,4351.4,2016.9,2016.8,2016.9,2016.9,11722.3,11791.4,11734.8,11736.9,779.0,786.2,784.5,784.6,38.0,42.0,39.2,39.3,460.0,35601.6,36285.1,1013648.6,7573431.7,6288791.8,144806.9,1309727.1,2035148.9
Thailand,5,4,104.9,65.3,1990.6,1988.8,1992.3,1994.9,1517.2,1561.5,1352.1,1482.2,164.0,145.9,118.3,151.4,9.0,80.8,47.5,88.9,19.1,1469.4,1497.6,74524.3,372694.5,502836.5,14904.9,78050.7,96629.8
Antarctica,4,1,0.2,0.2,2010.0,2010.0,2010.0,2010.0,14.8,14.8,38.6,38.6,8.0,8.0,36.4,36.4,10.0,10.0,11.9,11.9,1.0,78.3,79.8,726.5,5601.2,2643.2,181.6,443.3,631.9
Qatar,4,4,437.6,593.5,2013.0,2013.0,2012.7,2012.3,2099.9,2096.0,2095.5,2094.4,145.0,156.8,160.6,167.2,27.5,38.5,42.5,48.9,47.3,3662.9,3733.2,209108.4,870272.8,796218.0,52277.1,260374.5,380512.4
Russian Federation,4,2,107.0,169.9,2012.0,2013.0,2015.0,2015.0,153.6,2273.6,4099.6,4185.0,39.0,197.0,366.2,366.4,11.5,9.0,3.0,3.0,16.4,1264.7,1289.0,33907.0,248776.8,280508.4,8476.8,71334.9,87836.0
China,4,4,93.9,102.9,2006.8,2006.8,2006.3,2004.3,3083.0,2646.0,3232.0,3298.7,322.0,275.8,358.6,363.6,20.0,22.0,31.3,29.0,12.7,974.5,993.2,94156.0,287543.7,384709.3,23539.0,109655.7,142290.3
South Africa,2,2,347.4,403.4,2007.5,2007.5,2007.5,2007.5,3740.7,3740.7,3740.8,3740.8,252.5,252.5,252.6,252.6,56.5,56.5,56.8,56.7,44.5,3446.8,3512.9,93960.8,702024.1,582943.6,46980.4,424921.0,660273.0
"Bonaire, Sint Eustatius and Saba",2,2,925.4,1113.5,2006.5,2006.5,2006.5,2006.5,9952.5,9952.5,9952.6,9952.9,668.5,668.5,668.4,668.3,22.0,22.0,22.0,22.1,111.0,8597.0,8762.1,259387.4,1938001.7,1609269.1,129693.7,1173033.2,1822744.0
Pakistan,2,2,53.1,85.3,2002.0,2002.0,2010.7,2011.6,1435.0,1435.0,1470.2,1474.3,380.0,380.0,545.1,562.9,196.5,196.5,189.5,188.8,12.6,976.8,995.6,33488.7,160948.7,198306.0,16744.4,100148.3,124327.0
Iraq,2,2,26.7,33.4,1996.0,1996.0,1996.0,1996.0,2278.5,2278.5,2277.6,2276.4,177.0,177.0,177.0,177.1,19.0,19.0,19.0,18.9,7.9,610.7,622.4,25231.7,73100.4,80726.2,12615.9,69071.3,90830.5
Philippines,2,2,186.2,245.2,2008.0,2008.0,2002.0,2002.0,3655.2,3655.2,7210.7,7263.1,403.5,403.5,731.0,731.0,73.5,73.5,141.0,141.0,24.7,1910.9,1947.6,205770.7,741325.8,804776.0,102885.4,371596.2,433772.1
Kenya,2,2,96.2,116.3,2006.0,2006.0,2006.6,2006.6,2172.2,2172.2,2174.2,2174.0,162.5,162.5,157.6,158.0,0.0,0.0,0.0,0.0,9.3,716.5,730.2,82679.0,228566.9,267914.5,41339.5,134257.7,160697.5
Malta,1,1,30.8,39.0,2008.0,2008.0,2008.0,2008.0,4268.6,4268.6,4268.6,4268.6,321.0,321.0,321.0,321.0,97.0,97.0,97.0,97.0,8.5,652.2,664.7,29408.3,85200.8,94088.9,29408.3,161009.5,211731.4
Mexico,1,1,0.1,0.1,2010.0,2010.0,2010.0,2010.0,106.9,106.9,106.9,106.9,18.0,18.0,18.0,18.0,5.0,5.0,5.0,5.0,0.2,14.7,15.0,503.0,3877.7,1829.9,503.0,1227.5,1749.8
Iran (Islamic Republic of),1,1,0.3,0.3,2010.0,2010.0,2010.0,2010.0,250.8,250.8,250.8,250.8,98.0,98.0,98.0,98.0,53.0,53.0,53.0,53.0,1.4,101.5,103.4,1180.4,9100.1,4294.3,1180.4,2880.6,4106.4
Mozambique,1,1,64.0,80.9,2009.0,2009.0,2009.0,2009.0,2361.4,2361.4,2361.4,2361.4,327.0,327.0,327.0,327.0,7.0,7.0,7.0,7.0,8.6,667.8,680.7,67921.9,244703.1,265647.3,67921.9,245319.0,286366.3
United Kingdom of Great Britain and Northern Ireland,1,1,62.9,74.0,2005.0,2005.0,2005.0,2005.0,7020.3,7020.3,7020.3,7020.3,497.0,497.0,497.0,497.0,2.0,2.0,2.0,2.0,22.4,1722.3,1755.4,27947.2,102043.5,150668.0,27947.2,167214.1,228347.3
Djibouti,1,1,25.9,15.7,2010.0,2010.0,2010.0,2010.0,1989.0,1989.0,1989.0,1989.0,145.0,145.0,145.0,145.0,0.0,0.0,0.0,0.0,5.4,419.3,427.3,26980.2,79143.2,109143.7,26980.2,108089.4,136288.6
Turkey,1,1,32.2,45.5,2012.0,2012.0,2012.0,2012.0,3739.7,3739.7,3739.7,3739.7,277.0,277.0,277.0,277.0,9.0,9.0,9.0,9.0,9.1,701.1,714.5,17207.7,62830.3,92769.4,17207.7,102957.2,140598.2
Equatorial Guinea,1,1,336.7,379.1,2016.0,2016.0,2016.0,2016.0,6937.1,6937.1,6937.1,6937.1,487.0,487.0,487.0,487.0,36.0,36.0,36.0,36.0,36.1,2794.3,2848.0,88307.5,659785.7,547869.9,88307.5,798709.8,1241093.3
Saudi Arabia,1,1,24.2,32.0,2007.0,2007.0,2007.0,2007.0,2516.2,2516.2,2516.2,2516.2,211.0,211.0,211.0,211.0,170.0,170.0,170.0,170.0,6.8,523.3,533.4,12078.6,44102.6,65117.8,12078.6,72268.9,98690.3
Israel,1,1,232.8,24.9,1996.0,1996.0,1996.0,1996.0,3097.5,3097.5,3097.5,3097.5,200.0,200.0,200.0,200.0,29.0,29.0,29.0,29.0,54.8,4247.7,4329.3,155395.0,541771.2,521410.4,155395.0,481948.8,434629.1
Cyprus,1,1,0.0,0.0,1993.0,1993.0,1993.0,1993.0,30.0,30.0,30.0,30.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,0.0,1.6,1.6,144.4,341.5,457.3,144.4,372.9,503.5
