Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,221,64,1237.8,1588.9,1994.0,2001.9,2005.1,2005.1,465.9,1618.5,1497.5,1464.1,87.0,191.0,237.1,239.6,61.0,81.4,111.9,114.6,308.8,23615.9,24069.3,1425779.0,4451669.2,6314545.2,6451.5,28658.0,37804.7
Liquefied gas tanker,183,53,5956.9,6768.4,2013.0,2010.8,2012.4,2012.2,1341.0,2216.1,2175.8,2168.9,120.0,225.4,397.5,395.7,37.0,74.3,54.6,55.8,946.7,72987.6,74389.0,2337974.7,12431259.1,11196525.4,12775.8,94073.9,138310.5
Container,112,24,2858.8,3613.2,2003.5,2004.5,2004.3,2004.2,500.4,1500.8,1289.8,1278.3,44.5,113.7,125.0,124.2,32.5,77.8,86.7,85.7,552.2,42630.8,43449.3,3112120.4,10693969.1,11784376.4,27786.8,98394.9,115568.8
Bulk carrier,82,60,4986.4,8573.3,2005.7,2007.6,2011.0,2011.0,1743.5,2669.7,2794.1,2837.5,176.0,331.0,550.9,555.6,61.5,87.0,105.9,106.5,434.9,33642.8,34288.7,3096792.7,7105529.9,9029582.6,37765.8,139332.6,167767.7
Service - tug,80,17,10.2,8.5,2007.6,2006.8,2007.9,2008.3,486.2,661.7,594.6,597.9,186.5,256.2,335.5,343.4,83.0,190.9,187.2,168.3,41.8,3139.6,3199.9,218488.8,516660.2,691780.0,2731.1,7052.2,9521.7
Chemical tanker,50,25,979.4,1437.8,2009.7,2011.3,2009.2,2009.3,1815.4,1402.2,1622.6,1597.4,181.5,131.2,222.7,220.5,43.5,52.6,63.8,63.9,241.7,18621.1,18978.6,911895.0,3303362.6,3886435.3,18237.9,74640.5,89328.5
Cruise,28,19,1168.8,156.4,1997.5,1997.8,1994.7,1993.4,495.0,1032.2,1050.2,1110.6,39.0,69.9,126.2,135.6,12.5,51.2,20.2,21.3,259.7,20075.1,20460.6,513400.8,3397046.9,4390143.5,18335.7,103018.0,119641.9
Oil tanker,26,5,748.0,1323.1,1995.1,2002.8,2007.1,2007.2,1868.4,2838.6,3258.9,3332.6,225.5,281.0,448.2,454.4,27.0,25.5,25.9,25.0,133.8,10241.8,10438.4,1054688.6,1672806.1,1796349.1,40564.9,114395.1,146158.6
Service - other,13,2,0.8,0.3,2008.6,2010.5,2007.3,2007.0,430.4,252.0,354.2,443.8,177.0,106.5,205.0,210.8,161.0,143.5,211.7,217.0,8.5,636.8,649.0,2247.3,4611.0,4968.6,172.9,384.7,434.3
Ro-Ro,10,2,0.8,1.0,2010.3,2010.5,2010.4,2010.4,46.4,56.9,79.6,79.1,15.0,14.5,24.5,24.6,9.5,14.0,49.8,49.0,4.5,339.2,345.7,3465.6,26718.1,12608.0,346.6,845.7,1205.6
Refrigerated bulk,5,3,85.4,92.7,1984.0,1989.0,1996.3,1994.6,6344.0,8701.6,8538.0,8284.0,919.0,980.7,1146.8,1124.5,69.0,135.0,96.4,98.6,74.5,5631.1,5739.2,275051.3,601000.4,676970.5,55010.3,117226.3,126569.1
Ferry-pax only,1,1,2.5,0.2,2018.0,2018.0,2018.0,2018.0,2000.5,2000.5,2000.5,2000.5,106.0,106.0,106.0,106.0,9.0,9.0,9.0,9.0,0.2,13.0,13.2,15800.5,32179.2,40535.8,15800.5,36743.3,48439.8
