Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Chile,1331,692,65425.9,72331.4,2008.5,2009.6,2009.6,2009.8,787.8,1024.4,1032.0,1033.9,70.0,107.3,93.7,98.7,31.0,71.9,42.6,51.4,7200.5,556819.6,567510.5,40051525.5,115624272.2,137195136.6,30091.3,106259.5,125869.4
Ecuador,717,388,15913.2,19485.0,2006.9,2008.0,2008.4,2009.0,726.8,1124.7,746.1,750.0,54.0,118.6,221.4,195.7,19.0,57.8,45.0,46.2,2749.2,211656.3,215720.1,15504282.0,42179599.7,48844404.2,21623.8,66972.2,78885.4
Argentina,607,381,4659.2,7694.9,2008.4,2009.8,2011.0,2011.0,230.8,368.9,358.4,346.7,24.0,51.1,176.3,166.0,23.0,29.2,60.3,59.6,853.5,65339.0,66593.5,3653327.2,10079555.6,12550417.2,6018.7,23664.8,29408.5
Colombia,366,91,12367.2,14572.2,2009.2,2007.6,2011.3,2011.2,670.2,1191.4,1149.1,1168.0,56.0,104.8,88.9,93.4,11.0,40.5,23.1,23.8,1547.4,119658.3,121955.7,9224142.4,25997085.1,30056681.2,25202.6,83153.8,98194.1
Panama,283,230,16116.1,22258.3,2008.8,2008.0,2011.2,2010.8,1374.9,2371.4,1360.2,1360.3,111.0,284.7,156.4,157.0,42.0,88.3,64.5,66.3,2339.4,180419.8,183883.9,13265396.9,35581303.3,41608890.6,46874.2,160433.5,192897.9
United States of America,165,147,18442.3,30424.0,2010.1,2010.1,2010.7,2010.5,3190.8,3250.1,3233.6,3216.7,325.0,349.5,356.1,358.6,44.0,71.4,59.9,61.2,2171.4,167089.7,170297.9,12232818.1,38204214.9,45381243.8,74138.3,304104.3,370728.8
Mexico,162,91,34813.7,37990.2,2010.0,2009.3,2010.9,2010.9,2462.5,2740.7,2410.2,2405.0,149.0,176.8,151.8,155.2,29.5,94.9,41.5,43.8,3526.7,273134.1,278378.2,19637223.4,50338371.4,60064517.8,121217.4,405866.3,483814.2
China,147,136,72376.1,128510.8,2009.4,2009.5,2009.9,2010.1,9913.0,9984.6,9999.4,10003.2,886.0,917.5,919.0,925.6,63.0,98.8,75.2,73.9,5424.5,419500.4,427554.8,40780918.4,88367803.6,105686934.5,277421.2,860764.3,1005995.5
Brazil,101,93,10220.7,16672.6,2011.6,2011.7,2012.3,2012.3,4607.2,3830.5,3914.8,3873.0,401.0,437.2,526.1,522.2,112.0,169.5,169.8,169.6,1120.2,86634.8,88298.2,6826062.1,19574774.9,24621751.2,67584.8,274460.1,337245.4
Japan,77,75,28378.1,32852.2,2008.8,2009.3,2009.2,2010.1,8985.2,9817.7,9180.8,9097.5,744.0,901.3,731.1,771.7,29.0,86.6,71.5,99.0,2561.9,186965.1,190554.9,13455911.5,43264353.1,49494040.1,174752.1,704072.3,864945.3
Spain,56,53,25479.4,25779.8,2010.2,2010.3,2009.2,2009.8,5733.1,7693.2,9149.8,8147.8,496.5,670.7,1144.6,1049.9,22.0,41.4,29.1,33.5,3175.9,199623.1,203455.9,7228213.8,37205658.8,34657797.4,129075.2,857176.3,1252282.7
