Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,528,72,10306.7,12917.5,1998.8,2001.8,1999.6,1999.4,1217.3,1376.4,1339.3,1338.6,94.0,103.7,112.6,112.7,44.0,43.8,46.0,46.2,2268.9,174083.6,177426.0,11903520.7,45924358.4,52318448.6,22544.5,93688.8,114137.1
Oil tanker,187,32,4389.6,6289.7,2006.5,2005.9,2009.2,2008.4,1158.9,1268.6,1383.7,1374.4,118.0,149.7,193.8,193.5,60.0,71.4,94.3,93.4,950.4,73311.6,74719.2,7022703.2,13891859.4,15577835.2,37554.6,109195.0,131214.7
Chemical tanker,141,54,1708.8,2543.8,2008.6,2009.2,2009.1,2009.0,1234.3,1802.6,1510.0,1491.6,137.0,172.0,231.0,222.3,48.0,99.6,155.9,151.7,459.2,35160.8,35835.8,3442808.8,10089666.0,12284051.7,24417.1,80843.8,98668.9
General cargo,108,72,2464.3,3397.2,2001.8,2003.2,2003.1,2003.2,1505.3,2227.6,2494.7,2552.4,144.5,215.5,314.3,303.9,80.0,158.0,317.0,327.7,503.5,38613.1,39354.5,2292747.6,7445987.5,10652086.6,21229.1,102715.9,136120.1
Bulk carrier,88,79,4474.2,7631.0,2006.9,2007.4,2006.5,2006.5,1696.9,2426.6,2137.4,2133.6,149.5,286.8,407.5,403.7,194.0,268.3,271.8,271.3,511.2,39496.6,40254.9,3602165.8,7827734.9,10107628.8,40933.7,141036.5,169724.0
Service - tug,48,18,111.6,105.1,2009.8,2007.1,2007.9,2007.4,1208.5,1683.6,1352.8,1374.6,240.0,453.8,566.8,528.1,37.5,209.0,182.5,184.6,74.6,5606.8,5714.5,2688852.7,6358327.2,8513456.5,56017.8,144647.9,195299.2
Vehicle,36,18,2791.9,881.2,2005.9,2006.7,2006.5,2006.7,1305.2,1954.9,2132.6,2108.3,89.0,127.6,185.6,183.6,36.5,44.5,40.1,39.9,222.0,17186.3,17516.3,892371.3,3934400.6,4556436.9,24788.1,94219.5,101400.9
Service - other,10,8,222.4,132.9,2002.1,1999.8,2011.4,2006.7,2422.7,3498.2,6607.5,3862.8,327.5,445.2,1158.7,937.2,125.0,258.2,649.9,480.3,48.1,3663.5,3733.8,927711.4,1903460.2,2051093.6,92771.1,206431.4,233090.3
Cruise,8,6,273.3,30.2,2003.1,2001.3,2003.5,2001.8,1156.6,1109.6,1026.0,1035.8,77.0,78.8,81.2,81.6,48.0,54.6,53.1,54.1,75.6,5847.4,5959.7,79176.8,655355.1,873962.1,9897.1,68352.6,81261.9
Liquefied gas tanker,6,6,65.7,66.5,1996.8,1996.8,1997.6,1997.3,1800.8,2866.9,2485.7,2402.5,172.0,296.5,507.7,464.9,14.0,19.8,29.0,27.0,20.4,1561.2,1591.2,50175.4,145366.4,160531.0,8362.6,45784.7,60208.0
