Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-pax only,2285,74,919.0,102.5,2005.1,2000.0,2002.6,2001.8,352.5,621.9,630.8,626.8,19.0,35.4,229.7,294.1,12.0,18.4,80.9,72.1,1189.0,89272.4,90986.4,8434793.9,17178246.8,21639282.3,3691.4,8584.1,11316.7
Oil tanker,369,34,571.3,907.2,2009.8,2008.9,2008.5,2008.3,222.0,422.9,715.5,718.6,79.0,130.6,727.6,692.7,31.0,32.7,131.6,126.6,990.9,74488.1,75918.3,2289869.2,1013774.3,1387226.1,6205.6,15965.5,20232.3
Container,213,25,1048.2,1227.3,1994.3,2002.3,2001.6,2001.7,315.1,1583.3,926.3,949.8,36.0,239.9,339.1,324.4,12.0,40.5,94.5,95.2,375.3,28560.0,29108.3,1349354.1,3945987.7,4488903.4,6335.0,19901.6,23215.7
Service - tug,184,16,109.8,55.8,2009.5,2005.8,2005.7,2006.6,564.7,835.0,1224.7,1125.0,84.5,191.7,2136.2,1976.5,14.5,39.1,66.4,63.4,239.4,17974.7,18319.8,1428263.0,3377412.0,4522172.2,7762.3,20043.6,27062.3
General cargo,168,13,80.3,132.5,2004.4,2001.5,2001.7,2002.6,485.5,990.4,735.8,824.3,48.0,97.2,185.1,189.2,24.0,211.8,414.8,382.1,24.0,1818.3,1853.2,388274.5,1115926.6,1598295.9,2311.2,7673.7,10903.1
Service - other,107,6,172.7,181.8,2011.0,2001.0,2007.9,2007.4,404.6,340.1,589.3,628.5,40.0,148.7,638.9,714.4,20.0,39.9,71.2,76.1,85.2,6397.7,6520.5,1268871.3,2603445.4,2805370.0,11858.6,26387.4,29795.1
Ferry-RoPax,85,4,44.3,18.7,1984.0,1981.0,1981.5,1982.2,224.7,1266.8,683.6,604.2,32.0,658.0,745.3,635.7,11.0,122.8,225.5,239.8,99.9,7501.0,7645.1,641903.1,1388721.6,1846380.6,7551.8,16859.5,24025.9
Chemical tanker,11,11,53.1,77.7,2010.2,2010.2,2007.1,2006.9,153.4,542.5,358.7,338.6,30.0,76.2,165.1,167.5,14.0,46.9,125.1,113.7,19.6,1502.3,1531.1,63219.2,227539.1,280048.8,5747.2,23611.5,29755.1
Bulk carrier,6,5,91.0,154.8,2009.3,2007.8,2002.9,2003.1,1081.5,1208.8,855.5,825.0,104.0,188.4,295.3,293.2,76.5,209.0,172.4,184.9,20.5,1577.5,1607.8,48536.0,134650.0,180279.8,8089.3,35838.9,45181.1
Liquefied gas tanker,3,3,7.7,6.9,2006.7,2006.7,2008.6,2008.7,730.3,787.7,747.8,763.6,42.0,43.0,44.3,44.5,59.0,58.3,57.6,58.1,4.2,318.1,324.2,5195.3,15051.5,16621.7,1731.8,9481.3,12468.1
Cruise,2,2,564.6,68.5,1994.5,1994.5,2004.8,1999.6,5499.3,5499.3,3338.1,3688.1,2985.5,2985.5,1687.7,2343.7,25.0,25.0,33.3,29.1,324.2,25110.5,25592.6,46147.9,1029481.9,1435678.7,23073.9,440570.5,574707.8
Miscellaneous - fishing,1,1,1.5,1.1,1979.0,1979.0,1979.0,1979.0,3285.4,3285.4,3285.4,3285.4,29.0,29.0,29.0,29.0,527.0,527.0,527.0,527.0,2.1,154.8,157.8,8086.5,17937.4,20393.1,8086.5,19031.2,22560.4
