Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Prahovo,9,6,3.6,4.7,1966.8,1966.7,1965.5,1965.3,237.0,239.9,250.0,256.3,39.0,56.2,77.2,77.0,15.0,15.1,16.7,15.7,1.0,76.9,78.4,15547.5,44182.0,63299.1,1727.5,5568.0,7987.1
Smederevo,7,3,3.0,3.6,1966.1,1966.0,1965.6,1965.7,205.4,247.9,249.2,245.6,50.0,40.3,48.0,48.0,90.0,87.2,83.6,84.3,1.1,80.6,82.1,11234.9,32230.9,46318.2,1605.0,5231.5,7524.3
Veliko Gradiste,6,4,1.7,2.1,1966.2,1967.2,1964.4,1964.3,135.8,141.1,178.0,172.7,28.0,25.0,27.8,27.9,10.0,15.5,32.7,29.9,0.4,30.9,31.5,7381.6,20760.9,29643.8,1230.3,3917.1,5602.5
Novi Sad,1,1,0.1,0.2,1964.0,1964.0,1964.0,1964.0,78.1,78.1,78.1,78.1,22.0,22.0,22.0,22.0,128.0,128.0,128.0,128.0,0.1,6.0,6.1,520.8,1494.1,2147.1,520.8,1697.6,2441.5
Dimitrovgrad,1,1,3.1,1.3,1992.0,1992.0,1992.0,1992.0,490.2,490.2,490.2,490.2,30.0,30.0,30.0,30.0,8.0,8.0,8.0,8.0,1.4,108.5,110.6,8852.8,18163.9,19572.7,8852.8,19698.9,22242.8
