Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Malaysia,11966,3112,93673.7,119051.7,2007.4,2007.3,2007.0,2007.0,201.1,513.0,379.3,391.7,23.0,87.5,154.2,167.8,15.0,63.5,70.8,77.0,19175.4,1466986.8,1495152.9,108642956.5,297975289.8,344691729.2,9079.3,29554.5,36137.1
Indonesia,8419,2792,101247.4,139054.4,2006.2,2007.5,2007.0,2007.1,576.0,828.3,795.7,804.8,53.0,114.3,179.7,182.9,30.0,97.0,87.6,97.0,19123.2,1462024.2,1490095.1,109213690.3,302621739.6,352656883.7,12972.3,44119.6,54274.5
China,6988,4564,779853.6,1133766.5,2009.5,2009.4,2010.3,2010.2,2190.8,2300.6,2239.9,2300.2,188.0,232.1,295.7,329.5,40.0,88.5,70.8,81.0,71205.6,5497694.4,5603250.1,421929388.4,1161000857.8,1335373185.0,60379.1,217737.0,264040.9
India,3428,2477,265344.4,439224.4,2009.1,2009.6,2009.5,2009.7,2162.8,2318.7,2368.0,2394.0,180.0,220.6,275.2,289.2,61.0,95.1,90.8,96.6,27259.8,2107135.0,2147592.0,182982815.7,462120599.0,548588994.2,53378.9,181839.3,219522.3
Thailand,2641,1111,87073.4,98540.1,2005.6,2007.2,2006.8,2006.9,883.9,1206.7,1040.6,1069.5,69.0,119.0,110.8,126.6,27.0,81.0,58.2,70.0,11690.9,901472.0,918780.2,73987778.1,217407703.2,251329024.4,28015.1,94634.7,113021.9
Viet Nam,1782,788,51773.7,68451.4,2006.9,2007.9,2007.6,2007.9,937.6,1233.0,1066.0,1087.4,86.0,126.3,119.2,126.8,23.0,92.7,64.5,76.8,7460.7,575318.5,586364.6,46814970.3,141973147.9,164083927.0,26271.0,93434.0,112503.4
Australia,1516,984,176903.8,232656.1,2009.4,2009.9,2009.1,2009.6,2458.1,2855.6,2977.7,2925.2,221.5,263.0,332.7,336.0,37.0,76.1,65.9,73.1,19195.5,1437377.0,1464974.7,113612865.6,335792121.4,378344352.4,74942.5,275066.3,342025.6
United Arab Emirates,1101,844,284874.4,444305.4,2008.3,2008.5,2008.7,2008.6,3506.6,3740.6,3634.6,3625.5,298.0,351.0,342.1,352.6,34.0,71.1,62.4,64.9,21918.7,1690705.6,1723167.1,172285152.1,409187922.2,452755457.6,156480.6,492652.6,622699.8
Hong Kong,1095,481,131118.6,141418.2,2009.5,2009.3,2011.6,2011.3,1495.6,1594.3,1518.9,1522.4,101.0,134.7,111.5,115.7,14.0,23.1,18.4,20.3,11451.4,886871.7,903899.6,70447827.4,196987745.9,229158296.4,64335.9,223635.9,267530.6
Bangladesh,1058,546,40599.4,62709.0,2005.5,2006.9,2005.5,2005.3,1559.4,1801.2,1819.3,1848.1,129.0,167.4,189.8,197.5,130.0,181.7,599.3,667.5,6335.5,487911.4,497279.3,37467683.5,107479221.8,126613102.3,35413.7,128697.0,155614.9
Sri Lanka,845,568,83284.5,93772.7,2007.8,2007.7,2008.6,2008.7,1557.6,1678.1,1601.6,1625.2,108.0,147.2,133.7,146.6,15.0,45.7,30.8,37.1,8588.1,664149.9,676901.6,51482393.3,145347481.8,166497041.3,60925.9,205597.3,244239.9
"Taiwan, Province of China",797,529,61746.7,75107.3,2008.7,2008.8,2010.6,2010.2,1742.2,1962.8,1781.3,1807.7,133.0,172.3,146.4,157.0,20.0,52.9,36.4,45.3,6571.3,507942.4,517694.9,41995538.4,117305350.6,137564000.8,52692.0,182716.0,220546.4
Japan,749,594,115018.5,140895.8,2008.1,2008.7,2008.4,2009.4,2927.7,3197.0,3169.9,3137.6,246.0,282.8,293.2,311.9,30.0,73.7,73.2,86.9,10259.8,772472.0,787303.5,58957838.8,175769338.6,199028969.9,78715.4,286964.4,354555.5
Brazil,689,563,430789.6,738086.5,2010.1,2009.8,2010.4,2010.1,9067.2,9249.4,9214.6,9240.4,777.0,825.1,775.2,801.7,70.0,120.8,100.6,107.4,28970.1,2243650.6,2286728.7,194571227.5,500947456.3,584501481.8,282396.6,992888.4,1193031.5
Philippines,668,395,25930.3,36143.7,2007.3,2007.7,2008.0,2008.3,1425.7,1604.1,1518.6,1542.6,118.0,171.5,154.3,162.7,33.0,89.5,65.2,70.9,3644.0,281342.6,286744.4,24307136.6,72640929.9,83015782.8,36387.9,125138.9,149431.9
Saudi Arabia,615,425,211761.7,259526.5,2009.8,2009.5,2010.8,2010.6,4329.0,4201.9,4213.6,4137.8,276.0,321.3,299.8,321.1,29.0,52.7,31.2,35.8,16953.5,1312954.2,1338162.9,97670105.6,259983664.2,302403088.3,158813.2,571044.4,706964.6
