Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bremerhaven,3907,1067,168080.5,135280.3,2005.3,2005.8,2007.6,2007.5,418.7,1016.2,911.1,881.8,34.0,92.3,213.8,180.4,18.0,33.6,27.0,28.3,19099.6,1452537.7,1480426.4,108012670.2,342268676.7,384023897.5,27645.9,88963.2,101615.0
Rostock,3565,751,25528.0,19314.1,1997.7,2001.3,2004.7,2006.9,238.6,745.1,303.5,634.1,19.0,82.4,141.3,290.0,8.0,46.2,52.9,105.6,5302.8,398994.8,406655.5,22505562.3,68014278.4,81451527.3,6312.9,20236.0,23639.0
Hamburg,2962,1282,64241.2,77751.5,2005.2,2005.4,2010.0,2009.7,446.6,1022.1,792.5,919.8,51.0,104.3,195.0,243.7,23.5,44.3,55.3,67.1,8861.4,671582.2,684476.6,45893880.2,138226828.4,167716076.5,15494.2,57383.2,70695.4
Travemunde,2881,78,26619.4,7445.8,1998.8,2000.5,2003.2,2003.3,139.4,419.7,277.3,290.2,11.0,89.4,24.9,26.5,3.0,37.3,9.3,10.5,6590.2,494813.6,504314.0,33747411.9,82148791.5,100589905.6,11713.8,25334.2,23486.7
Altenwerder,2633,881,103419.5,133492.0,2007.5,2007.8,2011.0,2011.2,436.9,1125.6,789.9,920.1,44.0,110.9,197.7,233.2,21.0,48.9,51.8,61.8,10827.6,821098.4,836863.5,62707544.4,185024544.3,207100995.1,23816.0,81745.5,97073.4
Emden,1208,383,34238.7,15129.0,2002.1,2003.6,2008.6,2007.4,344.2,1329.1,1547.0,1408.2,34.0,123.3,345.5,329.8,14.0,37.3,19.3,29.2,2897.8,220923.1,225164.9,15222830.5,58158365.5,70034283.5,12601.7,47443.3,54866.6
Lubeck,1143,228,10398.1,6706.4,2001.2,1998.5,2005.0,2004.5,563.2,486.1,615.6,601.4,39.0,50.3,46.7,50.4,12.0,29.4,17.1,18.5,2794.2,209812.0,213840.4,8529647.0,18349963.8,22735960.7,7462.5,19868.7,23037.9
Cuxhaven,998,258,6850.0,3800.0,2000.9,1999.0,2003.8,2003.9,365.2,691.7,503.2,503.3,32.0,104.7,104.9,124.9,11.0,65.6,25.2,28.5,1555.8,116828.8,119072.0,6345105.5,17408466.2,20198465.2,6357.8,18108.0,21454.4
Wilhelmshaven,869,427,52958.0,64586.0,2006.4,2006.0,2013.6,2012.6,381.4,952.7,1284.2,1219.2,51.0,118.2,339.0,317.9,27.0,62.4,44.5,50.1,5374.5,409551.5,417414.9,22614671.8,71655723.4,75405507.6,26023.8,92646.9,113448.2
Wismar,841,337,1290.4,1800.6,1994.9,1997.0,1999.4,1999.8,374.0,547.0,505.6,529.5,42.0,68.2,92.5,93.6,22.0,35.8,38.7,39.6,407.9,30675.7,31264.7,4453369.8,12777461.3,18049598.2,5295.3,18092.3,24958.6
Buetzfleth,742,259,5257.6,8196.5,2001.6,2003.6,2007.3,2007.4,414.5,881.8,990.5,1086.9,51.5,92.0,197.3,213.8,22.0,44.4,74.8,80.9,1308.7,98517.0,100408.5,5043259.6,14992253.1,18436252.7,6796.8,27053.3,34352.8
