Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,215,20,1888.1,2402.9,2007.5,2007.0,2007.6,2007.6,197.5,356.1,367.1,368.1,17.0,25.9,60.8,61.2,26.0,26.5,23.1,23.3,406.8,31395.2,31998.0,2096471.6,7787660.0,8636872.1,9751.0,37490.1,44637.5
Bulk carrier,149,140,5997.0,10184.4,2011.6,2011.6,2012.2,2012.2,954.1,1417.2,1410.9,1415.4,140.0,188.6,373.8,375.9,78.0,97.7,109.1,108.9,589.0,45538.8,46413.2,3715393.2,8387096.9,10655296.3,24935.5,90859.6,108980.4
Chemical tanker,140,99,3960.8,6571.3,2011.0,2011.5,2011.9,2011.9,871.2,1117.1,1051.5,1052.3,73.5,126.2,248.2,247.7,37.5,61.0,85.4,84.9,670.9,51755.5,52749.3,1390977.1,9526751.3,10997350.6,9935.6,80013.6,98172.5
Vehicle,70,59,3559.6,1150.0,2008.7,2008.8,2008.6,2008.6,182.5,818.5,875.1,864.5,16.0,70.7,446.1,464.9,10.0,13.7,18.2,18.2,195.9,15169.0,15460.3,1164526.1,5134311.5,5946056.0,16636.1,63233.8,68053.4
General cargo,24,23,872.1,1336.8,2007.9,2008.3,2009.1,2009.4,989.9,1708.9,1847.1,1790.2,85.0,173.7,376.7,359.1,27.0,72.1,103.7,105.5,115.0,8843.9,9013.7,558198.7,1989274.1,2917717.3,23258.3,133551.3,181187.3
Oil tanker,16,14,731.5,1260.0,2006.1,2006.1,2005.5,2005.5,247.7,1387.7,1340.0,1341.6,53.0,148.0,398.3,393.5,27.0,45.4,61.7,64.5,108.6,8404.9,8566.3,990703.4,2156892.4,2501488.8,61919.0,173177.8,207083.5
Liquefied gas tanker,16,3,661.3,768.4,2010.8,2014.3,2011.2,2011.3,1702.4,1778.4,1724.4,1724.7,166.0,185.7,193.9,193.8,35.5,36.8,40.5,40.5,70.0,5367.7,5470.8,536245.0,1643033.1,1774413.1,33515.3,187857.5,249677.3
Miscellaneous - fishing,14,9,94.5,70.8,1981.4,1985.2,1988.6,1989.6,1189.9,4873.2,4182.3,3788.7,128.5,698.7,1498.5,1449.3,119.5,402.7,357.5,394.7,55.1,4135.0,4214.4,498145.7,1104983.3,1256254.1,35581.8,83740.2,99269.0
Cruise,4,4,16.5,2.0,1994.8,1994.8,1993.0,1992.5,89.6,161.8,174.9,206.4,13.0,17.8,28.9,30.8,9.5,9.0,6.7,6.3,4.7,362.4,369.4,5404.8,44042.2,59986.0,1351.2,9257.3,11289.0
Service - tug,2,2,1.5,1.4,1996.5,1996.5,1990.7,1987.3,946.9,946.9,971.7,989.3,259.5,259.5,182.0,136.5,95.0,95.0,119.7,134.1,1.9,144.9,147.7,36791.9,87001.8,116490.7,18396.0,47501.7,64135.3
Refrigerated bulk,2,2,5.4,6.4,1992.5,1992.5,1994.3,1994.3,528.9,528.9,529.6,525.5,46.0,46.0,58.0,57.7,170.5,170.5,108.2,109.5,7.3,550.7,561.3,18847.7,41183.2,46389.0,9423.9,20082.1,21682.7
Ferry-pax only,2,2,5.2,1.7,1984.5,1984.5,1974.3,1973.6,500.2,500.2,398.6,394.4,26.0,26.0,38.4,39.2,215.5,215.5,372.3,382.5,2.7,202.0,205.9,49114.7,135391.2,175102.1,24557.4,67631.5,89472.5
