Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,216,21,1502.7,1902.7,2007.5,2007.0,2007.7,2007.7,177.1,290.7,291.6,291.0,13.0,38.5,82.4,82.7,33.0,34.1,37.6,37.7,377.0,28982.4,29538.9,1697205.0,6409920.6,7188459.7,7857.4,31225.2,37545.4
Bulk carrier,146,137,11606.9,19859.8,2011.6,2011.6,2011.7,2011.7,2317.9,2773.2,2785.6,2817.7,225.5,268.3,484.1,486.2,66.5,85.5,97.4,98.0,1102.7,85250.8,86887.6,7330269.1,16219369.7,20340342.1,50207.3,178854.4,213110.3
Chemical tanker,141,100,3276.1,5427.3,2011.1,2011.6,2011.6,2011.6,103.7,989.1,865.6,864.6,12.0,97.0,312.0,312.2,43.0,55.3,87.2,87.6,603.2,46650.3,47546.0,1151322.1,7873206.9,9088816.2,8165.4,65652.3,80548.2
Vehicle,71,60,1187.4,395.6,2008.7,2008.8,2007.0,2006.9,112.6,318.5,287.8,293.3,13.0,31.8,210.4,218.5,4.0,8.4,10.4,10.3,69.3,5366.1,5469.1,400641.4,1766398.9,2045670.0,5642.8,21448.4,23083.2
General cargo,27,26,2172.8,3596.9,2008.0,2008.4,2012.8,2013.0,1512.1,3001.6,3997.9,4138.7,148.0,269.2,579.1,585.6,65.0,74.3,107.1,106.0,208.1,16019.6,16327.1,1477614.2,5286486.6,7765449.8,54726.5,316011.0,429606.0
Oil tanker,16,14,662.4,1109.5,2006.1,2006.1,2005.2,2005.3,655.2,1401.7,1213.6,1181.4,72.0,137.1,486.2,474.7,36.5,41.8,44.1,44.4,104.3,8071.9,8226.8,944148.4,2075076.4,2418706.1,59009.3,168464.6,200158.3
Liquefied gas tanker,16,3,988.3,1145.3,2010.8,2014.3,2010.5,2010.5,2874.0,1777.7,2577.2,2570.5,215.0,131.2,211.4,211.3,74.5,34.5,80.1,80.1,96.8,7433.7,7576.4,845773.7,2488553.6,2731063.5,52860.9,291274.7,384161.1
Miscellaneous - fishing,14,9,132.8,109.8,1984.4,1989.8,1985.6,1986.2,1218.9,6102.9,5414.3,5354.1,1176.0,927.1,1384.9,1399.5,96.0,142.1,120.9,103.1,74.8,5616.8,5724.6,771880.9,1712180.7,1946576.0,55134.4,129756.2,153818.1
Cruise,4,4,35.4,3.7,1994.8,1994.8,1996.6,1995.8,319.7,351.2,375.6,373.5,22.5,31.0,41.1,39.0,8.0,13.5,7.8,7.4,11.3,875.1,891.9,9846.0,79756.2,109503.6,2461.5,16813.1,20699.5
Service - tug,2,2,3.0,3.0,1996.5,1996.5,1989.0,1986.3,1747.6,1747.6,1928.3,2056.4,1337.0,1337.0,670.8,435.9,7.5,7.5,9.6,10.3,3.3,250.5,255.3,76478.8,180849.3,242147.5,38239.4,98741.0,133317.1
Refrigerated bulk,2,2,45.7,54.8,1992.5,1992.5,1989.6,1989.6,4487.9,4487.9,4478.6,4533.3,341.5,341.5,559.4,560.8,299.5,299.5,251.8,251.6,29.1,2212.7,2255.1,162595.6,355279.2,400188.6,81297.8,173244.7,187052.2
Ferry-pax only,2,2,8.4,1.5,1984.5,1984.5,1993.2,1990.8,7860.2,7860.2,650.0,353.5,512.5,512.5,890.9,785.8,72.0,72.0,24.9,38.0,8.5,638.9,651.2,105937.9,223111.0,281997.8,52968.9,125366.7,165339.6
