Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Rotterdam Botlek,1282,419,1070.3,1655.8,2002.3,2005.8,2006.8,2007.2,74.6,162.8,204.9,209.1,28.0,73.2,208.5,211.7,15.0,38.9,53.8,53.1,752.8,56786.1,57876.4,2946596.8,7419094.2,8660502.0,2298.4,6547.1,7891.8
Rotterdam Waalhaven,1068,300,536.4,725.5,2002.5,2005.1,2008.4,2008.7,57.6,133.3,104.9,112.0,21.0,89.9,122.5,124.4,12.0,50.4,63.9,62.7,494.8,37206.3,37920.7,1518092.9,3900144.2,4610479.7,1421.4,4027.6,4881.5
Hoek Van Holland,1014,154,958.0,1542.9,2007.1,2006.2,2006.9,2006.8,71.6,199.4,304.0,309.7,31.0,91.0,214.3,207.9,12.0,51.3,63.0,53.9,503.1,38132.9,38865.0,2166992.4,4740869.6,5483782.5,2137.1,5354.7,6465.3
Rotterdam Maasvlakte,990,329,1267.0,1711.3,2006.8,2005.5,2008.8,2009.2,57.1,182.1,98.6,112.1,24.5,45.6,267.8,347.5,13.0,55.9,64.7,36.2,442.8,33348.2,33988.5,1805634.9,4713522.8,5469772.4,1823.9,5400.0,6512.0
Ijmuiden,918,443,776.4,1042.7,2001.0,2000.5,2003.6,2005.2,115.7,404.3,134.4,122.4,51.0,149.1,311.9,264.8,19.0,92.8,106.1,81.3,948.6,71274.6,72643.1,2765505.9,6515885.4,7588443.4,3012.5,7807.4,9418.1
Rotterdam,907,148,1127.2,2066.7,2007.7,2008.2,2011.8,2012.1,67.8,192.6,344.0,377.1,24.0,90.0,548.5,571.7,16.0,64.2,60.8,60.1,496.1,37776.5,38501.8,1517592.3,3200322.9,3765108.9,1673.2,4320.0,5316.0
Harlingen,724,198,306.5,281.8,1989.1,1989.7,1997.1,2000.0,263.2,827.3,517.0,412.8,61.0,171.8,423.3,333.1,30.0,132.9,189.4,134.7,611.7,45908.5,46789.9,1520323.8,3308569.9,3751529.8,2099.9,4982.9,5878.6
Vlissingen,704,260,558.9,706.0,2002.4,2004.0,2008.6,2008.8,99.1,276.9,179.7,179.0,30.0,103.8,249.5,217.1,20.0,81.5,106.4,82.7,344.7,25912.0,26409.5,2135776.1,4946773.0,5751854.0,3033.8,7765.8,9275.3
Vondelingenplaat,558,203,393.5,618.3,2001.7,2006.2,2005.2,2006.2,56.8,134.0,166.0,165.4,24.5,67.2,137.1,138.1,15.0,39.9,52.6,50.5,341.0,25747.0,26241.3,916089.8,2422051.2,2802145.4,1641.7,4933.7,5920.2
Rotterdam Pernis,519,156,248.4,310.3,2000.9,2003.9,1996.6,1996.6,60.1,131.7,188.2,179.7,19.0,113.1,328.6,338.5,13.0,31.8,77.8,67.9,209.5,15719.5,16021.3,1175555.5,2694334.1,3053229.8,2265.0,5622.8,6692.8
