Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,5979,218,311.1,196.7,2003.5,2004.3,2005.5,2005.0,69.7,163.7,137.8,143.4,29.0,118.1,464.0,438.5,15.0,77.0,104.8,113.2,995.5,74748.4,76183.6,5030110.0,11894695.8,15926354.8,841.3,2172.4,2933.1
Service - other,3802,190,2800.1,3444.5,1998.8,1999.4,2000.7,2000.8,120.2,531.6,473.7,462.7,29.0,170.1,419.2,352.0,12.0,126.4,141.0,106.2,1964.0,147475.0,150306.5,24036284.8,49317179.5,53142247.5,6322.0,14067.5,15884.2
Miscellaneous - fishing,3794,270,1140.2,715.9,1985.2,1986.6,1992.6,1992.4,276.2,985.4,778.3,901.4,56.0,197.8,735.8,792.2,57.0,150.0,219.8,230.2,2862.7,215000.1,219128.1,5034476.9,11167440.3,12696248.7,1327.0,3122.9,3702.0
Chemical tanker,2098,786,3714.2,5852.0,2006.4,2007.8,2008.2,2008.3,93.9,166.8,167.2,165.0,37.0,78.6,175.1,173.8,27.0,40.1,44.8,45.1,3039.0,229296.2,233698.7,4076056.7,14774280.0,17714722.6,1942.8,8029.3,9833.5
General cargo,1591,745,1004.3,1335.7,2002.1,2002.8,2006.3,2006.0,91.8,108.7,145.7,140.5,17.0,45.7,144.9,135.9,22.0,55.0,122.8,104.9,471.6,35438.2,36118.6,1873959.0,5612914.6,8027451.5,1177.8,4505.8,6206.1
Container,1110,292,1493.0,1727.3,2007.5,2007.2,2009.0,2008.8,46.4,62.1,61.5,61.8,16.0,40.4,44.1,46.9,12.0,19.8,28.0,28.2,794.2,59658.3,60803.8,1689888.7,4957584.4,5574235.6,1522.4,4770.9,5558.1
Oil tanker,347,208,4313.1,7658.1,2007.6,2008.2,2009.5,2009.6,69.0,238.8,301.9,298.1,49.0,126.2,371.0,375.5,33.0,60.4,49.7,50.4,2031.5,154534.5,157501.6,3753645.9,7432632.5,8343006.7,10817.4,28249.5,34566.4
Bulk carrier,186,158,1525.3,2759.6,2007.8,2008.4,2010.4,2010.5,100.9,246.6,240.3,243.9,50.0,104.6,412.4,417.3,52.5,71.2,64.4,64.5,235.9,17849.1,18191.8,687091.1,1831453.3,2213026.4,3694.0,15465.1,18887.6
Liquefied gas tanker,151,82,162.9,173.8,2006.5,2007.6,2009.7,2009.6,107.8,150.7,142.2,140.6,26.0,48.6,69.9,70.2,23.0,39.7,45.3,44.6,180.7,13557.2,13817.5,112232.6,363927.7,384544.4,743.3,4269.7,5736.0
Ro-Ro,56,11,50.2,31.8,2005.5,2006.0,2008.3,2006.5,77.2,65.8,75.4,74.3,14.0,259.6,18.9,21.4,15.0,16.1,21.4,19.0,50.5,3746.3,3818.2,69642.2,424486.5,224818.9,1243.6,3004.1,3989.7
Refrigerated bulk,54,30,174.7,203.0,1995.1,1994.6,1990.2,1990.0,115.8,458.7,396.4,429.1,12.0,58.8,468.0,484.3,26.5,39.3,33.5,33.7,108.4,8184.0,8341.1,602107.1,1315633.3,1481937.2,11150.1,23760.8,25654.5
Cruise,43,17,34.9,6.1,1943.3,1969.4,1994.3,1985.9,78.1,89.9,68.2,83.2,17.0,20.8,20.4,24.5,54.0,69.0,11.6,32.1,205.0,15400.2,15695.9,54708.8,161884.1,215290.7,1272.3,3704.6,4778.3
Ferry-pax only,35,10,174.5,90.0,1940.0,1954.1,2004.8,2004.7,74.8,870.0,5442.2,5036.8,31.0,686.0,6730.8,6729.0,26.0,132.6,417.5,417.4,81.4,6113.3,6230.7,2504344.1,7026226.3,9098716.7,71552.7,199143.7,263507.7
Vehicle,12,12,73.2,23.6,2009.8,2009.8,2009.5,2009.9,88.6,110.5,101.5,100.1,11.0,19.7,22.7,21.4,14.5,12.8,12.9,13.2,6.3,479.4,488.6,23850.7,105156.0,121781.3,1987.6,7554.7,8130.5
Ferry-RoPax,6,2,438.4,48.7,2007.3,2003.0,2014.4,2013.9,643.9,1127.3,5581.0,5311.5,94.5,87.0,6181.7,6057.3,123.5,1756.0,446.4,571.2,210.4,15056.2,15345.2,302479.1,748006.8,917809.2,50413.2,107612.0,98012.0
Other liquids tankers,5,3,7.5,9.3,1996.2,1993.7,1998.6,1998.5,90.7,90.5,92.0,92.0,14.0,18.3,38.7,38.5,89.0,66.3,85.4,84.6,9.2,706.6,720.2,4747.6,13555.9,29226.6,949.5,3289.5,5315.5
