Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,1023,332,3938.7,4523.5,1982.7,1986.3,1987.0,1988.2,637.2,1001.8,1090.0,1008.3,81.0,120.5,246.8,233.3,74.0,112.3,125.5,122.2,1052.1,80106.4,81644.4,8862713.5,25919378.9,36773399.5,8663.5,31504.6,42994.4
Container,932,181,76472.6,85339.4,2004.4,2005.5,2011.9,2011.9,307.9,1341.9,1776.5,1734.0,34.5,93.0,248.6,248.7,15.0,20.1,20.7,20.6,7783.9,602490.4,614058.2,39549309.6,111506058.3,130060672.2,42434.9,152139.3,182762.1
Chemical tanker,237,143,5517.6,8787.1,2005.9,2006.3,2008.2,2008.3,762.0,1181.4,1122.8,1131.1,79.0,122.9,184.0,185.7,36.0,65.4,86.7,87.8,1178.5,91091.8,92840.7,2202808.0,13596010.7,15821842.6,9294.5,67393.5,82998.4
Bulk carrier,187,127,4624.7,7768.0,2000.9,2002.0,2006.0,2006.0,842.7,1390.1,1411.4,1415.1,88.0,155.4,255.7,256.9,78.0,105.5,101.1,101.9,538.0,41542.6,42340.2,3182191.6,7839331.3,10577463.3,17017.1,66980.8,83225.6
Vehicle,151,90,21418.2,7235.4,2006.3,2008.1,2008.6,2008.2,1505.0,2971.2,2699.3,2681.0,97.0,204.3,316.0,315.5,5.0,5.8,5.3,5.3,1225.4,94885.7,96707.6,7326773.1,32303213.7,37410413.7,48521.7,184430.9,198488.1
Ro-Ro,128,16,928.8,557.5,1983.8,1996.1,1993.2,1992.3,621.0,1017.5,810.1,780.2,41.0,92.8,104.9,106.4,70.0,48.8,127.3,122.1,310.4,23668.9,24123.3,1224072.9,7468039.5,3953332.7,9563.1,23101.8,30689.1
Oil tanker,66,46,3319.8,5656.1,2004.8,2004.9,2005.5,2005.5,1039.0,1828.3,2081.1,2115.7,116.0,196.6,333.4,337.6,31.5,47.5,55.7,56.0,538.6,41642.8,42442.3,4699634.8,8136625.9,10336100.5,71206.6,179072.8,221284.6
Liquefied gas tanker,53,15,287.4,326.1,2005.5,2006.9,2007.3,2007.2,658.8,815.3,781.6,777.7,90.0,109.3,129.1,129.2,22.0,26.9,23.8,23.7,101.1,7723.0,7871.3,246166.4,713184.3,787583.9,4644.6,25429.3,33440.1
Cruise,17,2,75.0,11.9,1988.2,1982.0,1988.5,1988.4,423.1,353.6,555.7,545.1,34.0,24.0,60.3,59.9,3.0,12.5,64.2,63.9,26.3,1982.7,2020.7,46951.2,268490.5,574995.9,2761.8,16039.2,30616.5
Service - tug,6,6,11.1,8.9,1992.0,1992.0,2004.1,2002.0,1421.1,3488.2,2284.1,2016.3,214.5,1434.5,4696.9,4178.7,12.5,466.2,65.1,47.4,27.6,2073.3,2113.1,226783.8,536275.5,718043.9,37797.3,97599.4,131775.8
Service - other,3,2,11.6,5.0,1990.7,1990.0,1990.4,1990.5,638.1,873.7,853.5,864.4,118.0,121.8,147.0,148.0,34.0,49.2,37.4,37.5,3.3,250.7,255.5,34816.5,71435.8,76976.4,11605.5,25824.2,29159.2
Refrigerated bulk,1,1,10.2,11.6,1994.0,1994.0,1994.0,1994.0,998.3,998.3,998.3,998.3,63.0,63.0,63.0,63.0,578.0,578.0,578.0,578.0,19.3,1450.8,1478.7,34280.8,74905.3,84373.7,34280.8,73052.1,78874.3
