Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Beirut,1801,617,101914.4,97926.9,1996.5,1997.5,2010.5,2010.8,477.8,1350.6,1868.1,1721.6,60.0,132.7,262.0,251.6,18.0,54.7,21.0,23.9,9945.2,768856.7,783618.8,52589627.5,160731434.4,191689748.0,29200.2,106628.4,128111.2
Tripoli,494,240,5244.1,7190.1,1987.2,1991.2,2000.5,2002.3,665.5,1207.7,1269.4,1368.4,74.5,129.7,233.1,249.5,109.0,154.6,106.2,99.9,1051.6,80524.4,82070.5,7018137.7,23675915.4,25290555.7,14206.8,47334.1,61256.1
Zahrani,168,104,2833.8,4669.5,1992.4,1995.3,2005.2,2005.3,530.4,1168.7,1727.2,1810.7,66.0,132.0,301.7,306.0,48.0,84.2,72.6,73.1,501.9,38710.3,39453.5,3117057.6,7869285.9,10209234.9,18553.9,63110.4,80726.6
Chekka,143,88,1969.3,3136.0,2000.0,2001.0,2006.5,2006.4,739.1,1174.2,1283.3,1296.6,65.0,113.4,169.2,171.7,51.0,75.7,88.0,89.3,302.8,23325.6,23773.4,1652027.2,4766991.7,6514994.1,11552.6,48848.5,62339.6
Dora,102,68,1323.3,1992.1,2007.0,2007.4,2007.4,2007.4,690.5,792.1,749.4,761.1,91.5,104.1,131.7,134.8,27.5,33.5,40.6,42.1,343.4,26482.9,26991.4,911982.7,3438365.1,3925319.3,8941.0,44821.1,55317.5
Dbaiyeh,55,49,1728.7,2759.4,2003.0,2002.9,2007.2,2007.1,809.0,1241.1,1274.3,1339.6,83.0,135.1,231.3,233.7,27.0,83.4,150.9,154.5,384.1,29694.8,30265.0,1220473.7,4411661.5,5206390.0,22190.4,97728.4,119536.1
Amchit,25,17,509.3,811.6,2007.3,2007.6,2007.3,2007.3,688.8,827.1,814.9,815.4,91.0,133.3,125.5,125.6,29.0,30.9,30.6,30.6,97.2,7527.3,7671.8,195249.3,1131427.6,1341491.2,7810.0,55732.5,68702.5
Zouk,13,13,998.5,1661.7,2008.5,2008.5,2007.8,2007.6,2094.0,2468.1,2571.3,2585.1,255.0,302.8,482.0,490.2,32.0,51.5,56.7,56.1,164.3,12713.0,12957.1,856041.0,2189820.6,2749389.5,65849.3,223518.8,278465.8
Bekaa,2,2,44.4,69.4,2001.5,2001.5,2003.7,2004.4,951.3,951.3,921.4,1180.6,83.5,83.5,121.6,132.8,29.0,29.0,37.3,39.8,6.6,507.9,517.7,62135.8,157337.6,177767.2,31067.9,97686.2,114823.7
Sayda,1,1,49.9,13.6,1988.0,1988.0,1988.0,1988.0,3536.6,3536.6,3536.6,3536.6,235.0,235.0,235.0,235.0,1.0,1.0,1.0,1.0,7.4,566.1,577.0,13769.8,60710.0,70308.4,13769.8,52339.0,56328.2
