Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saint Kitts and Nevis,190,59,1065.1,132.9,2000.2,1999.2,2005.7,2004.5,78.8,95.4,108.6,97.6,12.0,14.0,14.4,14.5,9.0,12.3,8.9,9.8,257.7,19914.2,20296.6,219180.1,1502813.5,1882114.5,1153.6,7195.4,8679.3
Sint Maarten (Dutch part),184,44,463.6,166.1,2000.7,2003.5,2004.9,2004.1,93.2,122.4,121.6,102.8,10.0,17.3,18.7,13.1,8.0,15.7,9.5,14.3,139.8,10768.1,10974.9,252874.6,1038066.4,1208761.9,1374.3,5598.5,6586.2
Virgin Islands (U.S.),75,41,976.6,128.9,2002.5,2004.9,2004.8,2004.4,197.7,203.1,201.4,199.9,16.0,40.2,24.2,23.3,8.0,26.4,11.4,26.9,280.9,21524.9,21938.2,295219.8,1535859.0,1776903.4,3936.3,19153.2,21490.5
Guadeloupe,66,30,551.5,58.3,2004.2,2003.1,2007.3,2007.1,129.2,130.8,140.1,138.0,14.0,15.3,14.4,14.4,10.0,15.2,11.6,16.9,134.8,10429.4,10629.6,131273.0,882103.0,1074991.8,1989.0,11800.9,13563.8
Dominica,52,20,82.8,42.3,2003.8,1998.9,2012.8,2010.0,132.9,142.9,144.4,138.2,16.0,21.4,16.1,17.9,20.5,19.5,14.4,23.6,24.2,1849.9,1885.4,78487.4,251306.5,314462.8,1509.4,5582.2,7165.2
Saint Lucia,45,30,482.0,79.5,2001.7,2001.0,2004.0,2003.7,217.1,219.3,215.6,218.1,16.0,17.8,15.7,16.9,8.0,13.4,9.4,16.1,121.5,9385.1,9565.3,232947.6,1029699.1,1194996.7,5176.6,21030.5,23012.1
Saint Barthélemy,36,16,47.5,13.7,1992.2,1994.6,2003.5,2004.8,95.1,160.1,124.5,178.1,11.5,20.6,23.2,63.8,14.0,15.4,11.5,15.9,22.8,1740.3,1773.7,39104.9,140145.6,183942.6,1086.2,4013.2,5038.1
United States of America,32,19,3088.3,751.3,2008.3,2008.7,2009.1,2008.8,1171.8,1565.1,1247.9,1587.4,65.5,126.6,80.9,150.2,8.0,47.7,18.1,74.6,620.1,47918.9,48839.0,1055678.1,5447482.5,6309608.2,32989.9,165364.2,186570.3
Barbados,32,18,627.2,84.5,2003.8,2003.7,2006.6,2005.4,313.6,330.9,316.3,328.4,24.5,27.0,23.7,25.6,8.5,20.8,9.0,19.2,146.6,11342.2,11559.9,234052.5,1066344.0,1188005.9,7314.1,31965.5,34713.7
Virgin Islands (British),27,11,77.3,15.2,1985.9,1994.8,2001.3,1995.9,203.3,206.5,191.6,204.8,28.0,25.6,18.3,25.0,8.0,10.5,8.7,8.3,22.9,1766.3,1800.2,44059.6,187113.6,254751.1,1631.8,6941.2,9178.1
Trinidad and Tobago,24,13,125.5,112.4,2004.9,2003.4,2004.7,2006.0,444.5,443.5,446.0,450.0,39.5,41.5,39.6,42.5,29.5,40.1,33.4,51.4,40.8,3117.6,3177.4,141557.9,351316.5,381530.9,5898.2,20210.9,24904.0
Bahamas,19,19,695.9,901.1,2009.8,2009.8,2010.9,2009.3,1115.5,1149.9,1124.4,1152.4,104.0,121.4,111.6,127.1,83.0,81.0,66.7,83.6,139.1,10761.5,10968.2,383226.9,1635390.4,1891131.4,20169.8,101595.7,123826.4
Martinique,19,14,136.6,28.4,2006.1,2005.4,2009.0,2007.4,185.3,192.0,183.4,194.0,16.0,16.9,14.8,17.6,11.0,30.1,12.5,37.1,43.3,3332.9,3396.9,102954.0,356570.1,370361.9,5418.6,17750.1,17827.1
Suriname,16,7,80.0,119.5,2008.1,2006.9,2007.3,2007.3,855.5,945.0,911.5,912.7,86.0,144.6,122.9,123.8,33.5,33.8,42.1,42.4,36.9,2811.1,2865.1,210148.6,264125.7,272262.7,13134.3,45167.1,59773.5
Guyana,15,4,40.5,59.9,2006.2,2005.8,2004.1,2004.1,713.4,719.4,726.6,726.2,85.0,102.8,80.8,78.5,45.0,45.0,45.8,45.1,19.2,1459.2,1487.2,128885.2,170115.9,183483.3,8592.3,27908.5,37185.4
Dominican Republic,14,12,293.8,139.5,2008.4,2008.3,2008.6,2008.6,520.4,529.8,542.0,525.8,45.0,55.0,45.2,58.6,31.0,31.5,16.4,39.6,63.7,4911.6,5005.9,100338.5,484023.9,607533.7,7167.0,38758.1,49265.3
Puerto Rico,12,8,153.1,60.7,2005.2,2005.4,2004.0,2007.9,284.8,740.4,324.6,560.4,23.0,66.8,74.5,214.3,22.0,36.8,28.5,83.6,43.4,3312.7,3376.3,159082.2,495303.2,564883.2,13256.8,48096.3,54222.4
Anguilla,11,5,11.7,6.7,1999.1,2001.4,2007.4,2004.6,140.2,140.1,123.1,139.2,18.0,17.5,16.3,17.8,13.0,15.5,15.6,19.3,6.6,500.5,510.1,12004.9,50171.7,50329.3,1091.4,4421.9,5688.5
Portugal,10,10,1495.1,155.7,1991.5,1991.5,1999.6,1995.2,2630.2,2688.9,2636.1,2650.1,161.0,176.4,156.2,166.3,10.0,14.1,17.4,15.3,283.8,21984.0,22406.1,414634.5,2856377.8,3873088.8,41463.5,252519.0,318180.2
"Bonaire, Sint Eustatius and Saba",8,8,9.3,14.4,2004.0,2004.0,2006.8,2007.8,98.2,119.2,130.7,134.3,21.0,41.8,49.7,51.7,44.0,49.0,63.9,69.2,11.4,867.1,883.8,8505.4,30400.5,37412.1,1063.2,4948.6,6369.5
Saint Vincent and the Grenadines,8,8,48.8,16.3,2003.0,2003.0,2003.0,2003.9,262.2,274.0,270.8,279.0,22.5,27.5,21.5,33.7,23.0,54.0,32.3,91.0,18.8,1442.0,1469.7,32517.1,113195.6,133149.4,4064.6,15691.1,18332.5
Grenada,6,4,61.5,14.3,1996.3,1994.8,2002.5,2000.3,324.1,331.9,318.6,322.2,36.0,47.6,20.7,32.5,25.0,25.2,8.8,19.3,21.1,1627.7,1658.9,59611.0,188255.7,186443.1,9935.2,31415.8,31283.2
Spain,6,6,355.2,140.8,1997.5,1997.5,2000.7,2002.4,2916.7,2662.7,2495.7,3137.5,212.0,193.2,204.5,239.7,21.5,31.5,23.9,43.6,87.3,6750.6,6880.2,246001.3,838329.9,939255.3,41000.2,146275.5,161572.5
Montserrat,5,4,11.9,4.0,1983.6,1977.8,1997.0,1998.3,69.2,113.6,208.7,158.7,21.0,23.4,32.9,31.1,21.0,33.5,8.9,14.5,3.7,280.3,285.7,6699.5,20539.7,24356.3,1339.9,4082.4,4765.8
United Kingdom of Great Britain and Northern Ireland,4,2,2.7,2.7,1999.0,1991.0,2006.4,2006.6,184.6,184.6,182.5,182.4,17.5,25.0,17.3,17.2,15.5,27.5,13.9,13.8,1.6,124.8,127.2,2935.5,8031.0,9362.2,733.9,3374.7,4458.0
Bermuda,3,3,102.3,100.7,2009.7,2009.7,2010.7,2006.9,948.0,948.8,948.7,949.0,74.0,72.0,70.7,75.4,53.0,44.3,38.7,59.1,17.9,1387.2,1413.8,64140.4,270826.2,327777.6,21380.1,97959.2,116700.0
Curaçao,3,2,27.5,15.5,1984.0,1990.5,2003.8,1991.2,535.1,532.6,530.2,532.5,87.0,74.8,57.2,73.8,28.0,17.2,9.6,16.8,2.1,161.4,164.5,23856.6,71491.9,84457.8,7952.2,26104.6,30814.0
Haiti,3,3,57.1,92.9,2011.0,2011.0,2011.1,2011.3,907.0,922.2,887.7,887.1,68.0,79.3,68.7,68.3,60.0,103.7,137.5,141.9,14.2,1103.0,1124.2,30337.8,160720.5,194591.4,10112.6,65726.4,81387.8
Turks and Caicos Islands,3,2,161.7,13.5,2006.0,2004.0,2008.4,2008.3,612.5,657.4,621.1,621.9,38.0,47.2,40.1,40.2,9.0,8.8,9.3,9.3,31.3,2426.7,2473.3,-1419.7,167267.3,240423.0,-473.2,48563.6,67122.5
Colombia,2,2,72.9,22.8,2004.0,2004.0,2003.9,2004.5,827.5,827.5,827.6,826.2,66.5,66.5,66.7,65.8,5.0,5.0,5.0,5.0,4.1,318.7,324.8,23128.6,101972.1,118094.1,11564.3,43955.8,47306.1
Jamaica,2,1,15.9,25.6,1999.0,1999.0,1999.0,1999.0,981.6,981.6,981.6,981.6,256.0,256.0,271.2,271.2,33.5,33.5,32.1,32.1,6.8,509.1,518.9,30606.1,86972.6,103019.6,15303.0,47967.2,56232.0
Italy,1,1,129.3,214.9,2010.0,2010.0,2010.0,2010.0,4278.9,4278.9,4278.9,4278.9,341.0,341.0,341.0,341.0,69.0,69.0,69.0,69.0,16.3,1260.9,1285.1,41443.4,303503.0,349933.1,41443.4,357884.5,439945.9
Panama,1,1,2.8,5.3,2006.0,2006.0,2006.0,2006.0,1272.0,1272.0,1272.0,1272.0,192.0,192.0,192.0,192.0,243.0,243.0,243.0,243.0,3.6,273.3,278.5,19136.5,48092.6,59283.9,19136.5,56302.7,69029.6
Aruba,1,1,86.3,5.9,2006.0,2006.0,2006.0,2006.0,552.6,552.6,552.6,552.6,35.0,35.0,35.0,35.0,7.0,7.0,7.0,7.0,13.2,1021.7,1041.3,-3227.3,63512.8,93448.4,-3227.3,56081.2,80866.2
Netherlands,1,1,0.4,0.0,1991.0,1991.0,1991.0,1991.0,109.6,109.6,109.6,109.6,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,0.4,29.9,30.5,117.5,663.4,1442.6,117.5,678.6,1311.6
Nigeria,1,1,270.2,501.4,2018.0,2018.0,2018.0,2018.0,4335.5,4335.5,4335.5,4335.5,402.0,402.0,402.0,402.0,0.0,0.0,0.0,0.0,21.9,1693.5,1726.0,259156.6,545759.1,600992.2,259156.6,636525.0,795580.8
Togo,1,1,32.5,49.8,2003.0,2003.0,2003.0,2003.0,3894.7,3894.7,3894.7,3894.7,367.0,367.0,367.0,367.0,6.0,6.0,6.0,6.0,7.3,562.3,573.1,59515.4,169123.5,200327.8,59515.4,186550.1,218693.1
Nicaragua,1,1,4.9,8.4,1996.0,1996.0,1996.0,1996.0,1350.7,1350.7,1350.7,1350.7,168.0,168.0,168.0,168.0,23.0,23.0,23.0,23.0,1.7,128.1,130.6,14922.2,15987.0,15057.5,14922.2,50832.2,67566.3
