Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saint Kitts and Nevis,139,48,467.8,81.3,1997.9,2000.5,2005.6,2002.2,77.1,100.1,123.3,94.5,10.0,13.8,14.3,12.8,9.0,11.1,9.2,10.2,133.1,10268.2,10465.4,157341.9,804022.8,978558.6,1132.0,5490.2,6415.6
Saint Lucia,105,34,2001.4,204.4,2002.9,2001.9,2004.4,2004.0,220.5,229.2,227.6,228.6,17.0,20.7,17.1,18.0,8.0,11.5,8.2,8.7,430.3,33317.8,33957.5,614759.1,3230930.5,3640284.3,5854.8,27698.8,29811.0
Sint Maarten (Dutch part),83,37,282.7,55.7,1998.7,2000.3,2004.3,2004.2,102.3,105.3,113.2,107.6,14.0,15.0,14.9,16.1,10.0,11.2,9.8,12.5,86.6,6676.8,6804.9,109975.7,516047.6,623217.3,1325.0,6312.6,7534.4
Guadeloupe,67,37,243.7,60.0,2000.2,1999.9,2004.9,2005.3,122.1,134.5,140.9,138.1,15.0,18.2,18.7,20.8,9.0,11.1,9.5,11.0,46.6,3584.5,3653.4,96213.6,457780.5,582345.8,1436.0,6415.9,7693.1
Martinique,58,17,647.7,78.4,2003.6,2001.8,2009.0,2007.8,181.4,209.5,187.7,193.2,16.0,21.0,15.6,17.8,10.0,23.5,11.2,15.8,140.2,10849.9,11058.2,48573.1,825809.0,1163433.1,837.5,13158.2,18017.0
Trinidad and Tobago,57,11,229.6,317.1,2006.2,2003.3,2006.6,2006.6,426.3,431.0,435.6,435.6,31.0,36.8,31.5,31.5,9.0,33.2,10.9,11.1,68.8,5278.4,5379.7,316965.8,1163410.2,1346767.9,5560.8,22707.6,27951.1
Virgin Islands (U.S.),41,22,337.5,94.7,2004.0,2004.1,2008.9,2006.7,203.9,271.4,205.2,228.2,18.0,249.5,25.6,62.6,10.0,18.1,10.8,27.6,82.4,6297.9,6418.8,184048.1,707795.7,818037.6,4489.0,18257.1,21114.3
Dominica,41,17,93.6,35.9,2003.1,2004.9,2007.1,2005.4,136.0,160.9,182.9,154.0,14.0,21.8,26.0,20.6,8.0,12.6,8.5,11.9,21.0,1619.4,1650.4,66486.9,244844.7,314171.4,1621.6,6421.5,8169.0
Colombia,38,10,294.1,380.9,2006.4,2002.0,2005.3,2005.7,924.3,997.1,988.1,969.5,75.5,71.5,74.4,77.0,38.0,42.1,43.1,42.8,100.5,7691.2,7838.9,892124.3,2013458.0,2329724.5,23477.0,59138.9,68636.1
Dominican Republic,38,22,1057.3,517.6,2008.6,2007.1,2011.0,2010.6,496.7,546.9,508.2,551.1,39.5,53.2,42.3,52.5,13.5,64.9,14.5,18.7,210.8,16288.1,16600.9,591523.4,2344449.6,2460822.9,15566.4,60675.8,64596.3
Virgin Islands (British),33,17,106.5,24.8,1991.1,1997.0,2000.1,1995.5,197.8,210.7,190.7,204.4,19.0,27.3,17.7,24.8,9.0,19.1,10.3,20.5,37.3,2871.7,2926.8,84886.0,303941.2,361101.5,2572.3,9213.4,10690.4
Barbados,31,17,757.8,85.8,2004.9,2004.2,2007.8,2006.1,308.7,316.0,307.4,313.6,19.0,28.7,20.3,25.0,8.0,14.4,12.2,15.2,172.7,13364.0,13620.6,101339.7,945383.4,1195402.8,3269.0,28303.7,34885.6
United States of America,30,19,1935.6,774.1,2007.0,2006.7,2010.0,2007.7,1181.0,1503.8,1261.5,1704.5,89.5,278.4,107.3,233.5,17.5,31.6,19.4,46.2,386.1,29774.0,30345.7,923624.7,3920379.2,4533800.4,30787.5,130084.3,148619.3
Suriname,25,8,135.5,196.0,2006.7,2005.4,2005.6,2006.1,925.8,888.6,932.0,937.4,90.0,84.8,90.9,91.0,34.0,37.1,38.6,39.6,44.5,3401.0,3466.3,341313.0,408906.2,402846.2,13652.5,46124.6,60954.4
Saint Vincent and the Grenadines,21,7,433.3,43.8,2003.2,2004.9,2003.8,2004.9,259.4,267.4,253.4,254.3,16.0,23.6,16.0,17.9,8.0,7.8,8.6,8.3,108.4,8396.7,8558.0,80256.2,564002.0,682670.2,3821.7,25146.2,29682.3
Puerto Rico,17,10,308.2,54.8,2002.6,2000.3,2004.7,2004.8,294.1,290.6,316.8,306.1,20.0,20.6,20.3,23.2,8.0,9.6,8.1,8.3,48.8,3726.4,3797.9,81084.3,440161.3,518847.9,4769.7,22699.8,25198.5
Saint Barthélemy,16,11,25.8,3.8,1998.7,2000.4,2007.4,2006.6,92.5,97.0,91.1,79.6,13.5,14.3,13.2,14.2,11.5,19.3,12.5,26.6,11.7,893.4,910.5,9181.7,62115.1,90301.0,573.9,3443.8,4568.5
"Bonaire, Sint Eustatius and Saba",15,9,16.1,23.1,2005.1,2003.0,2005.9,2007.3,86.3,103.9,111.8,116.5,11.0,41.5,55.4,59.8,9.0,20.6,19.8,21.4,17.5,1328.9,1354.5,18294.8,60660.8,72758.5,1219.7,4766.9,5919.8
