Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,548,174,2544.5,3469.4,2000.3,2002.7,2004.6,2004.4,991.6,1147.6,1087.1,1089.1,99.0,126.5,136.2,134.1,25.0,43.4,51.0,50.6,722.2,55009.1,56065.3,5421602.3,16067671.5,22655101.6,9893.4,38286.4,50960.1
Container,285,21,2416.0,2775.6,2005.4,2005.5,2005.2,2005.5,939.5,1005.8,818.4,804.7,64.0,75.1,82.8,81.5,7.0,32.2,13.9,13.5,685.0,52451.6,53458.7,5169381.5,14096452.1,15950475.4,18138.2,50893.5,58328.5
Miscellaneous - fishing,268,168,1447.0,901.8,1998.0,1996.8,2001.0,2001.4,1274.7,2789.1,2484.7,2111.4,168.5,411.3,940.4,871.7,24.0,253.7,529.8,440.6,675.3,50734.6,51708.7,6341715.8,14067148.3,15992923.1,23663.1,55690.1,66017.2
Cruise,134,76,5726.8,647.8,1992.7,1993.8,2000.6,1997.2,919.5,1006.5,958.5,979.7,63.0,79.2,75.8,84.0,8.0,15.1,10.7,11.2,1320.5,101692.2,103644.7,2604878.5,13344711.8,16219490.6,19439.4,87332.4,97833.6
Chemical tanker,87,29,768.0,1157.8,2003.1,2003.8,2007.5,2007.8,804.9,983.4,967.3,985.5,83.0,109.6,124.8,128.3,27.0,25.9,47.8,46.5,202.6,15436.7,15733.1,1178790.0,3699471.9,4455224.7,13549.3,48165.2,58474.5
Bulk carrier,74,43,1979.3,3283.8,2006.8,2009.1,2011.5,2011.7,1236.1,1657.4,1713.1,1735.7,123.5,174.6,241.6,245.8,22.5,71.3,77.1,78.0,208.2,15940.6,16246.7,1700589.1,3835296.2,4805779.4,22980.9,78679.1,95574.0
Refrigerated bulk,70,23,322.0,323.1,1989.0,1991.6,1991.1,1991.9,1167.4,1355.1,1322.0,1317.9,112.0,122.8,150.7,150.5,10.5,13.9,18.2,18.6,168.8,12771.8,13017.0,958509.8,2094390.5,2359133.9,13693.0,29179.6,31505.2
Ferry-RoPax,52,3,537.8,93.4,2003.0,2002.7,2002.9,2002.8,285.3,1319.1,296.5,303.0,19.0,176.3,29.1,40.3,5.0,88.0,10.4,17.5,95.9,7356.2,7497.4,580107.6,1434560.1,1760214.5,11155.9,23813.4,21689.0
Vehicle,47,1,919.6,369.6,1996.0,1996.0,1996.0,1996.0,1053.4,1053.4,1030.9,1030.9,65.0,65.0,64.0,64.0,7.0,7.0,9.9,9.9,200.9,15314.5,15608.6,374312.4,1650316.5,1911234.7,7964.1,30271.5,32578.8
Service - other,17,13,143.6,45.0,1998.6,2001.4,2003.1,2002.7,1062.6,2002.8,2562.7,2020.8,127.0,237.9,383.3,386.3,26.0,117.3,353.0,230.2,46.0,3456.6,3522.9,313670.9,643583.7,693500.4,18451.2,41057.1,46359.3
Oil tanker,11,8,434.7,728.9,2005.3,2003.6,2012.7,2012.7,1186.4,1312.1,2039.6,2071.2,117.0,135.9,300.3,304.2,42.0,47.4,20.5,19.7,50.7,3891.0,3965.8,554766.5,954572.5,1082757.0,50433.3,132323.7,163061.9
Ro-Ro,11,2,41.4,39.7,1980.7,1980.5,1980.7,1980.7,847.2,775.3,814.2,813.6,39.0,52.0,70.6,70.7,7.0,4.5,60.0,60.3,18.8,1418.2,1445.5,143864.8,1109142.7,523394.1,13078.6,31917.3,45499.4
Service - tug,4,4,1.0,0.7,1982.8,1982.8,1985.5,1985.8,857.8,831.7,887.3,904.0,115.5,119.2,129.2,132.9,173.5,413.8,586.9,600.7,3.7,276.8,282.1,18202.7,43043.8,57633.4,4550.7,11750.6,15865.4
Ferry-pax only,2,2,13.0,1.6,1990.5,1990.5,1990.5,1989.9,2195.5,2195.5,1925.3,1689.4,218.5,218.5,217.9,185.9,122.5,122.5,123.3,170.6,6.6,493.4,502.8,45042.1,126854.8,164317.7,22521.0,62824.1,83132.6
