Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Reykjavik,208,83,4544.8,2054.7,2003.7,2002.1,2003.5,2005.2,1139.1,1432.6,1085.7,1160.6,90.5,156.8,112.9,136.6,9.0,51.4,17.4,28.0,1104.9,84806.6,86434.9,4932229.6,16300456.4,19027504.0,23712.6,77080.7,87911.8
Eskifjordhur,201,72,1751.6,2443.3,2002.3,2001.7,2008.2,2009.8,855.4,1235.7,935.9,1015.9,82.0,150.1,280.8,261.9,13.0,40.0,63.0,67.5,421.1,31984.3,32598.4,2453441.1,6505769.5,7919037.8,12206.2,39533.2,48622.4
Vestmannaeyjar,137,45,866.4,926.2,2003.4,1994.3,2004.5,2006.4,917.3,1074.3,776.9,761.1,64.0,127.0,76.1,70.5,9.0,195.0,60.2,43.5,264.2,20126.6,20513.0,2203476.4,5956081.8,6898547.1,16083.8,43483.0,50794.4
Grundartangi,112,70,1279.1,1865.3,2001.8,2004.7,2005.6,2006.0,1221.2,1273.4,1289.9,1289.8,119.0,138.0,146.9,148.0,19.0,44.9,54.7,56.4,248.2,18975.3,19339.7,2016553.6,5657526.0,7557640.9,18004.9,65973.9,83559.9
Akureyri,111,60,2339.3,597.1,1998.9,1995.5,2003.8,2002.6,804.9,1748.3,930.7,888.8,68.0,226.2,164.3,244.6,13.0,150.0,90.0,166.8,574.2,44137.0,44984.4,1799549.8,6536416.1,7829412.6,16212.2,58581.1,67683.1
Hafnarfjordur,102,74,901.4,657.3,1997.1,1996.1,1998.9,2001.0,1412.6,3218.7,2144.3,1732.5,141.5,435.5,608.0,458.0,36.5,211.8,444.3,308.7,302.7,22857.0,23295.9,2571791.6,5950873.7,7122628.6,25213.6,66593.0,80796.1
Seydisfjordur,84,28,764.8,172.7,2001.0,1997.5,1999.2,1999.8,288.4,1063.2,365.6,421.1,21.0,119.9,51.8,82.2,5.0,20.7,7.7,12.1,152.7,11681.4,11905.7,864626.8,2501304.5,3146761.0,10293.2,27218.4,29300.5
Thorlakshofn,79,27,1024.8,532.1,1997.2,2000.0,1996.6,1997.6,1057.3,1386.9,1050.4,1087.3,66.0,154.6,76.7,97.5,8.0,124.8,20.8,32.8,242.9,18500.5,18855.7,840692.7,3108652.8,3630024.2,10641.7,36974.9,44729.9
Neskaupstadur,70,42,268.1,306.7,1996.5,1996.1,1998.0,1998.8,707.7,1122.0,1161.3,1127.2,79.0,143.0,201.3,169.3,13.0,25.4,29.7,27.2,101.4,7684.2,7831.8,899649.1,2225467.4,2597717.2,12852.1,32871.3,39899.0
Straumsvik,67,17,848.6,1350.3,2000.5,2009.4,2007.7,2008.0,1202.9,1846.0,1768.4,1829.0,103.0,198.1,241.6,251.9,40.0,64.2,71.9,72.5,166.6,12710.9,12954.9,1096240.7,2880813.0,3883425.5,16361.8,61914.2,76698.6
Faskrudsfjordur,52,38,143.0,127.7,1998.7,1998.3,2000.5,2000.5,947.8,1097.4,1156.7,1044.0,99.0,119.7,409.9,287.1,17.5,49.6,86.9,74.4,85.6,6444.7,6568.5,736084.9,1681944.7,1964247.5,14155.5,34556.2,41773.0
Husavik,46,30,217.3,281.2,2003.7,2004.1,2006.3,2007.2,831.5,992.0,980.2,1042.6,73.0,104.4,125.3,130.0,20.0,30.9,51.7,56.7,61.2,4676.9,4766.7,432706.2,1259621.9,1709362.1,9406.7,35420.3,45530.7
Kopavogur,39,30,413.2,195.1,1995.8,1994.8,1995.3,2002.8,1121.4,2336.2,1560.1,1338.3,125.0,320.1,395.2,367.8,19.0,85.2,160.0,99.7,150.1,11399.6,11618.5,784240.5,2038841.7,2601876.8,20108.7,56128.5,70615.7
Hornafjordur,39,32,86.9,91.3,1987.9,1989.1,1990.8,1993.4,945.9,1010.5,869.8,858.5,101.0,129.4,112.6,107.6,18.0,78.4,42.5,30.9,47.2,3559.7,3628.1,290151.3,890975.3,899279.2,7439.8,19705.6,24608.5
Reydarfjordur,32,22,192.2,218.7,1998.5,1997.6,2003.8,2003.6,625.5,968.5,790.1,725.2,76.0,101.9,164.6,139.8,25.0,68.0,31.7,29.3,66.0,5013.3,5109.6,447975.8,1163044.1,1395091.5,13999.2,40830.0,49488.8
Helguvik,31,15,471.4,761.8,2004.5,2007.0,2009.1,2009.4,1227.1,1190.7,1241.5,1243.9,128.0,136.2,160.2,161.3,20.0,30.2,31.3,31.0,76.8,5878.7,5991.6,530585.4,1684593.4,1971920.1,17115.7,68061.1,83343.9
Vopnafjordur,28,20,65.9,77.9,1991.9,1994.8,1994.2,1995.1,802.4,1094.7,1119.8,1082.6,89.5,115.4,160.5,163.4,24.0,28.3,26.8,28.7,31.0,2332.6,2377.4,251831.5,636753.6,824022.1,8994.0,24458.0,31708.2
Thorshofn,28,25,79.6,82.3,1995.8,1996.6,1998.2,1998.7,814.0,1159.9,1129.3,1061.5,90.0,131.1,169.3,162.5,15.0,22.4,20.8,23.0,29.7,2245.0,2288.1,378215.0,1066541.6,1085615.2,13507.7,33885.1,42020.7
