Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,269,37,11118.3,13810.2,2006.6,2006.5,2006.9,2006.9,927.7,1462.7,1653.9,1649.6,61.0,87.5,176.3,176.0,17.0,21.2,20.6,20.7,2257.0,174484.6,177834.7,11634959.8,41836485.6,45580974.6,43252.6,156883.2,183623.4
Cruise,220,44,3304.6,312.2,1999.3,1996.3,2007.4,2007.1,142.8,186.9,254.9,252.9,15.0,18.5,28.4,28.5,10.0,9.9,13.9,13.7,756.0,58457.0,59579.4,342353.5,4416906.3,5855954.4,1556.2,17698.6,22431.0
Ferry-RoPax,165,3,32.0,3.6,2005.9,1993.7,2005.8,2002.7,173.5,161.4,257.9,243.1,9.0,18.3,65.9,60.3,9.0,5.7,14.9,14.3,52.0,3901.1,3976.0,123217.6,266574.3,354425.0,746.8,1667.2,2375.8
Ro-Ro,160,3,452.8,271.4,1991.1,1998.0,2005.0,2002.8,176.8,1462.3,451.3,359.4,17.0,125.5,216.9,187.1,7.5,24.3,63.6,56.2,112.8,8647.8,8813.9,605725.4,3736058.8,1966577.8,3785.8,9149.3,12191.6
General cargo,131,42,947.4,1401.8,2005.3,2006.8,2006.9,2007.0,190.6,1088.6,988.3,983.8,22.0,117.2,214.1,209.8,18.0,54.6,69.8,68.4,190.8,14613.5,14894.1,855140.0,2826162.8,4080507.9,6527.8,32270.4,43430.5
Ferry-pax only,131,4,38.9,3.7,2008.5,1999.2,2007.1,2007.0,179.7,1837.4,452.5,516.5,10.0,281.8,654.4,750.5,9.0,25.1,33.5,37.8,47.5,3567.5,3636.0,301346.9,613721.1,773098.9,2300.4,5349.4,7052.2
Chemical tanker,115,10,275.9,447.0,2006.7,2006.2,2006.0,2006.0,255.4,365.9,337.2,336.9,23.0,41.7,118.9,115.2,29.0,27.3,33.3,33.6,135.9,10297.7,10495.4,541290.1,1545296.9,1838274.9,4706.9,14827.5,17480.9
Vehicle,63,23,811.0,266.1,2005.3,2004.9,2006.5,2005.9,118.6,320.5,340.6,357.5,15.0,29.2,83.0,91.3,7.0,16.8,19.7,21.6,62.4,4816.0,4908.4,269472.1,1188082.9,1375921.1,4277.3,16258.1,17497.3
Service - tug,45,5,1.3,0.9,1974.3,1975.0,1974.7,1974.9,96.4,108.3,104.1,106.5,17.0,16.3,25.4,25.6,14.0,61.3,51.2,53.1,5.1,383.0,390.3,22065.1,52177.2,69862.5,490.3,1266.1,1709.5
Refrigerated bulk,38,12,285.7,313.0,1994.6,1995.2,1994.6,1994.7,567.0,734.3,619.8,622.1,35.0,63.1,68.3,69.6,20.5,40.2,37.4,38.4,135.5,10322.5,10520.7,928501.9,2028821.8,2285276.9,24434.3,52069.1,56219.0
Oil tanker,33,7,543.4,969.6,2001.9,2005.3,2010.2,2010.6,305.4,986.7,1645.0,1787.9,39.0,127.8,249.9,255.0,31.0,51.0,172.6,180.9,81.6,6271.1,6391.5,439752.7,592756.3,591407.2,13325.8,41235.4,53563.3
Liquefied gas tanker,24,3,43.1,43.8,2010.3,2007.0,2010.7,2010.7,381.9,331.6,473.7,474.6,31.5,20.8,48.9,48.9,25.5,17.3,40.3,40.3,29.2,2229.9,2272.7,33073.8,95820.2,105816.2,1378.1,7544.9,9921.7
Bulk carrier,7,5,59.7,80.8,2011.9,2011.8,2011.7,2011.7,189.2,516.8,589.7,601.2,18.0,96.0,278.1,270.4,143.0,174.4,265.9,267.1,10.3,790.9,806.1,33119.3,91941.6,142895.4,4731.3,22290.2,28889.7
Service - other,3,3,22.7,12.2,2010.0,2010.0,2006.7,2007.2,855.9,1528.8,1360.4,1247.0,126.0,174.0,343.2,309.6,143.0,119.0,145.5,145.1,10.3,771.1,785.9,85313.7,175044.9,188621.5,28437.9,63279.1,71451.1
