Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,578,18,172.7,178.4,2003.9,2005.2,2003.9,2004.0,87.2,660.9,161.9,165.2,26.0,467.6,277.1,275.9,8.0,175.6,59.3,57.1,112.8,8486.0,8649.0,4564202.4,10792964.8,14451196.5,7896.5,20390.3,27530.4
Ferry-RoPax,133,2,49.6,14.1,1986.6,1983.5,1985.6,1983.1,149.8,375.7,211.6,261.7,16.0,19.0,38.1,42.3,59.0,77.5,115.1,140.9,83.3,6252.4,6372.4,296995.4,655258.1,860773.9,2233.0,4955.0,6721.9
Service - other,90,5,82.9,48.9,1994.2,1998.6,1998.4,2004.2,144.2,1639.4,255.1,363.0,20.0,314.5,304.8,357.2,54.0,50.2,118.1,130.9,65.6,4927.1,5021.7,341548.4,700782.2,755135.3,3795.0,8444.5,9535.0
Ro-Ro,81,8,86.6,54.1,2007.1,2006.0,2006.5,2006.9,143.9,163.0,172.6,171.0,18.0,17.6,19.6,22.9,80.0,42.8,63.3,87.9,173.8,13301.9,13557.3,88730.5,418622.9,255409.7,1095.4,2623.0,3261.3
General cargo,71,19,104.2,158.9,2001.2,2006.3,1995.4,1993.0,156.4,229.6,232.1,250.4,19.0,27.1,26.1,27.5,32.0,78.1,210.2,213.9,51.6,3904.7,3979.6,213150.3,637338.9,885085.8,3002.1,12489.5,15903.7
Container,45,12,219.9,264.1,2005.8,2006.4,2006.9,2006.9,153.8,160.1,160.1,160.2,12.0,13.5,14.1,14.1,36.0,32.2,35.3,35.4,59.3,4576.6,4664.5,214083.5,612405.0,689419.5,4757.4,14879.7,17400.0
Ferry-pax only,37,3,40.6,13.3,1990.6,1996.3,1979.4,1980.4,443.0,474.5,1453.5,1387.4,20.0,14.7,73.1,71.6,149.0,125.3,545.1,580.0,40.5,3040.2,3098.5,1093345.6,2226700.5,2804954.5,29549.9,68716.9,90591.5
Chemical tanker,28,6,37.7,58.0,2006.7,2007.0,2006.7,2006.7,159.8,159.2,162.8,162.9,14.0,15.2,17.0,17.0,33.0,36.1,33.6,33.7,26.1,1976.3,2014.2,69284.7,196884.9,233211.4,2474.5,7756.1,9092.5
Liquefied gas tanker,17,4,25.7,30.1,1994.8,2004.0,2004.7,2004.3,162.2,269.0,305.2,296.6,31.0,233.8,221.2,221.2,96.0,65.1,95.6,98.0,120.1,9026.9,9200.3,22739.5,65880.0,72752.7,1337.6,7323.4,9630.5
Bulk carrier,15,5,45.1,72.8,2008.1,2005.8,2005.4,2005.2,161.4,251.3,218.9,224.1,17.0,32.2,38.3,39.9,265.0,243.2,252.2,248.7,12.0,911.6,929.1,41653.8,100156.5,138207.2,2776.9,10456.9,13116.4
Oil tanker,2,2,13.1,23.7,2002.5,2002.5,2007.7,2007.9,123.4,123.4,137.1,141.6,235.0,235.0,387.4,394.7,226.5,226.5,382.7,390.2,11.4,879.6,896.5,13147.5,26293.5,29986.3,6573.7,15951.0,19963.2
