Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Azerbaijan,535,103,1344.3,873.1,1999.2,1996.1,1997.8,2000.9,258.7,428.1,334.8,330.6,29.0,116.3,69.2,95.2,26.0,93.0,56.5,60.7,435.6,33286.2,33925.3,2257301.8,5530060.0,6709347.0,4219.3,10646.7,11842.4
Iran (Islamic Republic of),363,87,563.9,698.1,1994.3,1991.1,1997.6,1997.5,421.2,424.3,457.8,457.7,63.0,69.4,97.2,98.4,84.0,83.6,116.3,115.3,170.5,12834.8,13081.2,1688408.8,4879244.5,6906186.9,4651.3,16382.4,22384.3
Russian Federation,318,136,601.1,854.1,2000.7,1998.3,2001.1,2001.7,278.9,620.9,395.2,363.5,31.5,195.7,220.7,159.6,53.0,112.6,132.6,124.4,324.0,24354.3,24821.9,1906706.9,4678264.8,6159567.8,5995.9,18513.2,24520.7
Turkmenistan,121,62,239.3,244.1,1993.2,1991.8,1996.5,1996.9,292.9,458.5,511.3,511.3,45.0,90.7,81.6,86.8,60.0,78.2,155.9,173.3,65.4,4950.4,5045.4,656082.0,1781475.3,2455667.0,5422.2,17453.4,22953.5
Netherlands,2,2,0.3,0.3,2012.0,2012.0,2007.2,2006.5,1084.3,1084.3,902.7,1365.8,1447.5,1447.5,333.8,163.3,498.5,498.5,864.7,920.7,3.9,293.6,299.3,6602.9,15614.0,20906.3,3301.5,8525.0,11510.2
China,1,1,0.5,0.8,1988.0,1988.0,1988.0,1988.0,293.9,293.9,293.9,293.9,42.0,42.0,42.0,42.0,155.0,155.0,155.0,155.0,0.2,15.3,15.6,2532.2,7264.4,10439.5,2532.2,8253.8,11871.1
Turkey,1,1,1.1,1.3,2018.0,2018.0,2018.0,2018.0,244.4,244.4,244.4,244.4,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,0.4,31.3,31.9,2180.6,6396.7,8821.4,2180.6,8736.2,11015.4
Italy,1,1,2.9,4.2,2003.0,2003.0,2003.0,2003.0,974.4,974.4,974.4,974.4,190.0,190.0,190.0,190.0,4.0,4.0,4.0,4.0,0.7,54.2,55.2,13175.1,37796.8,54316.9,13175.1,42944.7,61765.4
Qatar,1,1,0.9,0.2,2015.0,2015.0,2015.0,2015.0,2251.1,2251.1,2251.1,2251.1,1346.0,1346.0,1346.0,1346.0,1843.0,1843.0,1843.0,1843.0,6.1,458.9,467.7,1178.1,2417.3,2604.7,1178.1,2621.5,2960.1
Serbia,1,1,0.5,0.7,1977.0,1977.0,1977.0,1977.0,218.5,218.5,218.5,218.5,42.0,42.0,42.0,42.0,31.0,31.0,31.0,31.0,0.1,9.1,9.3,2238.3,6421.3,9227.9,2238.3,7295.9,10493.4
