Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Service - tug,1132,34,327.1,284.0,2009.8,2009.8,2009.6,2009.4,133.0,246.6,186.2,193.7,30.0,168.0,106.3,106.1,14.5,30.9,47.0,48.5,281.2,21114.7,21520.1,7263501.1,17175993.6,22997727.1,6416.5,16568.6,22370.4
Ro-Ro,154,4,29.1,32.8,2012.1,2009.0,2011.7,2012.1,212.0,159.0,173.5,173.2,28.0,29.4,97.4,78.8,37.0,43.4,87.3,70.9,151.7,11390.6,11609.3,119098.5,918203.5,433291.7,773.4,1887.3,2690.5
Ferry-pax only,152,1,5.9,2.1,1984.0,1984.0,1984.0,1984.0,90.0,90.0,139.0,139.0,7.0,7.0,29.1,29.1,6.0,6.0,67.5,67.5,16.9,1268.6,1293.0,173887.4,354138.0,446104.5,1144.0,2660.3,3507.2
Ferry-RoPax,98,1,6.1,1.5,1974.0,1974.0,1974.0,1974.0,87.7,87.7,99.7,99.7,16.0,16.0,23.1,23.1,19.0,19.0,100.6,100.6,35.3,2647.2,2698.1,52389.6,113342.0,150694.4,534.6,1193.5,1700.8
Chemical tanker,80,9,60.9,94.1,2007.0,2007.3,2007.0,2007.0,99.3,109.3,104.2,104.1,11.0,20.3,39.0,39.1,45.0,58.8,83.9,83.9,145.6,10954.1,11164.4,113392.1,323148.5,383791.7,1417.4,4456.6,5242.9
Container,27,12,109.2,129.8,2006.9,2006.7,2006.9,2007.0,109.3,114.8,114.9,114.9,11.0,19.0,20.4,20.5,23.0,35.2,32.2,32.2,29.7,2298.5,2342.6,103630.9,284891.5,319297.0,3838.2,11517.1,13354.5
Service - other,21,7,4.7,1.5,2012.2,2011.9,2013.8,2013.0,238.5,8877.8,824.6,385.7,82.0,1421.5,5307.5,1696.5,29.0,40.2,82.1,72.6,34.1,2560.4,2609.5,10349.6,21235.1,22882.1,492.8,1096.6,1238.3
General cargo,10,6,8.4,11.3,1996.6,2003.0,2009.9,2009.9,104.5,118.7,114.3,114.9,13.0,13.0,12.9,13.0,47.0,87.5,96.7,97.9,4.7,355.0,361.8,9214.2,29106.1,41286.8,921.4,4229.7,5552.1
Oil tanker,9,9,122.9,227.3,2007.9,2007.9,2009.7,2009.9,222.3,204.5,202.0,201.2,34.0,34.6,34.5,34.5,38.0,69.4,78.5,78.0,49.4,3824.6,3898.1,103163.2,204714.5,230012.1,11462.6,28804.6,35523.9
Miscellaneous - fishing,3,2,0.4,0.3,1982.0,1987.0,1978.6,1983.1,224.1,203.3,187.9,194.4,48.0,59.5,70.8,66.4,0.0,1.0,1.9,1.6,0.5,41.0,41.8,2251.5,4994.3,5678.1,750.5,1766.3,2093.8
Bulk carrier,2,2,14.0,23.9,2010.0,2010.0,2010.0,2010.0,213.3,213.3,212.7,212.1,175.0,175.0,266.5,266.0,125.0,125.0,107.0,107.1,2.7,206.4,210.4,10660.7,21099.3,26170.0,5330.3,17016.7,19785.0
Liquefied gas tanker,1,1,0.8,1.0,2012.0,2012.0,2012.0,2012.0,115.6,115.6,115.6,115.6,9.0,9.0,9.0,9.0,81.0,81.0,81.0,81.0,1.2,88.5,90.2,786.2,2277.9,2515.5,786.2,4304.7,5660.7
