Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,55,19,918.3,1213.1,2006.7,2005.2,2006.0,2005.9,743.7,1504.1,1747.9,1758.7,82.0,356.6,222.7,224.3,38.0,40.4,52.5,52.6,180.6,13908.5,14175.5,728453.1,2411236.7,3462055.2,13244.6,66758.0,88575.3
Oil tanker,13,9,1950.1,3687.0,2007.5,2008.1,2007.4,2007.4,738.4,2224.7,2360.1,2347.6,188.0,416.6,727.4,732.6,12.0,19.3,37.4,38.2,134.4,10395.0,10594.5,1239499.0,2140455.2,2368821.3,95346.1,252445.5,309040.9
Container,13,7,408.4,508.6,2004.4,2003.9,2004.9,2004.8,3385.5,2222.1,2190.4,2162.4,249.0,186.4,250.2,251.4,76.0,71.6,83.4,84.7,90.2,6935.1,7068.3,613226.4,2000038.0,2253636.5,47171.3,160648.5,189646.2
Miscellaneous - fishing,11,10,151.7,125.2,1994.1,1994.4,2005.8,2006.6,3398.3,6516.0,7709.6,8263.4,484.0,621.2,1290.6,1295.3,32.0,267.1,1068.2,1179.1,80.7,6059.1,6175.5,880766.1,1953709.0,2221169.3,80069.6,188440.2,223384.5
Chemical tanker,10,5,140.6,222.8,2006.0,2007.0,2010.4,2010.6,772.1,1933.5,1977.4,1998.6,190.0,371.7,415.6,407.2,20.0,16.7,10.6,10.2,39.7,3028.2,3086.4,145410.7,560101.2,682103.2,14541.1,63529.9,79454.5
Liquefied gas tanker,6,4,1560.4,1285.0,2004.7,2006.5,2009.0,2009.0,294.4,2973.3,3481.4,3410.2,40.0,240.5,556.6,550.5,1.0,3.6,1.0,1.1,152.6,9290.1,9468.5,300298.9,2237347.1,1858935.2,50049.8,451860.3,701832.0
Ferry-pax only,5,1,1.1,0.2,1983.0,1983.0,1983.0,1983.0,476.5,476.5,488.9,488.9,70.0,70.0,182.2,182.2,83.0,83.0,106.4,106.4,2.3,175.4,178.8,15486.0,31538.6,39729.0,3097.2,7202.4,9495.1
Bulk carrier,3,3,337.1,639.8,2001.3,2001.3,1997.9,1997.6,2706.6,2422.8,2839.0,2851.6,176.0,165.0,211.5,209.6,8.0,8.0,10.4,10.5,27.2,2103.3,2143.7,194141.6,387436.0,467287.6,64713.9,197286.4,229429.7
Cruise,2,2,55.3,5.7,2007.0,2007.0,2011.5,2012.1,605.0,605.0,646.8,659.1,49.0,49.0,54.4,55.2,8.5,8.5,9.2,9.3,9.7,748.5,762.8,14973.9,123940.3,165283.2,7486.9,51707.2,61472.8
Service - other,2,2,63.4,44.3,2006.5,2006.5,2001.7,2001.6,2904.9,2904.9,3850.4,3891.6,260.0,260.0,360.1,361.6,75.0,75.0,43.4,42.9,19.7,1521.2,1550.4,308840.7,633673.4,682821.5,154420.4,343611.3,387985.8
Vehicle,1,1,78.4,25.1,2006.0,2006.0,2006.0,2006.0,1278.0,1278.0,1278.0,1278.0,219.0,219.0,219.0,219.0,16.0,16.0,16.0,16.0,2.6,199.7,203.5,25401.2,111992.0,129698.2,25401.2,96549.9,103908.9
Ro-Ro,1,1,0.6,0.7,2017.0,2017.0,2017.0,2017.0,434.4,434.4,434.4,434.4,84.0,84.0,84.0,84.0,38.0,38.0,38.0,38.0,0.7,50.1,51.0,2695.1,20778.4,9805.1,2695.1,6577.2,9376.1
Other liquids tankers,1,1,0.3,0.3,1978.0,1978.0,1978.0,1978.0,1155.6,1155.6,1155.6,1155.6,173.0,173.0,173.0,173.0,188.0,188.0,188.0,188.0,3.8,285.1,290.6,177.8,507.7,1094.7,177.8,616.0,995.5
Service - tug,1,1,0.1,0.1,1975.0,1975.0,1975.0,1975.0,465.3,465.3,465.3,465.3,83.0,83.0,83.0,83.0,33.0,33.0,33.0,33.0,0.3,19.0,19.3,2227.3,5266.8,7052.0,2227.3,5751.2,7765.1
