Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
All Global Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
All International Voyages,1229088,41343,71953336.7,102531467.9,2003.7,2003.8,2009.2,2009.4,668.4,1825.5,2058.1,2438.9,67.0,228.6,428.3,471.9,22.0,79.5,68.9,76.8,7386879.1,561972489.7,572762361.5,42427448653.6,117844885887.1,135247567981.6,34519.5,120548.3,148093.0
All Domestic Voyages,2658748,54999,81267189.4,114150482.3,2002.5,2002.4,2008.8,2009.1,366.3,1368.5,1510.2,1787.3,41.0,222.0,402.2,445.0,19.0,83.5,69.5,77.4,9296550.7,707533845.5,721118495.4,52903800408.8,144910309539.1,167566454197.9,19898.0,67928.9,83364.7
Int. Arr. Inventory,13,13,145.9,239.6,2003.5,2003.5,2003.3,2003.4,228.8,390.9,529.3,540.6,29.0,56.5,113.3,123.5,3.0,6.7,11.9,12.1,17.9,1380.9,1407.4,140403.1,314992.0,360178.3,10800.2,30154.2,34975.7
Int. Dep. Inventory,13,13,374.3,638.9,2003.5,2003.5,2007.9,2008.3,330.8,685.7,1357.5,1441.6,47.0,58.6,103.8,106.1,15.0,21.1,41.4,44.7,33.0,2548.4,2597.3,304242.9,654726.9,760165.3,23403.3,62591.1,72348.2
Domestic Inventory,4,2,20.4,35.0,1984.5,1984.5,1994.0,1994.0,211.3,218.1,385.5,386.8,10.0,14.2,9.9,9.9,12.5,10.8,15.1,15.1,2.5,193.2,196.9,16591.0,33218.8,41433.4,4147.7,13090.0,15339.6
