Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Bulk carrier,6051,631,37317.7,60784.2,1997.2,2008.1,2000.5,2000.9,202.5,304.1,272.4,277.0,23.0,91.8,100.6,105.3,8.0,72.0,60.1,63.0,4867.5,365953.7,372980.0,23168338.2,53818066.5,72700373.3,3828.8,14449.5,17692.7
Service - tug,5322,134,635.0,439.4,1979.5,1986.6,1988.2,1987.9,98.4,504.2,333.3,384.3,19.0,204.0,1017.0,1051.9,9.0,87.5,222.6,251.8,1595.6,119803.0,122103.2,11239875.7,26578922.5,35587740.7,2112.0,5453.5,7363.1
Ferry-RoPax,2843,54,16744.1,3324.2,2000.0,1993.6,2000.7,1999.5,122.8,5091.7,335.4,265.1,9.0,872.2,831.4,664.2,4.0,239.9,225.6,174.8,5381.0,399582.2,407254.2,23509531.3,57058056.1,70784221.7,8269.3,17771.7,17594.5
Chemical tanker,2472,246,12218.4,18911.1,2006.2,2009.4,2007.0,2007.0,262.6,398.9,385.0,389.6,28.5,55.2,118.7,116.4,22.0,45.8,55.4,56.4,4377.1,328481.2,334788.0,14059222.1,47649362.7,56217399.5,5687.4,21706.1,25894.5
Ro-Ro,1807,10,5189.6,3738.9,2004.7,1993.4,2000.7,2000.5,82.3,368.6,412.1,415.5,10.0,33.8,125.9,100.5,5.0,21.5,30.1,30.4,1565.2,112404.6,114562.7,5972058.8,27321773.9,16973696.0,3305.0,7906.5,9760.2
General cargo,1220,182,5548.6,7767.2,2005.1,2006.8,2005.9,2005.5,240.0,373.8,395.7,385.5,30.0,71.2,177.3,172.0,24.0,57.6,73.3,71.5,1553.4,117196.6,119446.8,4331475.1,14539420.8,21032021.6,3550.4,18191.9,24439.6
Service - other,1109,51,1927.3,883.1,1988.1,1990.5,1981.2,1981.4,263.4,739.0,588.6,599.5,31.0,145.3,356.9,399.3,21.0,87.8,190.1,204.5,1663.4,125274.5,127679.7,6162676.7,12644459.7,13625171.0,5557.0,12365.2,13962.0
Miscellaneous - fishing,938,66,1276.3,675.1,1994.2,1988.7,1996.8,1996.5,248.8,2031.5,1677.3,1396.3,48.0,487.2,1536.2,1542.8,24.0,199.0,469.2,520.0,953.0,71552.2,72926.0,4747378.7,10530601.1,11972227.1,5061.2,11911.2,14120.0
Cruise,883,78,13152.6,1401.5,1999.6,2000.0,2001.6,2000.8,232.5,271.2,338.0,337.2,17.0,23.1,32.5,32.7,8.0,8.9,11.0,10.9,3156.6,237220.6,241775.3,4884398.1,27830780.2,33849533.5,5531.6,27352.4,30547.8
Oil tanker,715,102,13469.5,23365.7,2008.3,2008.7,2012.8,2012.8,165.5,455.5,484.6,488.0,22.0,58.4,238.3,238.3,28.0,49.0,104.7,104.7,2551.6,190547.3,194205.8,12060070.1,22431609.6,26215357.3,16867.2,43039.8,52730.1
Container,573,175,13001.4,14417.1,2003.3,2006.1,2005.9,2005.6,621.8,405.5,476.7,482.9,46.0,36.0,69.9,70.4,21.0,42.4,37.8,36.2,1909.4,143390.9,146144.0,10228858.7,30623858.1,34755330.2,17851.4,60080.9,70769.3
Ferry-pax only,63,9,40.4,11.2,1967.5,1973.2,1965.4,1970.1,179.9,1116.6,674.4,973.4,26.0,323.6,2090.7,2249.5,45.0,169.7,319.2,487.8,69.6,5228.9,5329.3,792018.6,1662381.5,2100439.2,12571.7,29701.3,39169.9
Vehicle,25,23,194.0,61.2,2006.8,2007.7,2000.4,2000.7,85.2,122.3,134.1,130.7,9.0,17.2,38.7,37.6,12.0,15.5,14.6,14.8,15.0,1127.0,1148.7,61963.5,273192.6,316384.9,2478.5,9420.9,10139.0
