Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Burgas,1330,667,6117.1,9304.5,1998.0,2001.0,2004.3,2005.2,204.4,366.8,373.5,371.3,34.0,55.1,92.1,92.6,54.0,104.7,116.7,114.7,2112.3,161810.9,164917.7,7775947.5,21274545.5,26690814.9,5846.6,19389.0,24083.1
Varna East,781,550,3220.7,4991.5,1997.8,2000.1,2003.1,2003.6,203.0,456.3,486.4,493.8,28.0,77.8,227.2,227.4,71.0,158.9,402.9,425.0,1110.2,84806.6,86434.8,4381491.0,11494266.4,14887775.7,5610.1,19613.2,24865.5
Ignatievo,580,271,1965.5,2491.1,1996.5,1998.2,2000.3,2001.7,221.1,419.6,355.0,352.8,41.0,96.2,126.1,127.5,37.0,141.2,129.6,139.3,759.3,58037.1,59151.4,2657834.1,8736584.0,9738707.9,4582.5,16126.5,20489.1
Balchik,256,194,353.6,511.5,1989.9,1991.0,1993.6,1993.8,221.9,360.7,355.9,357.3,30.0,54.9,73.7,73.8,41.0,54.2,72.3,70.2,110.0,8343.0,8503.2,972339.0,2798100.6,3879302.2,3798.2,13629.2,18156.6
Akhtopol,61,51,152.5,244.2,1994.0,1995.0,1995.5,1995.7,212.1,314.3,307.0,302.4,34.0,55.7,85.6,84.1,27.0,60.1,76.5,77.9,34.8,2645.4,2696.2,300565.5,793485.5,1110896.1,4927.3,16919.0,22356.5
Nessebar,23,21,32.9,49.6,1988.8,1988.7,1999.4,1999.8,232.3,264.8,192.3,175.8,32.0,46.7,80.7,80.0,27.0,33.1,26.5,25.1,8.2,620.3,632.2,72775.9,197998.2,267916.0,3164.2,10432.4,13990.2
Nikopol,13,6,8.0,10.5,1966.1,1966.7,1965.6,1965.5,341.9,363.9,371.7,370.8,65.0,84.9,97.4,97.4,14.0,16.9,25.2,24.2,1.8,134.5,137.1,33783.5,96338.3,138178.3,2598.7,8410.7,12076.6
Sozopol,3,3,10.6,12.5,1999.0,1999.0,1994.6,1990.9,242.1,3681.7,221.9,178.9,555.0,627.3,363.7,133.0,162.0,110.3,156.0,152.5,10.6,794.8,810.0,13595.2,24790.2,33010.3,4531.7,15772.4,20349.0
Gurkovo,1,1,3.2,3.4,2013.0,2013.0,2013.0,2013.0,662.4,662.4,662.4,662.4,89.0,89.0,89.0,89.0,381.0,381.0,381.0,381.0,1.4,109.7,111.8,5892.1,17283.8,23835.6,5892.1,23605.3,29763.6
Oryakhovo,1,1,0.5,0.6,1967.0,1967.0,1967.0,1967.0,312.1,312.1,312.1,312.1,84.0,84.0,84.0,84.0,141.0,141.0,141.0,141.0,0.2,12.3,12.5,2022.9,5803.3,8339.7,2022.9,6593.7,9483.4
Kuklen,1,1,17.2,20.6,2008.0,2008.0,2008.0,2008.0,1119.3,1119.3,1119.3,1119.3,81.0,81.0,81.0,81.0,7.0,7.0,7.0,7.0,2.9,220.4,224.6,19090.2,74054.9,84501.6,19090.2,79934.2,97537.5
