Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Freeport,2109,777,112355.6,158679.7,2000.2,2005.6,2006.7,2007.6,576.4,1818.5,1214.3,1657.1,51.0,182.4,375.7,448.1,14.0,65.2,43.2,43.9,14891.8,1145430.2,1167422.4,86563441.7,225308605.1,259501588.3,41044.8,127831.1,154216.9
Nassau,1117,131,32863.3,5710.2,1999.9,2004.6,2006.9,2006.3,270.3,865.2,445.4,625.4,19.0,77.8,75.8,381.7,8.0,23.5,12.4,21.3,6212.4,478057.6,487236.3,6735940.4,45014908.0,54312272.0,6030.4,36378.4,42486.8
Great Harbour Cay,340,52,9807.7,3157.3,2003.8,2003.5,2005.3,2007.4,201.6,829.9,524.7,1181.9,18.0,129.4,108.9,266.7,8.0,28.2,15.6,29.2,1736.0,133348.5,135908.8,3704836.4,16414781.2,17577504.6,10896.6,44986.4,49814.3
Little San Salvador,199,25,7995.7,814.4,2003.0,2002.4,2003.8,2003.8,386.0,484.5,444.7,453.3,24.0,35.6,36.5,38.1,7.0,7.8,7.0,7.5,1769.5,136422.6,139041.9,3226103.8,14768412.9,15868750.8,16211.6,65617.5,66410.3
Marsh Harbor,176,20,1340.9,1222.8,1987.0,1997.7,2001.7,2005.5,234.3,1578.7,2850.6,2336.8,24.5,138.4,618.4,704.3,7.0,14.9,13.5,18.0,156.5,11962.4,12192.1,969946.1,3892748.5,3276651.6,5511.1,16576.8,19677.3
Clifton Pier,148,55,1431.0,2327.8,1992.0,2003.4,2009.7,2010.0,603.0,1017.8,1214.0,1218.3,78.5,92.3,103.6,103.4,20.0,28.7,34.4,34.3,248.0,18960.9,19325.0,1180007.9,4302367.1,4974921.7,7973.0,36885.7,45472.4
Harbour Island,95,24,1723.0,2169.2,2003.1,1997.5,2005.0,2006.0,220.9,1523.3,2233.3,3947.4,25.0,143.1,388.1,513.6,13.0,20.4,4.3,3.7,209.6,16078.8,16387.5,1139409.8,3387684.5,3686353.9,11993.8,37938.2,46461.6
Gorda Cay,83,18,6124.8,1154.2,2006.0,2001.4,2007.3,2005.0,759.0,1629.5,795.3,1479.1,41.0,137.1,82.5,331.4,8.0,8.0,8.8,9.1,1173.4,90433.8,92170.1,869965.5,7180317.2,9111739.8,10481.5,82898.5,101778.8
Matthew Town,82,35,436.8,649.3,2003.6,2005.6,2008.9,2009.0,518.0,613.0,722.4,738.5,66.0,78.5,100.7,101.3,14.5,31.2,45.9,45.0,68.4,5237.3,5337.9,530721.1,1514867.5,2019161.3,6472.2,25584.6,32095.5
Rock Sound,74,13,957.7,101.8,2001.9,2003.1,1995.6,1996.1,235.5,363.2,612.8,534.8,28.0,32.3,46.8,45.7,3.0,5.2,8.8,8.3,246.3,18830.7,19192.2,587759.3,2248085.9,2035767.5,7942.7,24745.7,23182.0
Great Exuma Island,54,11,14.3,22.3,2004.2,2003.9,2005.5,2005.9,304.5,297.8,313.5,313.8,38.0,40.2,54.9,55.7,3.0,10.2,8.3,8.2,19.4,1459.5,1487.5,53871.9,388144.3,193854.7,997.6,2584.6,3635.4
