Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,3631,619,74028.1,53615.1,1999.0,2004.4,2003.8,2005.5,259.1,869.8,445.0,693.9,21.0,82.3,103.8,170.8,8.0,50.3,28.4,39.6,13556.4,1038306.4,1058241.9,40313027.2,143812263.6,161651050.8,11102.5,40592.9,46988.5
Turks and Caicos Islands,125,22,1665.1,237.3,1998.0,1999.8,2002.2,2001.6,433.6,465.8,423.2,460.1,43.0,44.7,37.0,104.3,9.0,14.1,8.2,24.7,440.6,34020.1,34673.3,1007219.2,3077245.0,3081401.8,8057.8,26968.6,29411.5
Mexico,115,50,7989.0,5617.3,2003.8,2003.6,2008.2,2005.2,1101.5,1311.2,996.0,1240.6,73.0,160.5,92.0,114.1,11.0,64.4,18.2,19.6,1092.6,84289.8,85908.2,3851615.9,13555402.8,16252172.4,33492.3,126578.7,152484.5
Canada,87,42,5737.7,8604.5,2003.3,2005.8,2004.7,2005.3,1512.7,1963.8,1746.3,1790.5,117.0,182.1,163.9,173.2,23.0,34.1,28.4,29.1,696.7,53386.7,54411.7,5269932.6,13780995.0,15948933.0,60573.9,187092.4,224025.8
Portugal,56,24,15863.1,17225.6,2004.4,2005.3,2004.8,2004.7,3609.3,3545.0,3603.1,3642.3,199.0,207.5,197.8,199.4,18.0,19.7,20.8,19.0,2176.0,168521.1,171756.8,11465003.9,30043945.8,34107261.7,204732.2,617852.0,714063.2
Dominican Republic,54,33,1075.3,985.3,1994.4,2004.6,2005.2,2004.5,892.8,965.7,870.8,1208.6,91.5,110.9,145.6,187.6,28.5,34.3,43.6,53.6,216.3,16667.8,16987.8,765471.0,2931162.7,3335386.9,14175.4,59648.8,71434.9
Virgin Islands (U.S.),51,32,3502.8,1063.9,2008.0,2005.8,2011.1,2007.7,935.5,1017.7,896.0,987.5,45.0,108.2,63.3,86.3,7.0,37.6,13.1,18.2,741.8,57083.3,58179.3,1170234.7,5528514.4,6564682.8,22945.8,105336.7,121763.4
Cuba,49,31,963.5,442.0,1998.8,2000.7,1998.8,2003.5,400.3,541.6,464.2,684.6,32.0,144.2,85.4,214.3,8.0,47.4,28.1,17.5,216.2,16723.1,17044.2,569933.1,2231160.6,2551491.4,11631.3,44486.3,48678.7
Haiti,48,29,1493.5,972.9,1999.9,2007.3,2006.1,2004.0,603.2,782.3,997.4,1283.6,40.0,73.5,111.5,173.0,9.5,62.3,34.0,62.7,189.4,14634.0,14914.9,764215.0,3397261.2,3957818.7,15921.1,69506.7,83410.5
Jamaica,45,27,2398.6,658.7,2007.6,2006.6,2010.4,2008.4,749.5,735.0,789.3,816.7,43.0,76.2,52.8,96.9,9.0,29.8,12.1,24.0,424.5,32867.4,33498.5,543582.2,3114372.4,4072886.1,12079.6,68511.4,85858.5
