Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ro-Ro,1251,15,161.0,202.8,2000.0,2002.5,1992.5,1991.8,121.8,137.6,155.6,147.8,14.0,16.5,38.9,32.5,8.0,8.2,49.0,44.9,517.5,38856.4,39602.5,735905.2,5673547.7,2677294.3,588.3,1435.6,2046.5
Cruise,685,36,13316.7,1216.9,2001.5,2001.6,2001.3,2001.0,163.9,291.7,201.6,205.6,15.0,18.8,36.8,35.5,8.0,24.4,18.1,18.5,3090.2,238689.9,243272.8,4357823.1,21288276.6,23158398.4,6361.8,27602.8,28544.0
Oil tanker,599,40,908.6,1637.9,1995.7,2005.1,2006.9,2007.1,156.5,292.3,269.3,272.6,21.0,104.7,200.1,206.4,18.0,23.2,30.3,29.9,289.8,22109.6,22534.1,1369511.5,1566521.7,1874244.5,2286.3,5769.2,7249.9
General cargo,179,7,84.4,116.8,2000.7,1993.9,2003.0,2003.0,143.6,518.3,330.4,336.2,23.0,106.7,102.6,104.0,19.0,54.6,109.2,107.2,29.5,2217.6,2260.1,125715.8,386417.8,560051.7,702.3,2790.2,3933.1
Ferry-pax only,171,1,51.5,14.1,2002.0,2002.0,2002.0,2002.0,118.2,118.2,121.3,121.3,12.0,12.0,12.0,12.0,16.0,16.0,30.7,30.7,41.7,3128.4,3188.4,388236.8,1093415.2,1416324.1,2270.4,6333.4,8380.8
Container,71,10,244.2,305.3,2000.1,2002.2,2002.2,2002.0,144.5,593.4,370.8,368.8,14.0,84.0,188.1,189.6,14.0,19.2,44.3,43.3,57.1,4371.5,4455.4,421004.4,1240330.3,1392430.6,5929.6,18028.5,20862.0
Service - tug,52,10,5.1,4.1,1973.8,1988.4,1990.4,1987.3,222.0,470.6,429.1,401.7,40.0,559.0,1012.0,850.8,23.0,44.4,220.5,208.8,31.4,2355.2,2400.5,103658.5,245121.2,328204.1,1993.4,5147.4,6949.9
Chemical tanker,42,32,285.6,480.4,2011.5,2011.4,2011.3,2011.2,182.6,255.5,262.8,262.9,20.5,44.5,51.4,51.8,20.0,36.9,62.0,63.0,62.5,4835.0,4927.8,109018.3,715504.1,829419.9,2595.7,19991.0,24581.9
Service - other,28,8,9.7,5.7,1984.9,1991.6,1996.5,1995.5,253.0,329.6,279.2,269.0,33.5,107.6,129.1,131.2,8.5,60.2,106.1,115.1,11.9,893.9,911.0,39664.3,81382.5,87694.6,1416.6,3152.1,3559.2
Bulk carrier,22,11,149.0,260.7,1995.5,1996.9,2003.4,2003.7,128.9,323.7,217.4,218.0,15.5,212.7,378.6,373.4,17.5,22.8,23.5,23.5,19.7,1515.0,1544.1,83375.5,195452.8,251165.8,3789.8,14048.9,17077.2
Vehicle,14,11,95.4,29.7,2004.4,2006.3,2004.6,2004.7,146.8,149.5,148.0,149.2,17.5,16.9,18.8,18.9,5.5,5.3,4.8,4.7,6.1,473.3,482.4,30103.7,132724.8,153708.9,2150.3,8173.1,8796.1
Liquefied gas tanker,12,3,20.9,23.8,2001.8,2001.3,2002.5,2002.5,122.9,137.1,145.8,144.8,28.5,19.5,39.0,39.2,16.0,76.8,47.8,45.6,12.9,972.6,991.3,17997.8,52142.5,57582.0,1499.8,8211.4,10798.2
