Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,73,2,3.7,1.8,2014.6,2001.0,2013.0,2008.7,98.3,130.3,98.9,105.7,17.0,31.5,22.1,26.1,1.0,2.5,2.9,3.1,2.2,162.4,165.6,5519.0,15833.0,22753.2,75.6,246.4,354.4
Ro-Ro,54,2,1.7,1.5,2017.6,2015.5,2017.6,2017.6,63.5,69.5,64.6,64.5,9.5,10.0,14.0,14.0,5.0,6.2,6.4,6.4,6.9,518.6,528.6,5575.8,42987.1,20285.2,103.3,252.0,359.2
Service - tug,4,1,0.1,0.1,2001.0,2001.0,2001.0,2001.0,88.4,88.4,87.7,87.7,42.0,42.0,46.5,46.5,7.0,7.0,7.8,7.8,0.2,15.5,15.8,1519.4,3593.0,4810.9,379.9,980.9,1324.3
