Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Miscellaneous - fishing,14,12,144.2,105.8,2008.0,2008.1,2009.2,2007.2,7612.6,6608.9,6036.9,5486.4,639.0,741.1,1125.4,1064.5,136.5,404.0,475.4,486.6,75.8,5692.3,5801.6,744094.9,1650545.9,1876503.6,53149.6,125085.2,148281.0
General cargo,9,3,101.8,124.3,2003.8,2009.3,2006.4,2006.7,1347.5,2230.7,1527.2,1581.0,187.0,220.3,243.0,245.5,19.0,69.0,91.3,96.2,18.8,1439.1,1466.8,151580.7,457130.8,636601.8,16842.3,71295.1,91105.9
Oil tanker,3,3,260.9,430.2,2002.0,2002.0,2000.2,1999.9,9387.1,15338.6,15918.1,16399.8,1386.0,1006.3,662.8,631.7,37.0,1273.0,2363.0,2461.0,79.5,6076.9,6193.6,709939.2,1132798.8,1205528.3,236646.4,701887.4,891848.5
Bulk carrier,2,2,111.3,177.9,2010.0,2010.0,2009.6,2009.7,3260.7,3260.7,3262.4,3248.0,424.0,424.0,414.8,417.2,50.0,50.0,45.4,46.7,16.6,1278.0,1302.6,72917.3,202423.8,314606.5,36458.7,171763.9,222618.4
Chemical tanker,1,1,3.4,4.8,2006.0,2006.0,2006.0,2006.0,1320.5,1320.5,1320.5,1320.5,144.0,144.0,144.0,144.0,7.0,7.0,7.0,7.0,1.0,78.2,79.7,17122.6,43031.4,53044.9,17122.6,50377.5,61765.0
