Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Oil tanker,1003,69,8002.1,13403.1,2002.0,2000.5,2003.9,2004.0,98.3,519.9,496.5,507.2,16.0,40.0,89.3,89.7,62.0,156.1,192.9,193.7,2563.3,196938.5,200719.7,12939356.4,22843011.7,27812269.3,12900.7,33753.4,41498.2
Service - tug,426,22,75.8,44.6,2011.6,2005.4,2011.5,2011.1,138.2,960.7,311.8,351.9,47.5,635.8,768.5,927.2,31.5,66.9,306.9,326.0,184.2,13833.6,14099.2,1140609.7,2697198.5,3611403.1,2677.5,6913.8,9334.7
General cargo,344,83,608.4,843.9,1993.5,1998.3,2000.0,2000.5,198.1,561.7,386.0,377.6,12.0,42.7,96.5,93.8,36.0,73.7,130.8,126.8,167.5,12698.9,12942.8,1022910.4,3106464.4,4481567.5,2973.6,11551.3,16182.0
Chemical tanker,300,43,2513.3,4093.2,2001.5,2007.2,2006.2,2006.3,108.5,639.3,556.0,567.4,11.0,31.7,86.0,85.5,67.5,97.9,131.1,132.2,586.3,45003.7,45867.8,1353059.7,7039608.8,8260503.4,4510.2,27213.2,33445.9
Container,208,50,2396.4,2861.4,2003.0,2004.2,2003.9,2003.9,181.0,340.0,327.4,330.7,8.0,20.5,57.6,59.1,32.5,43.1,41.1,41.5,341.3,26365.2,26871.4,2183024.1,6720361.2,7479135.0,10495.3,34879.8,40727.2
Bulk carrier,85,50,1084.9,1891.2,2001.7,2006.9,2005.5,2005.6,201.3,537.7,597.6,609.5,15.0,88.7,161.4,167.9,154.0,180.3,155.7,154.1,166.3,12841.4,13088.0,667262.1,1629319.8,2098290.6,7850.1,30535.9,37383.8
Liquefied gas tanker,40,16,141.2,158.8,2004.8,2008.8,2010.0,2009.6,276.2,635.5,559.2,548.8,9.0,16.3,24.2,24.3,52.5,63.7,108.5,107.1,45.5,3465.8,3532.3,119896.0,347358.2,383594.7,2997.4,16410.6,21580.4
Service - other,36,8,623.0,822.6,2000.8,2000.4,2014.2,2014.3,156.7,10711.4,5596.1,7109.4,93.5,1791.8,6598.0,6781.5,54.0,77.1,59.4,52.4,227.9,17123.6,17452.4,5740118.0,11777461.9,12690928.4,159447.7,354798.0,400617.2
Other liquids tankers,35,1,5.4,6.1,2016.0,2016.0,2016.0,2016.0,120.2,120.2,308.2,308.2,7.0,7.0,99.4,99.4,32.0,32.0,284.0,284.0,131.5,9870.5,10060.0,3104.4,8864.1,19111.0,88.7,307.3,496.5
Ro-Ro,33,7,49.8,29.2,1993.7,1997.7,1984.5,1985.6,99.0,124.2,214.8,198.1,8.0,12.7,30.8,32.8,15.0,45.7,29.4,30.5,16.9,1303.9,1328.9,35578.1,101149.3,85474.4,1078.1,2550.5,2870.8
Vehicle,9,2,16.6,8.8,1986.6,1995.5,1988.2,1986.4,129.9,95.7,104.4,115.7,9.0,10.2,9.1,8.9,12.0,15.0,19.9,20.0,2.0,153.9,156.9,8864.2,39081.5,45260.4,984.9,3743.6,4029.0
Refrigerated bulk,1,1,0.9,0.9,1980.0,1980.0,1980.0,1980.0,209.9,209.9,209.9,209.9,135.0,135.0,135.0,135.0,0.0,0.0,0.0,0.0,2.0,148.9,151.8,2662.2,5816.9,6552.2,2662.2,5673.0,6125.2
Ferry-pax only,1,1,5.9,0.8,1998.0,1998.0,1998.0,1998.0,30936.0,30936.0,30936.0,30936.0,1938.0,1938.0,1938.0,1938.0,670.0,670.0,670.0,670.0,4.0,301.8,307.6,66175.5,134772.7,169771.9,66175.5,153888.1,202875.3
