Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,75,16,13.6,18.8,1975.9,1995.1,1987.3,1987.8,183.3,247.2,262.5,257.9,16.0,33.6,60.6,60.4,13.0,33.6,32.1,31.0,9.2,695.0,708.3,57307.1,164522.1,236117.7,764.1,2508.9,3591.0
Service - other,24,6,3.7,1.5,1998.0,2000.7,1997.5,1996.7,267.7,674.3,251.3,239.4,35.0,37.4,91.5,96.4,46.5,201.5,182.1,173.9,11.8,883.5,900.5,10600.5,21749.9,23436.8,441.7,982.8,1109.8
Cruise,12,9,64.6,7.4,1999.9,1998.7,1997.6,1995.8,131.7,145.9,163.3,163.7,14.0,14.5,22.9,23.1,10.0,12.0,11.0,10.8,20.2,1560.8,1590.7,19450.4,160993.1,214695.7,1620.9,11194.2,13308.4
Miscellaneous - fishing,5,4,2.0,1.5,1997.6,1997.2,1999.8,2000.0,319.0,448.2,484.2,566.6,21.0,42.0,76.8,77.5,34.0,64.1,119.0,113.5,2.5,184.3,187.8,10780.9,23914.2,27188.0,2156.2,5074.5,6015.5
Ro-Ro,5,3,15.1,8.3,1996.8,1996.7,1996.7,1996.9,181.0,266.6,277.8,286.3,12.0,18.0,23.7,29.1,10.0,17.5,28.1,32.4,4.6,356.3,363.1,8892.9,16386.9,19106.0,1778.6,4180.3,4437.5
Service - tug,4,4,1.6,1.3,2009.8,2009.8,2009.0,2008.8,202.0,217.4,227.3,225.6,70.0,102.5,168.9,159.0,10.5,16.8,11.9,15.2,0.7,52.4,53.4,32988.6,78008.0,104448.5,8247.1,21295.6,28752.7
Ferry-RoPax,4,1,80.2,26.2,1998.0,1998.0,1998.0,1998.0,1519.0,1519.0,1572.4,1572.4,11.0,11.0,68.2,68.2,83.5,83.5,144.2,144.2,25.2,1942.2,1979.5,162873.4,402773.0,494205.0,40718.3,86917.4,79163.5
Bulk carrier,4,4,41.8,72.3,2005.2,2005.2,2012.2,2012.4,488.9,508.6,617.4,642.2,44.0,47.2,89.8,90.3,22.5,21.8,6.2,5.9,4.1,308.7,314.6,23624.1,62046.3,72414.9,5906.0,23017.5,28245.5
Chemical tanker,2,2,3.4,5.2,1998.0,1998.0,1997.5,1997.5,448.6,448.6,445.8,455.5,47.5,47.5,48.3,48.3,27.5,27.5,24.7,24.6,2.6,196.4,200.2,8358.7,25887.1,33018.1,4179.4,14372.9,18547.7
Other liquids tankers,2,1,3.6,6.3,1988.0,1988.0,1988.0,1988.0,949.5,949.5,949.5,949.5,110.5,110.5,110.6,110.6,26.5,26.5,26.5,26.5,3.6,276.3,281.6,3211.6,9170.1,19770.8,1605.8,5563.1,8989.4
