Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Philippines,42,7,345.2,461.6,2003.6,2001.1,2004.0,2003.9,631.1,649.1,673.2,673.1,45.0,65.6,47.8,47.9,15.0,134.2,15.7,15.1,80.5,6157.6,6275.8,430998.0,1660526.0,1894492.5,10261.9,42764.3,52186.5
Papua New Guinea,13,4,136.7,141.9,1998.0,1998.0,1998.9,1999.5,1301.4,1198.2,1274.2,1291.3,98.0,91.8,98.9,99.9,18.0,28.2,24.4,25.3,27.2,2094.6,2134.8,202591.2,611990.6,863254.0,15583.9,64721.2,83183.4
Guam,12,3,47.9,60.9,1998.8,1997.0,2000.3,2001.3,882.4,1098.2,1028.2,1043.8,82.0,451.2,184.9,142.9,33.0,56.7,39.0,34.6,14.4,1089.3,1110.2,158778.0,453694.8,620575.9,13231.5,42553.3,58615.2
"Korea, Republic of",4,4,64.5,96.5,2006.0,2006.0,2006.9,2006.7,1971.8,2548.9,2447.8,2498.6,174.0,220.8,257.2,261.7,29.0,26.8,27.6,27.0,18.5,1422.7,1450.0,128435.7,402426.0,519449.2,32108.9,115768.3,150339.2
Japan,3,3,4.8,5.7,2006.0,2006.0,2004.7,2003.6,1686.8,3016.1,2864.3,2931.1,256.0,415.7,576.8,596.0,109.0,286.3,448.9,466.1,7.5,566.3,577.2,40298.0,89388.8,101626.0,13432.7,31613.2,37475.5
Australia,2,2,362.4,632.0,2008.5,2008.5,2009.9,2010.0,6339.9,6339.9,9663.5,10065.7,607.5,607.5,827.6,833.7,117.5,117.5,115.1,115.0,33.5,2589.7,2639.4,149918.6,420760.5,477764.4,74959.3,316931.9,385073.4
Northern Mariana Islands,1,1,6.9,10.0,2008.0,2008.0,2008.0,2008.0,1630.4,1630.4,1630.4,1630.4,140.0,140.0,140.0,140.0,10.0,10.0,10.0,10.0,2.0,155.1,158.0,16171.9,50084.6,63881.2,16171.9,55615.4,71769.6
Micronesia (Federated States of),1,1,12.9,2.3,1990.0,1990.0,1990.0,1990.0,1915.4,1915.4,1915.4,1915.4,169.0,169.0,169.0,169.0,55.0,55.0,55.0,55.0,4.3,322.1,328.3,9424.6,53226.9,115735.2,9424.6,54446.0,105227.1
Viet Nam,1,1,0.3,0.1,1989.0,1989.0,1989.0,1989.0,1791.3,1791.3,1791.3,1791.3,722.0,722.0,722.0,722.0,168.0,168.0,168.0,168.0,1.6,119.3,121.6,655.3,1344.4,1448.7,655.3,1458.1,1646.4
Timor-Leste,1,1,43.8,7.1,1981.0,1981.0,1981.0,1981.0,1240.8,1240.8,1240.8,1240.8,84.0,84.0,84.0,84.0,14.0,14.0,14.0,14.0,9.5,735.7,749.8,18505.3,153170.2,204263.2,18505.3,127803.4,151940.8
"Taiwan, Province of China",1,1,101.7,174.2,2011.0,2011.0,2011.0,2011.0,1633.2,1633.2,1633.2,1633.2,140.0,140.0,140.0,140.0,23.0,23.0,23.0,23.0,6.2,483.3,492.6,39192.9,77743.0,89523.8,39192.9,111051.0,128247.9
