Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Luanda,814,164,1842.0,2382.2,2005.4,2005.5,2005.4,2005.7,257.5,791.9,306.2,278.6,48.0,258.7,249.0,197.1,36.5,95.2,95.6,81.9,1583.7,119908.0,122210.2,7479383.5,18268422.2,22924457.2,9188.4,25547.9,33185.3
Soyo,242,79,416.5,471.1,2005.1,2005.8,2007.8,2007.5,205.7,366.1,294.8,274.7,26.0,127.1,348.4,282.4,41.0,96.0,199.4,197.3,403.8,30766.9,31357.6,3030894.2,7146002.7,9234734.1,12524.4,33739.3,45258.5
Lobito,202,55,472.0,594.7,2004.9,2004.2,2004.7,2005.9,262.3,984.7,311.6,283.2,38.5,244.2,270.5,189.1,45.5,100.0,173.9,105.4,355.0,26831.9,27347.1,850581.7,2282029.4,2706065.1,4210.8,13782.6,17118.7
Gimboa,137,49,409.5,711.5,2006.9,2007.0,2010.9,2011.4,141.4,697.5,144.3,136.8,52.0,201.1,184.6,122.7,19.0,52.1,43.8,35.8,120.9,9249.9,9427.5,1173078.3,2623455.3,3351589.7,8562.6,21873.7,28673.8
Futila,116,22,269.5,454.1,2007.8,2009.8,2009.6,2009.8,232.7,230.4,198.1,201.9,29.0,101.7,79.8,62.3,41.5,73.8,68.9,64.5,128.6,9805.6,9993.9,525652.0,1287153.0,1644858.4,4531.5,13023.6,17153.5
Malongo,102,16,51.7,46.7,2007.3,2006.8,2009.3,2009.1,201.2,342.4,302.1,294.2,82.5,226.6,636.0,596.8,18.5,25.7,39.5,38.8,58.6,4399.9,4484.4,1063053.0,2520773.4,3376725.5,10422.1,26996.7,36465.1
Palanca,95,14,196.3,313.2,2003.3,2002.2,2006.2,2006.6,137.2,677.0,246.6,245.8,29.0,272.3,121.6,94.6,9.0,57.4,115.6,120.8,124.3,9557.9,9741.4,968992.3,2176075.5,2817472.9,10199.9,25575.5,33891.6
Greater Plutonio,82,15,356.0,576.5,2006.3,2002.9,2007.6,2007.8,383.2,925.3,259.4,242.2,87.5,346.1,289.2,193.4,23.0,44.1,55.4,54.5,152.9,11728.8,11954.0,1825532.9,4134018.5,5416368.3,22262.6,56722.8,75103.6
Girassol,80,26,169.0,266.7,2007.1,2006.7,2009.9,2010.5,370.0,479.8,181.7,157.8,147.0,173.1,180.5,118.9,36.0,100.4,96.7,78.5,59.7,4526.0,4612.9,1199067.2,2807163.6,3721896.7,14988.3,38813.3,52077.6
Cabinda,77,24,89.2,142.3,2004.5,2007.6,2010.4,2011.1,184.6,204.8,231.6,238.8,40.0,65.6,75.3,62.4,48.0,152.9,96.9,92.0,110.7,8352.1,8512.5,320634.7,918657.9,980481.8,4164.1,10847.5,14317.2
Porto Alexandre,72,20,133.9,71.1,1988.2,1991.2,1987.3,1987.4,355.4,1018.1,1234.8,1116.8,34.5,130.3,190.9,184.4,9.0,76.0,254.6,206.1,59.3,4491.7,4578.0,463454.4,1027815.9,1168772.6,6436.9,15082.2,17810.2
Dalia,69,26,245.0,414.1,2008.1,2009.1,2010.4,2010.5,306.9,642.7,142.0,128.2,184.0,274.8,180.4,129.8,28.0,50.2,59.2,46.7,102.4,7771.0,7920.2,848950.9,1971286.8,2560367.8,12303.6,32233.0,42659.5
Saco,69,16,214.6,305.5,2004.9,1999.2,2005.7,2006.7,420.5,985.2,439.0,427.1,42.0,97.9,88.4,78.4,53.0,103.1,81.5,73.9,141.6,10722.7,10928.6,476325.8,1249897.1,1460313.5,6903.3,20912.9,25050.2
Namibe,42,17,191.6,142.8,1999.3,1996.8,1994.4,1998.7,425.6,653.2,739.0,548.5,45.0,95.9,297.6,186.0,45.5,85.0,93.5,73.7,76.1,5778.2,5889.2,457497.0,1062314.6,1212209.6,10892.8,28508.8,34000.6
Sumbe,39,17,17.8,9.0,2000.9,2003.6,2001.9,2003.4,723.1,1356.5,1219.2,1303.6,146.0,313.6,402.3,562.0,12.0,91.5,210.9,258.3,27.9,2097.9,2138.2,62942.9,139619.5,158733.3,1613.9,3798.3,4502.6
Baia Dos Tigres,35,10,44.4,26.6,1987.1,1993.1,1992.2,1995.3,125.9,1218.6,1166.9,1041.9,8.0,114.5,165.2,170.9,29.0,146.0,450.6,319.8,21.4,1615.2,1646.3,151398.5,339967.7,392386.4,4325.7,10248.0,12197.4
Porto Do Ambriz,34,18,58.3,55.5,2001.3,2003.5,2007.5,2007.6,569.5,875.6,1123.9,1069.6,37.0,227.7,1797.9,1826.7,53.0,339.6,201.4,186.1,58.3,4386.5,4470.7,1033788.7,2497797.4,3242416.5,30405.6,78423.5,105104.3
Takula Terminal,34,9,42.1,59.1,2009.9,2009.7,2014.4,2014.9,134.5,158.9,151.7,139.9,35.5,45.7,82.3,98.1,32.0,92.7,142.2,118.9,22.8,1744.4,1777.9,271410.9,654810.5,859067.5,7982.7,21328.5,28930.5
Amboim,34,20,30.8,12.2,2004.5,2002.4,2001.2,2002.7,453.2,979.4,960.1,793.8,130.0,296.3,431.8,433.8,17.0,34.1,31.8,40.4,23.0,1728.3,1761.5,202233.4,471527.8,612222.4,5948.0,15064.0,19849.6
Kiame,29,18,56.7,74.1,2003.5,2003.9,2006.6,2007.5,375.0,1407.2,298.7,216.1,89.0,296.2,620.8,374.4,20.0,106.1,426.7,293.0,28.2,2127.5,2168.3,388390.0,891020.9,1114227.8,13392.8,33393.4,42818.4
Benguela,9,8,18.0,7.9,1999.4,1998.9,1994.7,1995.2,1297.2,2247.7,1628.1,1598.0,336.0,490.6,387.3,409.8,89.0,218.4,167.9,159.1,12.5,936.1,954.0,55897.3,123991.0,140965.2,6210.8,14616.9,17327.4
Noqui,6,3,7.4,10.2,1985.8,1989.7,1983.7,1983.8,513.4,297.0,382.6,388.4,65.5,40.8,119.6,120.4,17.5,16.3,81.2,82.0,2.9,225.0,229.3,30819.1,87304.7,124051.0,5136.5,16579.0,23465.1
Dande,3,3,1.9,2.2,2000.3,2000.3,1988.4,1987.7,112.6,234.6,357.8,403.1,50.0,43.0,49.9,50.1,47.0,90.0,175.0,180.5,3.6,272.0,277.2,10600.6,23971.7,29264.5,3533.5,8207.0,9909.2
