Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
"Congo, Democratic Republic of the",355,59,141.7,202.8,2001.3,2003.8,2005.8,2006.1,79.3,260.5,133.8,131.4,8.0,41.7,52.2,45.6,17.0,136.1,142.4,122.5,101.3,7645.5,7792.3,503665.9,1337497.4,1680459.3,1418.8,4193.9,5431.3
Congo,281,92,1251.1,1738.4,2007.4,2007.5,2008.0,2008.4,273.4,340.0,325.7,318.2,31.0,116.5,108.2,93.7,28.0,56.8,46.7,49.3,357.2,27274.0,27797.6,2906357.3,7179544.8,8985935.7,10342.9,28717.1,36835.4
South Africa,160,93,17115.1,25864.5,2004.2,2005.7,2007.7,2007.9,1717.2,2085.1,1923.7,1969.5,165.5,243.6,244.0,253.3,34.5,71.1,47.7,43.3,1718.9,131949.4,134482.9,11785184.6,29596474.9,33431865.0,73657.4,231508.0,283714.3
Namibia,126,94,3350.3,3219.8,1997.7,1999.6,2007.6,2006.5,933.6,1388.0,2390.2,1946.6,94.5,306.1,113.5,108.8,87.5,453.3,777.7,674.8,765.7,52265.1,53268.6,3367943.6,11298279.1,12500255.5,26729.7,100268.9,136487.6
China,112,86,142180.3,269635.6,2009.0,2011.0,2011.4,2011.4,9616.6,9284.3,9567.0,9546.1,845.0,834.1,873.0,875.0,55.0,74.3,78.3,79.2,8247.1,631538.8,643664.3,64820465.1,113555911.2,117404108.7,578754.2,1604849.7,2025660.2
Cameroon,94,55,3435.6,4376.4,2007.0,2006.6,2007.6,2008.4,879.9,916.2,865.1,852.8,78.0,160.9,105.0,112.8,45.5,172.3,113.5,132.6,490.9,37963.4,38692.3,2949822.8,7077587.2,8210995.9,31381.1,90219.2,107022.5
Togo,78,53,2630.0,4278.8,2003.5,2006.4,2005.4,2006.0,1238.9,1488.6,1292.3,1283.7,109.5,211.4,173.2,177.1,49.5,111.3,132.3,126.6,556.9,42914.0,43738.0,3145074.3,8975600.5,10219479.5,40321.5,130683.6,159313.1
Spain,71,68,10260.2,16673.0,2004.6,2005.2,2008.0,2008.6,3414.2,3807.3,3935.4,3959.2,353.0,522.4,436.7,463.1,22.0,80.4,46.6,46.6,1521.3,114944.4,117151.3,8355195.6,18903577.5,21694622.7,117678.8,342019.5,422874.3
Nigeria,66,50,2528.3,3748.7,2005.4,2006.8,2006.9,2007.1,1233.4,1268.1,1268.3,1263.8,121.5,200.3,279.5,300.0,62.5,98.0,94.8,98.1,417.3,32270.7,32890.3,2289780.6,6911975.8,7886267.8,34693.6,119489.6,145880.9
Côte d'Ivoire,48,43,1185.6,1297.7,1996.3,1997.9,2000.6,2002.4,2134.3,4832.4,2010.9,1795.0,345.0,432.8,355.7,321.7,133.5,387.9,417.3,382.6,340.8,25810.3,26305.9,3249872.6,7559286.5,8737060.1,67705.7,169475.0,202341.8
Gabon,46,43,1417.1,1668.9,2007.7,2007.1,2008.8,2009.7,698.4,712.1,744.1,723.3,61.0,106.5,161.9,219.4,28.0,49.9,37.8,48.9,155.6,12022.5,12253.4,845322.2,2285211.8,2595687.6,18376.6,56426.7,67418.9
Ghana,42,39,1564.8,1197.0,2003.9,2003.9,2009.7,2007.5,1233.8,1553.7,1281.0,1342.9,103.0,208.3,182.6,298.0,58.5,87.8,49.5,84.6,293.1,22443.1,22874.0,1213829.3,3473337.6,4076222.2,28900.7,86001.6,97635.5
India,33,25,27325.1,40609.1,2008.1,2007.2,2007.0,2005.8,6894.3,7124.5,7341.3,7392.0,559.0,583.4,578.7,619.5,33.0,63.1,57.4,66.7,2479.4,164453.5,167611.0,10543395.1,30628193.2,29009401.8,319496.8,1271641.6,1767422.8
Brazil,33,29,4075.4,5303.7,2009.1,2009.2,2009.8,2010.0,3665.6,3671.6,4165.2,3897.7,325.0,385.9,400.7,388.8,44.0,82.3,61.5,64.9,516.8,38111.5,38843.2,2751658.9,8516626.2,9675607.4,83383.6,321895.0,401757.7
Indonesia,27,27,22349.7,42383.7,2010.4,2010.4,2010.6,2010.6,7391.7,7344.4,7381.5,7381.8,642.0,647.9,653.4,653.5,15.0,46.2,35.4,34.9,1344.0,104108.5,106107.4,12288795.3,22258241.3,24085778.3,455140.6,1216900.5,1503820.4
