Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Luanda,743,138,1578.8,2070.3,2005.5,2004.8,2007.0,2007.2,267.5,847.0,322.8,293.3,42.0,270.8,313.5,217.8,41.0,108.5,128.6,119.6,1307.0,99297.6,101204.1,8355160.1,19859246.3,25414062.9,11245.2,30275.4,39851.8
Lobito,225,75,622.1,836.7,2004.5,2003.5,2005.0,2005.5,269.2,685.8,308.1,301.6,40.0,162.1,227.2,216.5,47.0,109.0,89.8,84.7,552.5,41920.5,42725.3,984948.2,2711521.0,3163555.7,4377.5,14778.8,18225.8
Soyo,224,70,376.0,399.7,2005.4,2006.7,2009.1,2008.5,212.2,409.2,310.0,284.1,46.5,204.9,202.4,162.6,36.0,70.3,122.0,107.8,285.7,21532.3,21945.8,3116130.9,7374162.7,9592203.4,13911.3,37448.8,50356.5
Gimboa,132,43,238.4,369.6,2006.5,2005.9,2010.7,2010.9,137.4,1143.3,200.0,179.3,48.0,381.6,381.5,295.1,5.0,27.8,33.4,25.0,95.9,7249.1,7388.3,1202385.8,2734145.6,3487120.0,9109.0,22985.1,29939.8
Futila,110,19,302.3,513.5,2007.3,2008.2,2009.0,2008.9,239.9,309.2,220.6,213.3,49.5,194.8,217.1,162.5,29.5,38.3,51.2,54.8,217.1,16568.4,16886.5,589515.6,1424638.4,1818536.6,5359.2,15230.4,20129.7
Malongo,110,15,38.3,35.6,2007.7,2007.0,2008.2,2008.0,164.4,217.4,200.5,201.4,32.5,71.6,164.8,161.0,50.0,70.6,71.5,71.0,45.4,3406.6,3472.0,793362.5,1882181.5,2521416.6,7212.4,18692.6,25249.5
Palanca,93,12,120.1,185.2,2003.7,2005.4,2005.2,2005.9,142.3,300.3,168.1,166.0,17.0,29.3,61.0,56.1,22.0,76.4,39.5,34.8,64.0,4900.4,4994.4,694060.9,1547652.1,2023846.5,7463.0,18710.1,24729.8
Girassol,93,38,425.5,751.3,2008.3,2009.5,2010.1,2010.2,272.2,350.0,144.7,136.6,105.0,162.6,105.3,86.1,23.0,63.8,94.4,65.1,122.6,9401.1,9581.6,1358631.7,3111081.9,4077866.5,14608.9,38093.6,50909.8
Cabinda,85,29,172.6,295.1,2004.5,2008.1,2009.5,2009.9,240.1,623.1,193.8,189.0,30.0,176.9,149.3,107.0,67.0,89.0,71.9,61.2,163.2,12305.3,12541.5,362794.4,1059012.8,1070385.3,4268.2,11215.0,14693.7
Namibe,83,27,468.4,488.1,1999.9,2000.4,1995.7,1997.3,406.9,619.1,464.7,378.2,32.0,97.3,150.1,93.0,61.0,133.4,285.7,155.7,195.9,14849.2,15134.3,856469.9,2333520.8,2664131.4,10318.9,31355.9,37720.8
Greater Plutonio,74,8,143.1,217.0,2006.6,2002.8,2010.6,2010.8,115.6,305.2,190.4,171.8,33.0,60.8,261.2,160.6,9.5,18.8,40.4,42.6,74.3,5664.9,5773.7,1032445.9,2324591.7,3027001.4,13952.0,35067.0,46094.4
Saco,71,18,244.2,313.5,2004.5,1998.8,2003.5,2006.7,421.5,1050.9,502.2,445.6,53.0,199.6,203.2,134.2,49.0,55.4,63.5,63.8,188.0,14228.6,14501.8,504681.7,1315749.8,1538556.2,7108.2,21458.5,25775.1
Porto Alexandre,69,16,128.0,70.8,1988.0,1991.1,1990.7,1990.9,324.7,1707.3,1272.0,1358.9,38.0,215.6,255.9,238.7,33.0,122.9,226.7,296.8,58.9,4436.9,4522.1,477866.9,1070542.5,1231051.0,6925.6,16511.9,19767.3
Dalia,66,24,187.7,317.3,2008.0,2008.7,2011.7,2012.2,257.8,411.8,156.7,144.9,120.0,165.3,130.2,111.4,33.5,82.0,71.8,44.3,69.4,5284.3,5385.8,737729.8,1709249.4,2244329.2,11177.7,29204.0,38919.5
Sumbe,41,18,24.4,12.5,2001.1,2003.7,2003.2,2003.7,646.4,1545.9,1537.0,1653.1,266.0,580.2,1276.7,1400.8,9.0,61.8,43.2,35.8,36.9,2771.1,2824.3,87687.4,194507.5,221135.3,2138.7,5033.4,5966.8
Takula Terminal,37,12,59.2,78.2,2010.1,2010.6,2012.7,2013.7,189.3,252.7,156.4,146.1,119.0,156.8,317.4,221.3,7.0,6.0,13.4,10.0,30.7,2315.1,2359.6,642215.8,1524729.0,2026782.5,17357.2,45299.1,61215.4
