Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Chemical tanker,357,22,4521.4,7219.7,2004.3,2005.9,2003.7,2003.6,577.9,609.6,747.1,749.6,50.0,55.0,117.5,118.2,45.0,46.8,65.1,64.3,1008.9,77888.1,79383.5,2675961.9,12896569.2,15077963.6,7495.7,41976.2,51186.9
Oil tanker,310,13,5652.8,9582.1,1998.7,2000.3,1999.1,1999.0,529.2,631.3,656.7,658.6,56.0,65.5,214.7,217.0,42.5,51.1,92.4,91.7,1328.6,102559.8,104529.0,8082897.9,15926158.5,18910880.2,26073.9,68847.4,83832.5
General cargo,222,29,526.3,749.3,1997.1,2001.6,2000.1,1999.5,445.4,496.1,497.3,499.5,50.5,79.8,110.8,113.0,73.0,62.7,91.8,93.2,177.5,13493.5,13752.5,1154552.2,3433382.1,4905630.8,5200.7,19506.8,26906.0
Cruise,180,21,1564.7,161.4,1994.4,1993.5,1994.7,1994.7,486.8,673.5,514.3,522.6,37.0,84.3,48.1,58.2,21.0,22.4,26.3,30.4,587.4,45076.7,45942.2,761337.7,3728610.6,5033053.7,4229.7,18539.3,23114.5
Liquefied gas tanker,169,4,1084.8,1418.0,1994.6,1993.5,1995.7,1995.8,478.7,490.7,636.8,638.5,44.0,40.6,99.1,99.3,32.0,28.0,49.4,49.5,320.7,24475.7,24945.7,1070351.2,3100982.0,3424477.2,6333.4,34675.3,45598.9
Bulk carrier,153,75,1416.0,2238.0,2001.8,2008.3,2008.6,2008.5,440.5,582.6,572.2,569.8,55.0,215.6,281.9,281.4,33.0,131.9,171.8,169.9,232.7,17823.9,18166.1,994419.7,2533919.0,3716359.7,6499.5,27373.7,34730.8
Service - tug,107,12,8.1,4.8,2015.0,2005.3,2009.3,2007.6,162.4,873.7,388.6,401.9,55.0,448.8,624.4,584.9,47.0,888.0,1133.9,1323.0,61.3,4605.3,4693.7,121589.1,287521.6,384975.8,1136.3,2934.3,3961.7
Service - other,53,8,127.7,151.2,1979.1,1985.1,1978.9,1979.0,455.3,1498.0,1795.3,1721.8,105.0,813.8,1904.8,1888.4,82.0,159.8,219.2,213.3,82.8,6239.3,6359.1,1054912.1,2164448.1,2332323.9,19904.0,44289.8,50009.4
Refrigerated bulk,41,20,219.1,240.5,1993.1,1992.8,1993.2,1993.2,655.5,742.5,712.8,709.3,48.0,80.4,94.2,91.7,66.0,71.7,67.7,67.8,151.2,11463.2,11683.3,713367.4,1558742.4,1755776.7,17399.2,37077.5,40032.6
Ro-Ro,29,2,24.0,31.3,1999.2,1999.5,1999.1,1999.1,316.4,318.0,718.6,718.6,33.0,32.8,109.5,109.5,150.0,150.0,260.4,260.4,60.4,4537.0,4624.1,113414.6,874383.5,412613.4,3910.8,9544.1,13605.5
Container,29,12,303.6,372.5,2008.0,2008.2,2008.3,2008.2,679.7,707.3,678.4,673.3,47.0,66.0,69.3,68.7,20.0,31.0,31.4,31.9,76.5,5872.7,5985.5,391618.8,1412378.8,1609208.0,13504.1,52129.8,62945.2
Ferry-pax only,16,3,24.6,4.5,1964.6,1959.7,1994.9,1994.2,331.1,13405.6,3373.3,2829.0,46.5,432.0,2149.6,2108.7,47.5,309.0,1510.3,1482.4,9.1,685.7,698.8,370087.8,753718.5,949452.4,23130.5,53788.9,70911.5
Miscellaneous - fishing,2,1,0.4,0.2,1982.0,1982.0,1982.0,1982.0,250.8,250.8,250.8,250.8,32.0,32.0,33.4,33.4,2.0,2.0,2.2,2.2,0.1,9.2,9.3,1132.4,2511.9,2855.7,566.2,1332.5,1579.6
