Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
United States of America,287,85,3908.5,2505.2,1998.0,1998.9,2000.5,2006.9,329.4,901.6,372.2,920.7,24.0,119.6,140.8,318.5,21.0,60.8,39.4,61.0,1031.3,78890.5,80405.2,2945181.2,10452688.9,12321484.6,10262.0,36632.4,41544.7
Mexico,125,32,3170.6,1436.7,2001.4,1999.8,2001.7,2004.0,809.6,1310.9,871.0,958.0,60.0,337.1,382.3,247.1,24.0,62.5,29.9,41.6,734.9,56667.0,57755.0,2833930.4,10278740.0,11276969.1,22671.4,80933.7,87379.1
Jamaica,74,40,1605.8,1624.2,1999.2,2002.2,2002.7,2004.6,696.8,1013.5,984.0,1472.2,48.0,118.0,316.1,503.5,21.0,105.0,59.3,87.8,219.0,16903.6,17228.2,1371206.2,3534915.3,4423459.2,18529.8,57346.8,69020.0
Dominican Republic,73,26,489.1,621.4,2002.5,2002.4,2003.8,2003.7,470.1,578.9,562.0,562.9,39.0,51.4,48.4,48.6,26.0,65.6,39.6,41.1,118.6,9083.9,9258.3,664163.2,2188066.6,2550807.4,9098.1,36498.3,45516.8
Colombia,61,19,1750.9,1647.9,2007.5,2006.2,2007.8,2007.7,1109.7,1073.7,1201.0,1226.9,73.0,98.3,86.7,91.7,33.0,23.7,31.4,36.9,310.5,23960.4,24420.4,1556070.2,5892088.8,6671199.0,25509.3,99778.6,118844.1
Venezuela (Bolivarian Republic of),59,23,3326.4,5724.9,2003.2,2004.6,2001.3,2001.2,1395.2,1708.8,1682.1,1703.5,147.0,185.5,295.9,297.5,45.0,60.6,73.9,75.5,497.5,38486.8,39225.8,2584676.0,7566101.5,8489162.2,43808.1,154755.0,192407.0
Curaçao,43,23,1532.4,2625.7,2001.4,2001.8,2000.3,2000.1,1144.9,1129.5,1284.6,1306.3,86.0,95.0,127.7,129.3,40.0,50.6,74.8,76.3,209.8,16221.9,16533.4,1474824.7,3910508.4,4523921.2,34298.2,112485.3,139148.4
Canada,40,26,2566.8,3050.1,2005.8,2005.3,2002.9,2006.1,2068.2,3235.9,3110.9,2771.3,178.0,334.2,411.9,320.7,42.0,143.0,127.6,159.6,354.9,27263.2,27786.6,1928224.4,6352456.3,7773536.3,48205.6,191435.2,234035.1
Cayman Islands,39,17,677.5,337.7,1989.3,1992.0,1997.4,2000.8,449.7,455.8,530.9,941.7,39.0,62.4,159.8,481.8,23.0,28.0,33.7,61.5,166.1,12842.4,13088.9,443337.5,1415684.9,1547900.6,11367.6,35298.8,38485.6
Haiti,37,18,158.9,161.8,1998.0,1994.3,1999.3,2000.7,289.6,466.2,446.4,457.0,22.0,45.2,46.9,53.2,33.0,82.2,46.0,51.9,44.2,3386.7,3451.8,231473.9,713253.6,843722.8,6256.1,21003.4,25381.6
Trinidad and Tobago,33,13,458.0,558.5,2004.8,2005.9,2006.8,2007.1,1046.0,1626.7,1556.3,1552.9,118.0,184.5,177.9,197.4,22.0,119.8,105.4,130.6,107.4,8170.0,8326.9,409430.1,1120226.1,1435110.3,12407.0,47417.2,58662.1
Panama,31,30,618.1,929.8,2006.1,2006.1,2008.3,2008.3,1108.7,1214.7,1094.1,1093.5,93.0,194.1,131.1,120.0,67.0,135.4,148.4,156.7,98.0,7530.5,7675.0,593609.9,1584376.9,2075257.0,19148.7,72688.6,91203.4
Bahamas,29,14,480.3,140.6,1992.0,1992.9,1996.7,2002.1,423.4,484.5,419.3,454.4,38.0,54.0,34.5,48.5,14.0,23.0,15.2,9.0,112.2,8671.6,8838.1,224810.6,1031747.2,1207811.6,7752.1,32517.3,35506.7
Brazil,24,22,1882.4,2711.4,2003.3,2003.0,2006.9,2007.9,5092.6,5110.2,5067.4,5061.2,389.5,419.5,441.1,447.7,83.5,159.2,181.8,187.0,364.0,27948.0,28484.6,2471447.3,5741695.5,7270393.8,102977.0,300788.6,355376.6
Argentina,18,16,2170.4,3419.7,2010.3,2010.1,2010.6,2010.6,5885.0,5559.2,5768.6,5774.7,473.0,453.5,480.5,480.5,82.5,335.2,345.4,341.8,258.8,19991.5,20375.3,1442168.8,3626046.6,5338182.1,80120.5,337223.6,425792.4
Honduras,17,9,87.6,107.4,2003.1,2002.9,2001.2,2002.6,589.7,674.1,657.7,670.2,55.0,52.3,56.0,59.4,110.0,54.9,49.0,53.4,22.4,1714.8,1747.7,182582.6,521434.9,662623.9,10740.2,34549.8,44057.7
France,14,12,1500.8,2323.2,2009.1,2008.3,2009.8,2009.7,4420.4,5304.1,5113.5,5139.2,395.0,439.2,507.1,511.5,40.5,192.9,193.9,196.1,182.6,14088.0,14358.5,1089578.2,2890889.0,4056724.7,77827.0,331855.0,421316.3
Aruba,11,7,318.7,510.3,2001.4,2001.4,1996.5,1996.2,1142.1,1294.2,1664.6,2231.2,82.0,132.1,357.0,412.8,26.0,57.2,128.5,148.0,46.4,3578.2,3646.9,288412.4,772092.2,912505.2,26219.3,81930.3,102850.9
Spain,11,11,505.8,723.4,2003.9,2003.9,2004.2,2004.3,4122.7,4223.7,4223.0,4236.9,340.0,349.6,357.6,360.3,76.0,78.5,82.0,81.9,125.3,9659.0,9844.4,624871.4,2007953.9,2444824.8,56806.5,213662.8,260829.9
Netherlands,10,10,886.3,1334.2,2008.1,2008.1,2009.8,2010.5,4817.2,5086.5,4941.5,4964.2,374.0,390.2,388.4,395.0,106.0,245.5,279.7,287.4,156.2,12001.2,12231.6,780103.8,2743410.0,3373206.5,78010.4,330500.2,407575.1
Russian Federation,10,10,826.2,1264.6,2002.0,2002.0,2003.1,2004.3,5918.0,6020.7,5904.9,5854.7,465.0,472.5,500.0,516.5,42.0,83.1,80.8,86.4,215.2,16424.0,16739.4,1483273.1,3603179.1,4274289.1,148327.3,394181.2,473697.6
United Kingdom of Great Britain and Northern Ireland,10,10,632.0,986.2,2001.7,2001.7,2008.1,2008.4,4473.7,3770.6,4610.2,4626.1,362.0,324.8,408.2,410.7,88.0,177.8,200.9,204.5,95.9,7371.4,7513.0,600996.5,1583114.1,2245553.3,60099.7,230069.8,290084.0
Germany,9,8,1016.6,1362.0,2002.7,2002.9,2001.8,2001.8,5200.1,5211.2,5208.8,5214.7,332.0,369.4,344.1,348.1,21.0,59.4,47.2,52.2,164.3,12664.4,12907.6,1141986.2,3933714.4,4449103.0,126887.4,464402.7,549870.9
Algeria,9,4,1389.0,2321.0,2006.2,2005.2,2005.5,2005.4,4681.3,4747.7,4700.6,4700.1,450.0,464.6,465.7,467.8,75.0,60.5,58.6,56.4,178.1,13798.2,14063.1,768425.3,2957849.4,3354553.3,85380.6,385996.7,477378.5
Gibraltar,9,9,857.2,1347.1,2006.9,2006.9,2006.0,2005.6,4399.2,4509.8,4569.1,4585.0,345.0,380.9,420.4,431.0,41.0,104.0,104.9,112.8,130.9,10106.7,10300.7,715737.2,2373908.9,2765415.2,79526.4,320563.4,396851.1
Guatemala,7,5,119.3,135.2,2006.4,2005.0,2006.3,2007.6,713.4,703.5,847.4,907.9,56.0,72.6,113.9,105.0,13.0,32.0,39.8,38.6,17.8,1371.2,1397.5,130844.1,413309.5,489802.8,18692.0,64420.0,75859.3
Portugal,6,6,511.5,639.4,2007.2,2007.2,2008.0,2007.7,4266.5,4254.2,4434.8,4457.9,276.5,290.7,296.6,297.7,13.0,15.5,16.3,16.8,89.4,6907.0,7039.6,570329.7,2055500.6,2312784.7,95055.0,382170.1,463194.6
Viet Nam,5,5,1008.1,1581.2,2008.6,2008.6,2007.8,2007.7,11400.9,9466.4,7902.0,7454.3,961.0,803.2,946.7,940.8,79.0,157.2,109.8,114.9,123.3,9536.5,9719.6,633893.7,1761975.7,2721448.9,126778.7,596881.0,772650.0
Peru,4,4,473.1,753.2,2013.8,2013.8,2013.5,2013.5,5851.8,5060.0,4877.7,4822.6,502.0,479.8,497.4,494.9,239.0,485.8,537.4,525.8,56.6,4381.4,4465.5,296853.4,782519.0,1025408.0,74213.3,300866.1,366029.3
Hong Kong,4,4,923.3,1469.4,2010.0,2010.0,2010.3,2010.3,11128.4,11016.5,11071.9,11073.3,958.5,975.0,969.2,968.7,26.0,82.8,78.4,78.8,109.1,8440.0,8602.0,617948.4,1562331.8,2308794.4,154487.1,654854.1,828280.6
Guyana,4,4,134.5,185.2,2009.0,2009.0,2009.1,2008.5,2116.2,2278.6,2256.1,2205.0,229.5,211.5,223.3,223.6,66.5,98.8,93.2,104.8,21.2,1634.8,1666.1,74674.2,220260.8,338128.4,18668.6,92660.0,121634.0
Malta,4,4,376.6,609.6,2005.8,2005.8,2005.9,2005.9,5075.2,5023.4,5008.8,5011.4,434.5,430.0,428.6,428.8,18.5,32.0,31.1,31.7,40.7,3141.3,3201.6,245155.2,729231.6,1117597.6,61288.8,306424.8,402930.9
