Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,9303,2155,81931.0,108009.4,2002.9,2003.2,2004.1,2005.0,946.9,1465.0,1593.2,1537.6,109.0,151.9,259.3,254.6,41.0,65.5,87.7,86.9,17706.2,1353235.1,1379217.2,127768577.1,387879683.7,551841144.1,13734.1,55676.8,75019.7
Container,7603,1019,581177.8,656685.4,2005.9,2006.7,2009.5,2009.3,748.7,1518.7,1745.8,1722.2,60.0,108.3,208.0,204.9,20.0,27.2,29.7,29.9,68629.8,5301419.8,5403207.1,398416485.8,1168394058.8,1305221386.1,52402.5,173073.5,203155.6
Chemical tanker,4457,1369,92584.6,149180.5,2007.4,2008.6,2009.3,2009.4,964.3,1569.3,1571.0,1590.7,100.0,154.3,243.9,245.6,33.0,52.1,66.0,65.9,18774.4,1442256.7,1469948.0,65745967.9,293437070.4,347667827.7,14751.2,75845.6,93228.5
Bulk carrier,4049,2370,286930.4,509802.7,2008.3,2009.6,2010.3,2010.3,1735.2,2188.9,2294.6,2314.4,168.0,229.0,375.7,379.0,70.0,108.1,117.0,116.9,24798.8,1913306.1,1950041.6,154091281.8,363852084.8,453457872.5,38056.6,141535.4,170873.9
Vehicle,1924,362,102162.1,34037.6,2004.3,2006.8,2006.8,2006.4,767.7,1827.3,1337.8,1371.7,58.0,126.7,212.4,213.9,14.5,17.1,18.6,18.6,7651.4,590090.6,601420.4,34467460.1,151964542.5,175990428.2,17914.5,68092.9,73282.9
Cruise,1704,172,69681.5,6468.5,2002.6,1999.0,2006.8,2005.5,358.3,568.1,491.9,494.9,32.0,48.1,56.2,57.4,9.0,19.8,12.1,12.3,13923.0,1077179.9,1097861.8,16022546.2,107035678.0,129609522.5,9402.9,55305.8,63216.4
Oil tanker,1675,798,193197.5,357834.5,2008.7,2009.0,2009.8,2009.8,1339.0,2256.9,2425.1,2446.7,141.0,241.0,489.8,491.6,33.0,55.1,61.1,61.0,17717.4,1367796.1,1394057.8,159789391.1,304851379.3,345411015.5,95396.7,249613.6,305746.4
Ro-Ro,1573,92,23478.0,11757.6,2001.8,2002.8,2005.8,2005.0,446.7,1060.8,655.8,654.1,30.0,84.6,104.3,112.5,6.0,38.1,23.2,27.0,3933.2,303110.6,308930.3,13373172.9,30902344.3,30321034.4,8501.7,20043.2,21878.8
Ferry-RoPax,1489,64,23522.7,3765.5,1997.0,1997.5,2000.4,1999.8,366.2,1791.2,491.3,506.6,20.0,271.2,142.3,145.3,6.0,98.3,48.8,46.2,6284.6,481978.7,491232.7,23398465.4,57861246.9,70997058.3,15714.2,33543.9,30554.7
Liquefied gas tanker,1058,348,113255.7,94161.0,2007.9,2008.8,2008.3,2008.4,1101.8,2270.2,2986.9,2854.6,111.0,196.6,342.7,338.7,30.0,54.2,72.2,73.9,13181.6,859823.2,876331.8,27099671.5,168342100.9,145489547.7,25614.1,204459.6,308228.1
Miscellaneous - fishing,750,334,2569.3,1699.3,1993.8,1992.8,1992.3,1992.1,1448.2,4091.5,3777.9,3746.2,217.5,542.0,771.0,814.0,19.0,230.9,618.1,568.5,1737.2,130738.1,133248.3,11950252.3,26507963.3,30136870.0,15933.7,37499.2,44453.0
Refrigerated bulk,343,136,4588.1,5153.7,1993.0,1993.4,1992.9,1992.9,1371.7,2011.5,1932.6,1933.2,130.0,188.1,301.6,299.6,80.0,136.9,155.5,155.7,2715.0,205951.9,209906.2,15289146.8,33407528.2,37630438.7,44574.8,94988.3,102558.9
Service - other,237,145,4021.4,4080.2,2000.6,2000.9,2008.2,2009.4,1420.0,2879.9,2844.0,2264.8,167.0,436.2,880.9,538.7,56.0,302.5,532.5,315.5,1052.1,79789.8,81321.8,28472407.3,58419129.0,62950149.2,120136.7,267324.5,301847.2
Service - tug,211,146,634.5,552.4,2004.5,2005.2,2006.8,2006.0,1376.1,1746.6,2020.0,2077.6,214.0,371.4,584.3,614.8,39.0,165.2,128.6,129.7,618.0,46709.7,47606.5,14128862.3,33410506.1,44734861.8,66961.4,172906.4,233453.0
Ferry-pax only,12,10,13.2,2.4,1979.3,1983.4,1988.9,1962.0,1347.5,1381.2,1892.7,1949.8,132.5,169.8,261.9,363.9,45.0,125.4,96.6,130.0,11.6,868.7,885.4,174327.5,364845.0,460854.5,14527.3,34269.2,45192.5
Other liquids tankers,4,3,199.8,264.7,2011.0,2010.0,2008.7,2009.2,1432.6,2188.1,1882.2,1832.6,155.0,194.5,201.7,197.0,76.5,80.3,84.2,83.6,26.5,2041.8,2081.0,135802.5,387757.7,836005.4,33950.6,117617.8,190058.1
