Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Barcelona,4615,1424,231707.7,194825.1,2004.7,2006.1,2008.7,2009.1,404.5,1474.9,1118.6,1509.8,32.0,119.8,236.4,271.4,14.0,43.2,30.0,39.1,29478.7,2223078.3,2265761.4,118159257.3,396280899.3,452576696.7,25603.3,95473.3,114809.4
Algeciras,3057,1193,364839.6,435538.6,2007.2,2007.3,2010.7,2010.4,1434.2,2115.3,2712.9,2638.3,119.0,192.5,291.8,296.0,17.0,26.9,21.8,21.9,39878.7,3072968.1,3131969.1,233477037.3,692107289.1,759500750.2,76374.6,256346.1,305143.3
Valencia,2593,741,141141.8,143544.8,2003.9,2005.7,2006.6,2006.8,586.7,1312.8,1212.3,1278.3,45.0,100.9,162.6,170.2,23.0,38.9,29.9,32.0,17262.0,1334093.3,1359707.9,99593048.6,278347624.0,317049373.5,38408.4,120984.8,140056.3
Ceuta,1987,1313,49625.2,80657.1,2005.6,2005.9,2009.2,2009.5,1437.8,1850.7,2267.5,2329.2,145.0,194.9,338.8,343.2,5.0,11.6,16.9,16.9,6736.0,518147.3,528095.8,48330630.5,130779106.2,168362507.7,24323.4,90411.5,114528.8
Las Palmas,1942,1138,145003.6,198566.6,2003.2,2005.0,2008.8,2009.2,1855.9,2998.3,2560.9,2585.5,184.0,396.3,514.2,471.4,14.0,75.7,40.0,27.1,19643.2,1487151.3,1515704.6,114564439.3,317361820.2,367422746.5,58993.0,201343.0,247234.9
Bilbao,1290,696,57746.9,84391.2,2006.4,2007.5,2008.4,2009.0,767.4,1605.1,2296.2,2664.8,64.0,157.3,366.8,382.0,25.0,53.8,43.6,48.0,7563.0,552930.5,563546.7,40257260.9,110635991.5,123916828.0,31207.2,106945.8,136341.9
Huelva,1206,790,69912.6,104877.3,2008.0,2008.0,2009.7,2010.0,1221.2,2277.1,2931.3,2967.7,110.0,204.0,377.2,388.5,42.0,59.5,60.0,64.7,8420.8,623215.7,635181.5,41925067.4,135617475.0,155561298.9,34763.7,145926.5,185938.5
Santander,1170,505,20034.1,12996.8,2005.5,2005.9,2007.4,2008.5,687.8,1022.8,809.4,1066.9,55.0,100.1,106.8,183.1,18.0,57.1,37.7,64.6,3078.6,235066.8,239580.1,16023001.2,48462232.5,59215027.4,13694.9,42946.7,49876.8
Cartagena,1154,711,56386.4,86750.1,2001.2,2004.8,2007.9,2009.1,1002.6,1599.0,2107.4,2473.7,105.0,150.9,330.0,358.4,36.0,56.4,58.6,59.8,6921.0,522757.6,532794.5,40729565.5,102970936.6,121781054.9,35294.3,115917.5,146325.7
San Cristobal,1135,952,125001.3,222835.3,2008.9,2009.0,2010.7,2010.8,2775.1,3144.4,3485.6,3568.3,268.0,321.2,534.6,546.9,8.0,16.5,12.2,11.9,10403.7,804315.3,819758.2,67572999.8,164722334.7,203837786.2,59535.7,220508.4,268137.4
Tarragona,852,621,40449.1,63225.8,2004.8,2005.8,2008.7,2009.2,1416.1,2010.1,2165.1,2431.8,118.0,177.6,337.8,357.6,43.0,86.1,94.8,97.0,5328.8,410942.3,418832.4,30250714.6,84123791.4,100728868.4,35505.5,129983.2,161869.3
Palmones,751,600,59478.1,102557.5,2007.8,2007.6,2009.8,2009.7,1497.8,2159.8,2889.5,2975.9,150.0,224.8,427.7,442.0,32.0,48.3,60.4,63.8,6495.4,496013.7,505537.2,39775713.2,102982584.9,119093172.7,52963.7,180469.3,223008.9
Vigo,748,278,25596.7,14639.0,2002.5,2002.8,2006.3,2006.6,708.8,2401.2,1372.5,1409.1,54.5,279.5,293.5,353.7,10.0,90.0,16.0,18.4,3084.0,237092.7,241644.9,13564075.4,49316961.5,59309844.8,18133.8,68672.0,81265.7
Castellon,674,383,19839.4,32383.2,2002.7,2005.2,2008.3,2008.6,936.4,1597.0,1775.7,1950.2,84.0,147.7,280.2,295.5,38.0,74.3,117.1,126.1,2992.9,230834.2,235266.2,19025341.8,52135902.4,61631516.4,28227.5,94385.3,116908.3
Santurce,665,387,10256.4,15260.9,2006.5,2006.5,2009.9,2010.2,756.2,1315.2,1500.5,1674.8,67.0,136.1,347.6,380.7,34.0,56.1,70.4,75.6,1750.7,134196.3,136772.9,10871807.2,29597385.0,37819757.7,16348.6,58194.1,72529.0
Musel Arnao,656,405,28937.2,52999.5,2005.2,2006.7,2010.0,2010.0,714.7,1538.6,2715.5,2976.0,65.0,158.9,406.9,417.1,35.0,56.8,98.8,101.4,2416.9,186016.5,189588.0,15575205.8,37894877.7,46452764.7,23742.7,82509.0,100659.2
Motril,583,202,5545.7,6856.9,2001.1,2004.7,2007.3,2008.2,138.8,1564.9,786.0,1092.1,10.0,163.4,255.7,267.2,5.0,44.3,30.5,32.7,1031.6,79393.2,80917.6,5419431.9,16464766.8,20978438.7,9295.8,34791.6,43804.7
Puerto De La Luz/Las,554,394,15021.8,21796.7,2001.9,2003.4,2008.0,2008.8,1693.6,2233.9,2090.8,2072.3,166.0,326.1,309.8,295.6,13.0,124.0,51.6,41.7,2941.4,222926.3,227206.5,21019052.3,55290750.7,67245956.9,37940.5,120479.1,151220.6
Coruna,539,373,11557.0,14861.5,2005.1,2004.9,2009.9,2010.8,782.7,1198.1,1148.7,1570.7,79.0,136.3,187.1,224.1,31.0,84.7,42.0,51.4,1846.9,140862.2,143566.8,8837870.3,25894988.6,31360186.6,16396.8,59030.3,73836.4
Malaga,473,278,13806.0,12008.3,2001.5,2003.2,2007.1,2008.0,568.2,1103.8,771.9,1142.2,40.0,109.9,187.6,261.4,14.0,48.2,32.7,50.8,2230.5,172319.7,175628.2,8502075.4,29707191.4,35343965.1,17974.8,68951.9,83276.6
Aviles,464,348,9157.4,14827.9,2004.9,2005.3,2010.2,2010.4,966.0,1566.7,2472.2,2608.7,87.0,148.3,447.9,471.8,41.0,61.8,70.7,69.6,1295.0,99437.9,101347.1,9039538.7,23985157.3,32012846.5,19481.8,73188.5,92795.9
Tenerife,461,340,38064.9,51424.3,2006.9,2006.4,2010.0,2010.8,1603.3,2282.2,2002.8,2938.0,131.0,241.2,463.8,583.7,10.0,26.1,14.7,14.3,4379.5,332304.0,338684.3,20842982.6,64719741.6,74268302.5,45212.5,171310.9,210669.0
Sagunto,453,272,13373.4,11408.7,2003.1,2004.2,2007.4,2008.2,894.4,1630.5,2033.0,2096.1,71.0,144.0,310.2,365.6,21.0,42.0,26.6,35.9,1552.3,115768.1,117990.8,9161888.1,29901663.3,36619783.7,20224.9,76804.5,96585.7
Cadiz,361,258,9164.6,8181.1,2003.9,2004.4,2007.7,2009.6,511.8,1268.8,870.3,1652.4,56.0,144.4,216.2,323.2,17.0,65.5,59.8,92.7,1716.5,132229.5,134768.3,8410892.8,23898598.9,28659206.8,23298.9,78441.2,93945.8
El Ferrol,345,242,9226.4,9098.4,2005.4,2005.9,2009.4,2009.5,784.4,1169.7,2151.5,2013.0,78.0,117.1,309.9,300.9,23.0,50.1,128.3,120.3,1499.7,103969.0,105965.2,5077901.6,20324777.6,22223328.6,14718.6,71860.2,100815.8
Palma De Mallorca,344,133,10662.5,2773.3,2001.4,2001.1,2006.2,2003.3,437.6,979.3,474.1,758.7,34.5,83.1,72.8,171.8,11.0,33.2,20.2,39.2,2012.6,155682.3,158671.4,3326058.8,17680396.5,21784857.9,9668.8,50729.1,60797.3
Chipiona,339,287,3892.1,5329.7,2004.7,2004.8,2008.7,2008.5,1167.0,1195.3,1520.3,1489.6,127.0,136.2,221.3,215.2,6.0,19.0,41.0,33.8,627.2,46550.8,47444.5,5009522.1,15115502.7,19744886.2,14777.4,56475.1,75324.5
La Linea De La Conce,325,286,17509.4,27383.3,2007.8,2008.1,2009.7,2009.8,1175.5,1872.1,2169.8,2180.3,154.0,216.3,351.2,356.0,13.0,33.1,30.9,31.7,2043.6,154212.9,157173.8,11644797.6,31319507.7,36893940.8,35830.1,133808.8,168018.5
Puerto De Sagunto,311,137,15947.4,8215.6,2005.9,2005.7,2009.6,2009.5,653.5,1904.0,1864.1,1530.7,50.0,157.3,348.6,357.2,12.0,29.1,16.0,22.0,1302.0,100670.1,102602.9,7004538.4,24298073.6,28993963.9,22522.6,79043.8,90115.5
Lezo,284,166,1874.0,1399.9,2001.9,2003.0,2000.5,2003.0,753.6,1029.5,844.3,970.8,87.5,128.1,116.1,152.4,22.0,47.5,26.8,45.6,376.2,28634.1,29183.8,2510904.3,7856739.0,10745436.3,8841.2,31321.3,41816.7
Alicante,283,142,3507.7,2400.5,2000.8,2002.2,2008.5,2008.6,366.4,977.7,698.5,896.7,42.0,119.4,109.1,164.6,25.0,62.1,38.9,75.7,728.3,56030.3,57106.1,2854749.3,9227277.4,11662026.3,10087.5,36836.2,45648.0
Melilla,263,175,3926.3,5317.2,2001.8,2003.7,2007.3,2010.5,617.9,1255.8,1219.6,1569.0,51.0,182.5,244.2,285.5,42.0,105.2,110.9,124.6,669.3,51221.3,52204.8,4844945.8,11408113.6,14221485.0,18421.8,57533.3,69506.1
Conil,243,178,6877.8,10171.8,2004.9,2004.5,2007.2,2007.4,467.2,1040.0,1234.0,1336.5,50.0,133.2,287.8,316.3,51.0,81.7,72.5,76.1,947.1,72748.7,74145.5,6656873.7,18398436.2,20713065.6,27394.5,87506.3,104984.4
