Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Ferry-RoPax,11577,79,65454.2,15867.0,2001.5,1998.5,2002.4,2003.3,137.6,956.8,270.9,250.1,9.0,76.2,231.1,174.5,4.0,19.4,32.4,24.2,19282.0,1458384.2,1486385.1,99193319.2,245065594.7,300863112.4,8568.1,18295.9,16737.9
Container,6294,558,56094.1,65955.0,2004.9,2005.7,2006.7,2006.6,216.5,337.2,357.1,359.9,21.0,33.9,51.8,52.3,13.0,24.5,22.6,22.6,10093.1,778046.3,792984.8,64455873.4,187064410.3,211456856.7,10240.8,32075.4,37382.7
General cargo,4682,1338,10528.1,13966.3,2003.5,2003.2,2003.9,2005.1,272.2,409.9,482.2,464.5,27.0,44.8,102.0,96.0,26.0,40.2,42.6,43.5,2687.5,205303.5,209245.4,21487939.8,63787389.6,90207291.1,4589.5,17687.9,23717.7
Chemical tanker,3517,694,20258.4,31833.5,2007.2,2008.1,2007.8,2007.8,379.0,553.2,550.0,552.7,35.0,54.4,86.0,86.4,25.0,41.1,49.9,50.0,5862.5,450216.9,458861.0,19655152.2,76200657.2,91868558.6,5588.6,24724.6,30625.6
Cruise,2398,150,33955.2,3295.4,1999.3,2000.2,2006.1,2004.5,151.9,216.8,208.3,212.2,14.0,18.0,26.1,27.2,10.0,18.1,16.3,15.6,8195.7,634204.8,646381.5,10552863.5,59975056.6,71360526.2,4400.7,21962.9,24396.9
Miscellaneous - fishing,1753,169,822.8,550.5,1999.2,1996.6,1996.9,1994.6,441.0,2511.2,1263.5,1454.0,51.0,360.0,1069.6,1175.0,28.0,248.6,654.1,749.9,1442.4,108346.5,110426.8,3871198.9,8587065.5,9762623.9,2208.3,5197.2,6161.0
Ro-Ro,1493,52,9077.8,4471.3,2001.3,2000.0,2006.5,2004.7,187.6,378.7,353.7,374.9,14.0,44.0,51.2,59.8,10.0,16.4,20.3,28.6,2384.9,184264.8,187802.7,5991572.7,20969398.0,15393591.1,4013.1,9534.4,11127.9
Oil tanker,1404,257,18031.5,32377.3,2006.6,2008.8,2009.3,2009.5,200.1,604.3,610.4,625.0,30.0,91.6,201.0,207.0,27.0,46.7,58.9,59.0,4076.2,313044.5,319055.0,18204248.3,34033735.4,38419813.2,12966.0,36307.3,44271.9
Bulk carrier,1192,547,18771.3,33604.5,2002.6,2008.9,2010.3,2010.5,353.4,646.2,661.8,670.9,40.0,72.3,112.9,113.0,35.0,72.6,93.3,95.0,1862.5,143958.4,146722.4,10822627.0,25752922.0,31958022.2,9079.4,33418.9,40556.1
Service - tug,935,135,322.2,230.6,2000.3,2000.6,2004.0,2004.3,256.8,1018.1,626.0,625.6,89.0,652.9,1161.2,1184.1,35.0,195.6,480.7,474.5,952.1,71513.3,72886.3,5898296.9,13947696.5,18675211.7,6308.3,16289.3,21993.3
Liquefied gas tanker,840,137,10008.6,8408.7,2008.0,2008.1,2006.1,2006.2,332.1,676.0,840.8,778.3,29.0,68.9,125.6,123.6,23.0,57.9,157.1,137.2,1881.3,132802.5,135352.3,3109769.6,15619520.4,14291304.8,3702.1,26409.7,38445.8
Service - other,686,75,736.3,510.1,1999.1,1994.3,2001.1,1997.4,311.8,972.3,809.3,682.7,45.0,303.7,551.8,510.3,28.0,138.2,200.7,171.7,649.2,48788.6,49725.3,3559759.8,7303845.6,7870336.0,5189.2,11546.7,13037.9
Vehicle,621,105,8985.0,2846.3,2002.7,2005.2,2003.2,2003.1,283.5,399.7,498.1,498.1,26.0,32.8,63.9,64.2,7.0,11.3,11.4,11.7,1356.8,104857.7,106871.0,2882217.9,12707490.8,14716569.5,4641.3,17641.4,18986.0
Ferry-pax only,267,20,209.5,32.0,2002.6,2000.2,2004.3,1998.2,1066.4,1167.1,2216.6,2121.0,48.0,200.7,890.5,822.8,28.0,98.8,154.2,121.6,286.9,21539.3,21952.9,2636327.0,5369126.5,6763440.2,9873.9,22961.3,30270.5
Refrigerated bulk,124,60,468.7,519.6,1995.0,1994.6,1992.7,1992.6,426.8,772.2,706.3,704.1,71.5,117.0,213.8,208.8,24.5,117.7,178.0,188.0,504.8,38117.5,38849.3,1541483.9,3368217.1,3793979.8,12431.3,26491.0,28602.3
