Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,185,32,2978.2,3858.0,2004.6,2007.1,2006.6,2006.3,1143.1,1146.3,1082.8,1081.5,78.0,84.8,108.6,107.5,23.0,25.6,26.1,26.2,611.4,47098.1,48002.4,4592038.4,14938965.2,16778228.6,24821.8,83923.6,98799.8
Chemical tanker,101,23,3649.0,6034.3,2010.6,2011.7,2013.0,2013.0,624.2,2420.2,2574.9,2603.9,83.0,212.0,364.9,365.8,31.0,57.7,48.9,49.2,548.5,42390.6,43204.5,1652712.6,9643750.3,11248333.9,16363.5,112003.7,137872.1
General cargo,75,17,1009.3,1203.9,2004.1,2003.9,2005.5,2005.5,1164.7,1779.9,1227.1,1285.0,98.0,190.4,201.1,205.0,22.0,44.2,46.4,45.4,179.7,13818.7,14084.0,984125.3,3106644.2,4397375.2,13121.7,60480.9,78995.0
Miscellaneous - fishing,53,41,233.9,183.7,2005.3,2003.8,2001.2,2000.2,9396.6,13771.8,10637.0,10557.4,1192.0,1745.3,2465.7,2780.1,69.0,818.1,733.7,566.9,270.8,20335.8,20726.2,1292101.0,2866129.1,3258498.5,24379.3,57375.5,68015.1
Cruise,48,30,3386.3,323.9,1999.0,2000.6,1998.7,1998.7,766.4,773.9,990.5,954.7,54.0,54.3,80.4,77.4,8.0,10.5,11.4,12.0,725.1,56147.7,57225.8,1228509.6,6019507.8,6676610.9,25594.0,110426.7,114732.0
Liquefied gas tanker,47,6,282.9,291.4,2010.2,2010.2,2010.2,2010.2,1418.5,1614.8,1357.4,1363.4,134.0,146.3,157.2,157.5,23.0,30.4,45.3,46.2,117.1,8954.3,9126.2,219954.0,637242.7,703720.1,4679.9,25622.1,33693.7
Bulk carrier,30,28,3014.9,4366.2,2008.3,2008.2,2006.7,2006.7,4203.9,3723.2,3790.3,3752.8,312.5,326.5,352.1,356.7,109.5,152.6,126.4,131.2,257.4,19902.8,20284.9,1807189.8,4193835.2,5787390.0,60239.7,230522.0,283171.1
Vehicle,27,24,3762.0,1186.9,2006.9,2007.2,2007.4,2007.2,3948.3,2957.8,2865.5,2889.7,231.0,202.8,238.4,237.4,17.0,26.4,27.5,27.2,259.1,20066.5,20451.8,1201911.5,5299140.9,6136945.2,44515.2,169202.4,182098.9
Service - tug,16,9,19.4,15.9,1985.1,1987.2,2013.7,2014.3,835.0,1263.1,2301.2,2347.1,206.0,280.8,189.1,186.4,119.0,793.0,933.4,945.6,12.9,968.3,986.9,407935.2,964643.9,1291606.1,25495.9,65835.1,88888.6
Oil tanker,11,8,734.8,1126.7,2007.5,2007.9,2007.8,2007.6,1162.6,2967.2,2417.2,2391.7,111.0,266.8,344.4,332.2,56.0,57.4,60.7,61.0,114.3,8839.2,9008.9,1076514.6,2504783.1,2818442.8,97865.0,292832.4,344748.7
Service - other,9,8,575.0,195.5,2003.3,2002.0,2012.4,2010.8,2200.9,3799.4,5259.3,4180.0,263.0,1084.2,1439.0,1550.1,93.0,108.7,123.2,124.3,168.9,12919.4,13167.5,1364389.5,2799427.8,3016553.0,151598.8,337332.9,380896.6
Refrigerated bulk,3,3,91.1,110.7,1989.0,1989.0,1997.2,1995.6,12373.2,11881.6,12186.9,12224.7,1580.0,1621.3,1621.5,1610.9,33.0,68.0,62.4,57.9,68.2,5168.3,5267.5,328356.2,717474.3,808167.4,109452.1,233241.2,251830.4
Ferry-RoPax,2,2,2.4,0.7,1989.5,1989.5,1981.2,1984.7,1489.4,1489.4,1081.0,925.6,178.0,178.0,233.3,209.6,2707.5,2707.5,3607.1,3221.3,26.0,1952.7,1990.2,23190.6,50171.5,66705.7,11595.3,25886.7,36890.2
Ferry-pax only,1,1,0.1,0.0,2016.0,2016.0,2016.0,2016.0,423.9,423.9,423.9,423.9,25.0,25.0,25.0,25.0,437.0,437.0,437.0,437.0,0.8,59.8,61.0,1290.5,2628.2,3310.8,1290.5,3001.0,3956.3
