Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,186,32,4720.7,6156.3,2004.8,2007.1,2006.3,2006.2,1207.9,1616.3,1701.7,1713.9,83.0,111.3,194.3,194.2,22.0,28.4,28.6,28.4,888.2,68500.9,69816.1,6405318.5,21615950.1,23981946.2,34437.2,119233.3,139962.6
Chemical tanker,103,23,2885.1,4778.4,2010.5,2011.7,2012.3,2012.3,656.0,2257.4,1986.5,2011.1,68.0,202.1,316.0,317.4,29.0,37.1,38.8,39.1,439.7,33933.9,34585.4,1468915.3,8028268.3,9414487.7,14261.3,91330.1,112671.1
General cargo,73,17,835.8,1015.5,2004.2,2003.9,2003.7,2003.8,649.6,1744.1,1044.2,1111.8,63.0,221.6,208.9,216.9,12.0,73.1,191.0,209.7,148.6,11431.7,11651.2,750127.8,2402208.0,3417532.0,10275.7,48594.0,63890.7
Cruise,48,30,4447.8,420.1,1999.1,2000.6,2000.4,2000.4,810.7,988.3,1297.8,1242.1,62.5,63.8,115.2,110.6,9.0,11.1,17.6,17.3,936.9,72545.7,73938.6,1540762.2,7687030.1,8537208.8,32099.2,141063.1,147030.4
Miscellaneous - fishing,48,36,131.8,98.5,2006.4,2005.1,2000.7,1998.2,7506.1,7737.4,6512.2,6071.2,1425.5,1355.4,1524.6,1391.7,14.0,65.9,85.5,81.1,138.0,10360.5,10559.5,692694.3,1536529.4,1746878.3,14431.1,33963.0,40261.1
Liquefied gas tanker,46,6,240.5,247.0,2010.1,2010.2,2010.4,2010.4,744.4,987.0,1182.3,1183.3,77.0,88.2,154.5,155.2,15.5,29.2,30.6,31.5,108.3,8264.2,8422.9,186441.6,540151.6,596500.4,4053.1,22190.4,29181.0
Bulk carrier,30,28,2609.7,3769.6,2007.8,2007.6,2007.0,2006.9,2817.7,3052.6,3379.3,3300.1,301.5,318.2,417.6,421.2,67.0,86.4,82.5,83.2,232.5,17983.4,18328.7,1559669.4,3524757.6,4760082.0,51989.0,192781.8,234562.8
Vehicle,28,24,3303.6,1036.3,2006.7,2007.2,2007.1,2007.0,1212.2,2523.7,2420.0,2418.8,116.5,178.3,243.3,244.1,31.0,78.1,80.5,88.6,251.8,19499.2,19873.6,1049385.8,4626666.3,5358151.1,37478.1,142454.1,153311.9
Service - tug,14,6,30.6,25.2,1983.4,1985.8,2017.0,2017.4,696.9,1959.8,4254.8,4424.7,317.5,519.2,1288.2,1297.6,89.0,155.3,14.3,12.2,9.6,718.2,732.0,645236.9,1525791.0,2042951.6,46088.3,119008.4,160681.5
Oil tanker,10,8,566.8,830.4,2008.7,2009.2,2008.5,2008.2,821.3,3159.2,2232.0,2148.1,117.0,270.5,407.2,393.5,28.5,53.2,89.3,93.1,92.2,7127.0,7263.8,852292.7,1872120.2,2091218.5,85229.3,255505.5,305086.6
Service - other,8,8,537.8,218.2,2000.2,2000.2,2000.5,1998.4,4797.1,4910.3,4703.1,4216.1,335.0,535.0,672.5,589.5,236.5,365.0,497.9,514.3,314.3,24181.9,24646.2,1522445.7,3123724.4,3366002.2,190305.7,423462.2,478148.8
Refrigerated bulk,3,3,70.5,84.5,1989.0,1989.0,1988.9,1987.9,9076.7,10316.5,9421.7,9327.9,390.0,1013.0,1625.4,1532.4,472.0,331.7,391.6,395.2,53.1,4018.9,4096.0,250547.4,547458.3,616660.3,83515.8,177971.3,192155.5
Ferry-RoPax,1,1,0.6,0.2,2010.0,2010.0,2010.0,2010.0,421.6,421.6,421.6,421.6,41.0,41.0,41.0,41.0,69.0,69.0,69.0,69.0,0.6,44.1,45.0,8173.1,17682.1,23509.3,8173.1,18246.7,26002.7
Ferry-pax only,1,1,0.1,0.0,2016.0,2016.0,2016.0,2016.0,422.8,422.8,422.8,422.8,39.0,39.0,39.0,39.0,25.0,25.0,25.0,25.0,0.1,10.4,10.6,1287.2,2621.4,3302.2,1287.2,2993.2,3946.1
