Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
New Zealand,108,27,2582.2,2110.1,2004.1,2004.4,2002.1,2005.1,1152.3,1290.4,1171.5,1173.2,88.0,108.9,85.6,90.5,20.0,45.8,24.0,30.3,494.0,38167.2,38900.0,2807960.3,9222981.9,10515441.0,25999.6,89282.2,102926.8
New Caledonia,95,47,2072.7,1699.3,2005.1,2004.3,2005.4,2008.6,713.7,967.5,894.9,1027.5,61.0,199.7,215.4,335.2,23.0,142.5,31.1,44.7,393.4,30351.8,30934.6,1507935.5,5606278.0,6425879.0,15873.0,63511.2,74322.7
Solomon Islands,62,45,1032.2,1324.5,2008.1,2008.8,2007.6,2008.2,1584.6,8525.8,1412.9,1258.8,224.0,901.6,259.9,177.8,51.5,735.5,195.6,121.0,285.5,21729.4,22146.6,1130127.7,3639406.8,4189552.6,18227.9,67018.9,80410.2
Tonga,60,13,299.7,232.0,2007.0,2003.3,2002.1,2004.8,503.0,487.1,480.7,466.4,45.0,45.9,44.8,43.6,22.5,93.4,23.6,30.6,92.3,7067.6,7203.3,392874.5,1359087.5,1638950.6,6547.9,24310.8,29634.8
Australia,39,25,1364.9,1129.9,2005.5,2003.0,2005.0,2010.5,2202.7,2120.2,2028.6,2230.1,194.0,225.9,165.8,205.7,32.0,300.6,71.0,111.1,349.3,26930.6,27447.6,810268.1,2719018.6,3333707.9,20776.1,91699.7,111734.6
Vanuatu,35,15,568.4,342.1,1998.7,2002.5,2002.1,2003.0,559.3,873.4,601.1,600.4,48.0,116.1,47.1,56.2,22.0,20.4,22.1,35.7,113.2,8740.8,8908.6,413570.6,1594750.9,1862291.2,11816.3,45566.5,52962.6
Kiribati,26,7,373.0,434.2,2009.8,2011.4,2012.6,2012.7,1242.4,1303.7,1244.6,1243.3,92.5,109.8,89.0,88.5,23.5,62.9,33.4,33.0,95.3,7332.0,7472.7,536483.2,1777892.5,2043759.1,20634.0,73439.8,87950.9
Japan,23,22,4041.0,2440.9,2006.9,2006.9,2007.4,2006.6,4083.2,4111.4,4093.4,4117.9,286.0,298.9,287.0,308.0,44.0,101.4,63.0,119.0,288.8,22354.0,22783.2,1602378.0,5638059.6,6823833.8,69668.6,260790.3,295137.7
Tuvalu,22,7,55.5,58.9,1999.4,1995.1,2004.2,2005.6,650.3,1386.4,805.1,716.3,61.0,269.1,285.4,172.8,31.0,124.6,84.0,59.5,27.9,2111.4,2151.9,161330.9,439315.9,562353.2,7333.2,21681.8,27992.4
China,20,17,1587.8,1879.0,2008.8,2008.2,2007.3,2005.0,4769.0,4832.5,4731.4,4285.0,386.5,569.7,671.6,484.1,83.5,105.7,107.2,90.0,163.3,12592.2,12834.0,1905860.2,4384248.8,5465745.5,95293.0,285427.0,350912.4
Wallis and Futuna,19,5,42.6,50.0,2006.7,2005.0,2004.6,2004.9,428.2,444.2,693.0,687.1,42.0,39.2,229.7,224.2,28.0,75.2,34.1,32.6,23.0,1753.2,1786.9,125092.0,319419.2,377935.0,6583.8,18577.1,22067.3
Papua New Guinea,17,7,395.4,463.9,2004.2,2005.0,2002.2,2003.3,1987.1,1996.4,1994.2,2003.4,163.0,169.7,159.8,162.9,34.0,45.3,43.2,44.7,75.6,5800.7,5912.0,483624.6,1752897.8,2030788.6,28448.5,112581.9,136758.5
"Korea, Republic of",16,11,1420.2,2224.5,2006.8,2003.8,2012.7,2013.0,4501.6,7683.5,4598.2,4589.8,359.5,912.6,416.7,406.3,37.5,200.1,45.3,41.5,205.2,15846.7,16151.0,768196.3,3671935.5,4247986.7,48012.3,270132.9,328708.1
American Samoa,13,12,383.2,106.4,2006.3,2005.8,2005.4,2010.9,715.1,727.8,743.4,798.9,44.0,57.7,52.8,81.8,10.0,14.2,14.0,19.2,96.4,7462.2,7605.4,213149.8,969778.0,1079137.9,16396.1,68248.4,71788.8
Singapore,11,8,1553.0,2543.8,2011.8,2011.4,2011.9,2012.0,4762.0,4735.9,4758.4,4759.8,399.0,401.6,401.4,401.5,47.0,54.8,51.6,51.7,207.0,16031.5,16339.3,947551.1,4070486.0,4658348.5,86141.0,447548.2,540519.9
