Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Misurata,589,296,10205.6,10400.7,1998.2,1998.4,2003.0,2004.4,796.5,956.3,1113.2,1012.7,72.0,121.9,214.1,214.7,26.0,67.5,67.1,61.6,1476.2,113395.2,115572.4,8417488.5,27119431.1,32459071.9,14291.2,50969.8,60912.5
Az Zawiyah,196,146,13393.8,24316.5,2007.8,2008.0,2008.8,2008.9,882.9,1449.9,1553.7,1578.5,100.0,156.5,308.5,312.3,31.0,46.8,45.7,45.5,1591.4,123048.0,125410.5,10438043.7,24333759.3,27221397.1,53255.3,152460.8,187900.4
Tripoli,196,105,1530.4,2168.5,2000.6,1997.3,1998.8,1998.7,511.2,713.7,772.5,812.6,60.5,135.6,161.5,172.0,17.0,45.9,49.9,53.5,356.7,27392.1,27918.0,2151482.4,5779087.4,7171170.3,10977.0,36508.3,44852.5
Khoms,193,119,1697.5,2299.7,1992.9,1993.4,1998.0,1998.3,893.7,855.0,811.5,816.0,105.0,179.3,229.5,249.4,25.0,113.8,62.0,67.9,443.7,33937.5,34589.1,2004137.5,6512505.0,8171299.2,10384.1,40086.7,50413.9
Benghazi,175,112,2649.9,2633.5,1998.6,1998.3,2004.1,2002.4,658.9,826.4,929.2,755.0,69.0,132.2,182.3,143.1,30.0,62.3,62.3,70.1,427.9,32931.4,33563.6,1779478.6,6541034.8,7949636.9,10168.4,43174.6,52150.7
El Choms,159,93,1208.3,1037.1,1990.9,1992.9,1996.3,1996.5,837.5,784.6,757.7,683.3,75.0,85.5,105.8,107.5,24.0,55.9,75.1,72.8,248.0,18951.4,19315.3,1425118.5,4417589.8,5562919.6,8963.0,30883.5,38780.3
Mellitah,147,75,7825.6,13855.3,2007.6,2005.2,2008.6,2008.5,710.0,1978.4,1951.9,2081.3,75.0,240.7,510.2,526.6,27.0,67.3,65.4,64.6,863.9,66715.9,67996.8,7865492.0,15624162.2,18848229.6,53506.7,146505.6,183445.3
Bouri Oil Field,130,32,1278.6,2207.3,2005.5,2004.5,2007.6,2007.6,355.0,845.4,935.0,964.3,79.0,127.0,164.7,153.7,10.0,54.8,37.9,38.1,222.3,17067.5,17395.2,2840879.2,6523500.7,8206946.8,21852.9,56675.2,74290.9
Tobruk,130,107,15919.6,30199.2,2000.5,2002.1,2011.2,2011.4,815.3,2079.8,3006.4,3126.4,112.5,238.0,505.8,511.2,37.5,82.3,57.9,57.7,1488.4,115127.3,117337.8,11794578.2,23421992.7,26615675.1,90727.5,243880.3,296572.2
As Sidr,118,91,23045.5,43793.0,2007.9,2008.2,2008.7,2008.8,1370.5,2813.8,2918.1,2963.6,167.0,279.4,531.2,536.7,33.0,49.7,52.9,53.0,2072.8,160496.7,163578.2,18053348.1,35554469.1,39682943.1,152994.5,391777.8,479317.0
